position_bounds_penalty,reward_scale,entropy_coef,seed,wallclock_s,final_net_pnl,final_std_net_pnl,final_worst_net_pnl,final_p5_net_pnl,asymmetric_score,final_reward,final_entropy,final_action_abs
1.000000e+00,1.000000e-07,3.000000e-04,42,4.986569e+02,-1.877987e+05,4.828000e+05,-2.228629e+06,-1.002433e+06,-1.021213e+07,-1.466800e+07,7.636148e+00,6.705415e+00
1.000000e+00,1.000000e-07,3.000000e-04,7,4.986141e+02,-1.657168e+05,4.848873e+05,-2.634284e+06,-9.865625e+05,-1.003134e+07,-1.389943e+07,7.437949e+00,6.487235e+00
5.000000e+00,1.000000e-07,3.000000e-04,42,5.006445e+02,-1.435377e+05,4.740418e+05,-2.247271e+06,-9.132244e+05,-9.275782e+06,-1.313022e+07,7.559192e+00,6.438622e+00
5.000000e+00,1.000000e-07,3.000000e-04,7,5.000982e+02,-1.373040e+05,4.720126e+05,-3.078978e+06,-9.071828e+05,-9.209133e+06,-1.293724e+07,7.594701e+00,6.465625e+00
1.000000e+01,1.000000e-07,3.000000e-04,42,5.012442e+02,-1.400340e+05,4.705107e+05,-2.301212e+06,-9.002950e+05,-9.142984e+06,-1.304951e+07,7.579097e+00,6.351393e+00
1.000000e+01,1.000000e-07,3.000000e-04,7,5.004373e+02,-1.278551e+05,4.710354e+05,-2.116273e+06,-8.924300e+05,-9.052155e+06,-1.262328e+07,7.491513e+00,6.320872e+00
2.000000e+01,1.000000e-07,3.000000e-04,42,5.002219e+02,-1.198350e+05,4.659025e+05,-2.487204e+06,-8.567602e+05,-8.687437e+06,-1.232419e+07,7.526859e+00,5.886937e+00
2.000000e+01,1.000000e-07,3.000000e-04,7,4.997617e+02,-1.138671e+05,4.761646e+05,-2.716076e+06,-8.588611e+05,-8.702478e+06,-1.237716e+07,7.453249e+00,5.738843e+00
5.000000e+01,1.000000e-07,3.000000e-04,42,5.007693e+02,-9.849156e+04,4.582839e+05,-1.883499e+06,-7.938162e+05,-8.036653e+06,-1.162293e+07,7.570915e+00,5.447138e+00
5.000000e+01,1.000000e-07,3.000000e-04,7,4.987149e+02,-8.674717e+04,4.566902e+05,-1.927309e+06,-7.829759e+05,-7.916506e+06,-1.127826e+07,7.566337e+00,5.439162e+00
