position_bounds_penalty,reward_scale,entropy_coef,seed,wallclock_s,final_net_pnl,final_std_net_pnl,final_worst_net_pnl,final_p5_net_pnl,asymmetric_score,final_reward,final_entropy,final_action_abs
1.000000e+00,1.000000e-07,3.000000e-04,42,5.161162e+02,-1.798160e+05,4.897854e+05,-2.996538e+06,-1.015894e+06,-1.033876e+07,-1.446780e+07,7.630710e+00,6.755485e+00
1.000000e+00,1.000000e-07,3.000000e-04,7,5.002507e+02,-1.734646e+05,4.907459e+05,-2.949766e+06,-1.016578e+06,-1.033924e+07,-1.420279e+07,7.560322e+00,6.758236e+00
5.000000e+00,1.000000e-07,3.000000e-04,42,5.014363e+02,-1.572981e+05,4.786833e+05,-3.175499e+06,-9.506344e+05,-9.663642e+06,-1.371297e+07,7.577785e+00,6.642319e+00
5.000000e+00,1.000000e-07,3.000000e-04,7,5.314416e+02,-1.407761e+05,4.664145e+05,-2.647410e+06,-9.077817e+05,-9.218593e+06,-1.287309e+07,7.623113e+00,6.419473e+00
1.000000e+01,1.000000e-07,3.000000e-04,42,5.336236e+02,-1.427659e+05,4.760649e+05,-2.401130e+06,-9.189323e+05,-9.332089e+06,-1.322081e+07,7.547064e+00,6.328119e+00
1.000000e+01,1.000000e-07,3.000000e-04,7,5.406371e+02,-1.294705e+05,4.676170e+05,-2.230708e+06,-8.674309e+05,-8.803779e+06,-1.264921e+07,7.719535e+00,6.294021e+00
2.000000e+01,1.000000e-07,3.000000e-04,42,5.380231e+02,-1.278738e+05,4.711302e+05,-2.059906e+06,-8.779818e+05,-8.907691e+06,-1.269173e+07,7.538005e+00,6.122004e+00
2.000000e+01,1.000000e-07,3.000000e-04,7,5.473819e+02,-1.067964e+05,4.521147e+05,-2.162974e+06,-8.266702e+05,-8.373498e+06,-1.171269e+07,7.568928e+00,5.866272e+00
5.000000e+01,1.000000e-07,3.000000e-04,42,5.457721e+02,-9.748834e+04,4.458125e+05,-1.644558e+06,-7.906512e+05,-8.004000e+06,-1.133015e+07,7.674635e+00,5.545760e+00
5.000000e+01,1.000000e-07,3.000000e-04,7,5.451288e+02,-8.942588e+04,4.411611e+05,-1.596586e+06,-7.478264e+05,-7.567690e+06,-1.108435e+07,7.646906e+00,5.486321e+00
