position_bounds_penalty,reward_scale,entropy_coef,seed,wallclock_s,final_net_pnl,final_std_net_pnl,final_worst_net_pnl,final_p5_net_pnl,asymmetric_score,final_reward,final_entropy,final_action_abs
1.000000e-01,3.000000e-08,3.000000e-04,42,5.138854e+02,-2.175368e+05,5.096696e+05,-3.010298e+06,-1.097118e+06,-1.118872e+07,-1.601627e+07,7.678650e+00,6.907815e+00
1.000000e-01,3.000000e-08,3.000000e-04,7,5.241088e+02,-2.042830e+05,5.160915e+05,-3.427122e+06,-1.087602e+06,-1.108031e+07,-1.563819e+07,7.606500e+00,6.869893e+00
1.000000e-01,3.000000e-08,1.000000e-03,42,5.190398e+02,-2.109372e+05,5.103894e+05,-2.945797e+06,-1.080974e+06,-1.102067e+07,-1.583878e+07,7.655623e+00,6.840216e+00
1.000000e-01,3.000000e-08,1.000000e-03,7,5.259223e+02,-1.893141e+05,5.110022e+05,-3.921538e+06,-1.055812e+06,-1.074743e+07,-1.499600e+07,7.688205e+00,6.820965e+00
1.000000e-01,1.000000e-07,3.000000e-04,42,5.138190e+02,-2.050497e+05,5.020677e+05,-2.943190e+06,-1.061482e+06,-1.081987e+07,-1.550566e+07,7.582454e+00,6.810998e+00
1.000000e-01,1.000000e-07,3.000000e-04,7,5.286981e+02,-2.022605e+05,4.993729e+05,-3.924838e+06,-1.055081e+06,-1.075307e+07,-1.527095e+07,7.679579e+00,6.887989e+00
1.000000e-01,1.000000e-07,1.000000e-03,42,5.060622e+02,-2.068229e+05,5.141487e+05,-2.800662e+06,-1.084643e+06,-1.105325e+07,-1.569510e+07,7.518311e+00,6.752719e+00
1.000000e-01,1.000000e-07,1.000000e-03,7,5.159185e+02,-1.907700e+05,5.137408e+05,-4.638855e+06,-1.074877e+06,-1.093954e+07,-1.512900e+07,7.535876e+00,6.662443e+00
1.000000e+01,3.000000e-08,3.000000e-04,42,5.499549e+02,-1.386559e+05,4.817818e+05,-2.686071e+06,-8.989473e+05,-9.128129e+06,-1.318102e+07,7.588269e+00,6.428139e+00
1.000000e+01,3.000000e-08,3.000000e-04,7,5.467733e+02,-1.329354e+05,4.646253e+05,-2.182540e+06,-8.769978e+05,-8.902914e+06,-1.267512e+07,7.563438e+00,6.194279e+00
1.000000e+01,3.000000e-08,1.000000e-03,42,5.313195e+02,-1.354254e+05,4.701141e+05,-2.172387e+06,-8.939530e+05,-9.074955e+06,-1.284480e+07,7.553322e+00,6.286381e+00
1.000000e+01,3.000000e-08,1.000000e-03,7,5.157225e+02,-1.310075e+05,4.606963e+05,-2.086125e+06,-8.882343e+05,-9.013350e+06,-1.260889e+07,7.529661e+00,6.104126e+00
1.000000e+01,1.000000e-07,3.000000e-04,42,5.187542e+02,-1.352473e+05,4.655371e+05,-2.780642e+06,-8.709517e+05,-8.844765e+06,-1.282942e+07,7.548108e+00,6.283098e+00
1.000000e+01,1.000000e-07,3.000000e-04,7,5.056075e+02,-1.226453e+05,4.631465e+05,-2.592037e+06,-8.760476e+05,-8.883122e+06,-1.234399e+07,7.580462e+00,6.223076e+00
1.000000e+01,1.000000e-07,1.000000e-03,42,5.100310e+02,-1.454861e+05,4.735630e+05,-2.402042e+06,-9.148347e+05,-9.293833e+06,-1.325522e+07,7.559608e+00,6.317541e+00
1.000000e+01,1.000000e-07,1.000000e-03,7,5.338735e+02,-1.307538e+05,4.679438e+05,-2.650067e+06,-8.844807e+05,-8.975561e+06,-1.269291e+07,7.626378e+00,6.234840e+00
