position_bounds_penalty,reward_scale,entropy_coef,seed,wallclock_s,final_net_pnl,final_std_net_pnl,final_worst_net_pnl,final_p5_net_pnl,asymmetric_score,final_reward,final_entropy,final_action_abs
1.000000e-01,1.000000e-08,3.000000e-04,123,5.090745e+02,-2.030166e+05,5.266190e+05,-2.768910e+06,-1.096824e+06,-1.117126e+07,-1.582501e+07,7.771207e+00,7.149541e+00
1.000000e-01,1.000000e-08,3.000000e-04,456,5.180852e+02,-1.834222e+05,5.286938e+05,-2.799948e+06,-1.104038e+06,-1.122380e+07,-1.522617e+07,7.643872e+00,6.870626e+00
1.000000e-01,1.000000e-08,1.000000e-03,123,5.136031e+02,-2.144006e+05,5.189339e+05,-2.579484e+06,-1.104262e+06,-1.125702e+07,-1.608873e+07,7.638297e+00,7.008493e+00
1.000000e-01,1.000000e-08,1.000000e-03,456,5.188422e+02,-1.984589e+05,5.333083e+05,-2.647736e+06,-1.128940e+06,-1.148786e+07,-1.572700e+07,7.685396e+00,6.981548e+00
1.000000e-01,1.000000e-08,3.000000e-03,123,5.101471e+02,-1.856410e+05,5.121645e+05,-2.787542e+06,-1.071872e+06,-1.090436e+07,-1.503470e+07,7.838346e+00,6.994673e+00
1.000000e-01,1.000000e-08,3.000000e-03,456,5.217052e+02,-1.957405e+05,5.404459e+05,-2.673208e+06,-1.146820e+06,-1.166394e+07,-1.580777e+07,7.782740e+00,7.006006e+00
1.000000e-01,3.000000e-08,3.000000e-04,123,5.037644e+02,-2.025620e+05,5.130493e+05,-2.425582e+06,-1.080614e+06,-1.100871e+07,-1.561152e+07,7.688358e+00,7.105370e+00
1.000000e-01,3.000000e-08,3.000000e-04,456,5.089910e+02,-1.985756e+05,5.352240e+05,-2.755708e+06,-1.127265e+06,-1.147123e+07,-1.578262e+07,7.671539e+00,6.958424e+00
1.000000e-01,3.000000e-08,1.000000e-03,123,5.418360e+02,-1.837636e+05,5.148125e+05,-3.096723e+06,-1.075085e+06,-1.093461e+07,-1.501874e+07,7.628913e+00,6.847171e+00
1.000000e-01,3.000000e-08,1.000000e-03,456,5.428978e+02,-1.994859e+05,5.244235e+05,-2.933128e+06,-1.096975e+06,-1.116923e+07,-1.571157e+07,7.684704e+00,7.094800e+00
1.000000e-01,3.000000e-08,3.000000e-03,123,5.242343e+02,-2.038530e+05,5.215689e+05,-2.916398e+06,-1.103102e+06,-1.123488e+07,-1.574124e+07,7.749619e+00,6.972225e+00
1.000000e-01,3.000000e-08,3.000000e-03,456,5.127520e+02,-1.987460e+05,5.292592e+05,-3.322008e+06,-1.112852e+06,-1.132726e+07,-1.570627e+07,7.717829e+00,6.938830e+00
1.000000e-01,1.000000e-07,3.000000e-04,123,5.138246e+02,-2.118613e+05,5.248288e+05,-2.928565e+06,-1.121532e+06,-1.142718e+07,-1.606793e+07,7.715538e+00,7.165806e+00
1.000000e-01,1.000000e-07,3.000000e-04,456,5.005212e+02,-1.977642e+05,5.302127e+05,-2.771072e+06,-1.123157e+06,-1.142933e+07,-1.574214e+07,7.682017e+00,6.892458e+00
1.000000e-01,1.000000e-07,1.000000e-03,123,5.051206e+02,-1.889973e+05,5.148469e+05,-2.920977e+06,-1.083095e+06,-1.101995e+07,-1.517507e+07,7.708922e+00,6.809386e+00
1.000000e-01,1.000000e-07,1.000000e-03,456,5.191819e+02,-1.976291e+05,5.365183e+05,-2.596255e+06,-1.143455e+06,-1.163218e+07,-1.573038e+07,7.680287e+00,7.026337e+00
1.000000e-01,1.000000e-07,3.000000e-03,123,5.636632e+02,-1.966508e+05,5.268710e+05,-3.221862e+06,-1.120635e+06,-1.140300e+07,-1.560598e+07,7.692688e+00,6.824213e+00
