entropy_coef,reward_scale,learning_rate,final_net_pnl,final_reward,final_entropy,final_action_abs,wallclock_s,epoch0_net_pnl,pnl_improvement
3.000000e-04,1.000000e-07,1.000000e-04,-1.705255e+05,-2.745963e+06,9.555265e+00,3.211409e+01,3.298819e+02,-2.871059e+05,1.165805e+05
3.000000e-04,1.000000e-07,3.000000e-04,-1.518712e+05,-2.636013e+06,9.557846e+00,3.209530e+01,3.166211e+02,-2.871059e+05,1.352347e+05
3.000000e-04,1.000000e-07,1.000000e-03,-2.612401e+05,-3.442556e+06,9.591038e+00,3.223879e+01,3.137721e+02,-2.871059e+05,2.586581e+04
3.000000e-04,3.000000e-07,1.000000e-04,-2.102214e+05,-3.031898e+06,9.574539e+00,3.211690e+01,3.241109e+02,-2.871059e+05,7.688456e+04
3.000000e-04,3.000000e-07,3.000000e-04,-1.869510e+05,-2.941721e+06,9.561334e+00,3.211631e+01,3.335401e+02,-2.871059e+05,1.001550e+05
3.000000e-04,3.000000e-07,1.000000e-03,-2.284993e+05,-3.106591e+06,9.590457e+00,3.214996e+01,3.411280e+02,-2.871059e+05,5.860662e+04
3.000000e-04,1.000000e-06,1.000000e-04,-2.433105e+05,-3.325261e+06,9.572937e+00,3.213465e+01,3.189260e+02,-2.871059e+05,4.379544e+04
3.000000e-04,1.000000e-06,3.000000e-04,-1.860181e+05,-2.960366e+06,9.563724e+00,3.212704e+01,3.147039e+02,-2.871059e+05,1.010878e+05
3.000000e-04,1.000000e-06,1.000000e-03,-2.475863e+05,-3.282674e+06,9.589643e+00,3.217941e+01,3.153607e+02,-2.871059e+05,3.951964e+04
1.000000e-03,1.000000e-07,1.000000e-04,-1.886009e+05,-2.900068e+06,9.562459e+00,3.211132e+01,3.591602e+02,-2.871059e+05,9.850503e+04
1.000000e-03,1.000000e-07,3.000000e-04,-1.646362e+05,-2.681850e+06,9.562686e+00,3.210928e+01,3.422067e+02,-2.871059e+05,1.224697e+05
1.000000e-03,1.000000e-07,1.000000e-03,-2.356451e+05,-3.153854e+06,9.589279e+00,3.216453e+01,3.456273e+02,-2.871059e+05,5.146081e+04
1.000000e-03,3.000000e-07,1.000000e-04,-2.165923e+05,-3.034442e+06,9.572749e+00,3.215588e+01,3.316209e+02,-2.871059e+05,7.051361e+04
1.000000e-03,3.000000e-07,3.000000e-04,-2.017150e+05,-2.979027e+06,9.561677e+00,3.210827e+01,3.316558e+02,-2.871059e+05,8.539094e+04
1.000000e-03,3.000000e-07,1.000000e-03,-2.461984e+05,-3.284308e+06,9.588723e+00,3.208798e+01,3.150280e+02,-2.871059e+05,4.090752e+04
1.000000e-03,1.000000e-06,1.000000e-04,-2.361101e+05,-3.256088e+06,9.574016e+00,3.216541e+01,3.149654e+02,-2.871059e+05,5.099588e+04
1.000000e-03,1.000000e-06,3.000000e-04,-1.911171e+05,-2.908912e+06,9.575444e+00,3.209137e+01,3.298153e+02,-2.871059e+05,9.598881e+04
1.000000e-03,1.000000e-06,1.000000e-03,-2.523222e+05,-3.273214e+06,9.598617e+00,3.214114e+01,3.415014e+02,-2.871059e+05,3.478373e+04
3.000000e-03,1.000000e-07,1.000000e-04,-1.832591e+05,-2.878134e+06,9.566786e+00,3.213779e+01,3.318362e+02,-2.871059e+05,1.038468e+05
3.000000e-03,1.000000e-07,3.000000e-04,-1.821172e+05,-2.852316e+06,9.567563e+00,3.211355e+01,3.462859e+02,-2.871059e+05,1.049888e+05
3.000000e-03,1.000000e-07,1.000000e-03,-2.136890e+05,-3.067976e+06,9.589850e+00,3.219736e+01,3.210260e+02,-2.871059e+05,7.341694e+04
3.000000e-03,3.000000e-07,1.000000e-04,-1.980435e+05,-2.949948e+06,9.577576e+00,3.211396e+01,3.521024e+02,-2.871059e+05,8.906241e+04
3.000000e-03,3.000000e-07,3.000000e-04,-1.924333e+05,-2.972255e+06,9.566575e+00,3.210838e+01,3.174234e+02,-2.871059e+05,9.467266e+04
3.000000e-03,3.000000e-07,1.000000e-03,-2.386348e+05,-3.168363e+06,9.590410e+00,3.218961e+01,3.303951e+02,-2.871059e+05,4.847112e+04
3.000000e-03,1.000000e-06,1.000000e-04,-2.023328e+05,-2.926865e+06,9.570408e+00,3.211485e+01,3.444312e+02,-2.871059e+05,8.477316e+04
3.000000e-03,1.000000e-06,3.000000e-04,-1.985677e+05,-2.918442e+06,9.578052e+00,3.210251e+01,3.240566e+02,-2.871059e+05,8.853822e+04
3.000000e-03,1.000000e-06,1.000000e-03,-2.628165e+05,-3.407608e+06,9.590666e+00,3.221010e+01,3.539176e+02,-2.871059e+05,2.428944e+04
