seed,breach_1,breach_2,breach_3,config,ols_r2,t,train_hull_hi_basis,train_hull_lo_basis,v_t_abs_max,v_t_mean,vhat_query_abs_max
1,tradable_price_0:2.4,market_6:1.5,tradable_price_2:0.19,baseline,0.9947837591171265,29,0.0182923786342144,-0.014081967994570732,3.599120855331421,1.0351111888885498,5.442719459533691
1,tradable_price_0:2.4,market_6:1.4,market_1:0.39,baseline,0.9123369455337524,59,0.013363040052354336,-0.017013758420944214,3.599120855331421,0.09033375978469849,10.782392501831055
1,tradable_price_0:2.4,market_6:1.3,market_2:0.15,baseline,0.971290111541748,89,0.02004864253103733,-0.019841857254505157,3.599120855331421,3.4847824573516846,3.692091941833496
1,tradable_price_0:2.4,market_6:1.3,tradable_price_1:0.81,baseline,0.9252215623855591,117,0.0,0.0,3.572857141494751,0.22512304782867432,0.0
2,market_6:5.4,tradable_price_0:2.2,tradable_price_1:0.41,baseline,0.9997355937957764,29,0.015558164566755295,-0.015377253293991089,3.593451499938965,2.1307294368743896,3.7720494270324707
2,tradable_price_0:2.2,market_6:1.5,market_1:0.41,baseline,0.902006208896637,59,0.01531743910163641,-0.01462292205542326,3.6092381477355957,1.6868479251861572,9.287884712219238
2,tradable_price_0:2.2,market_6:1.5,tradable_price_2:0.15,baseline,0.979715883731842,89,0.02159007266163826,-0.022636935114860535,3.6092381477355957,3.401811122894287,4.042428016662598
2,tradable_price_0:2.2,market_6:1.4,tradable_price_1:0.72,baseline,0.9300122857093811,117,0.0,0.0,3.583400011062622,0.22075766324996948,0.0
3,tradable_price_0:2,market_6:1.8,market_2:0.27,baseline,0.9938327074050903,29,0.01510046236217022,-0.018293529748916626,3.611053705215454,1.0687305927276611,5.500069618225098
3,tradable_price_0:2,market_6:1.2,market_1:0.28,baseline,0.9134531021118164,59,0.014753527007997036,-0.015862025320529938,3.611053705215454,-0.3186439573764801,9.672170639038086
3,tradable_price_0:2,market_6:1.1,tradable_price_1:0.13,baseline,0.9745856523513794,89,0.01974242366850376,-0.021237457171082497,3.611053705215454,3.443892002105713,3.9249348640441895
3,tradable_price_0:2,market_6:1.8,tradable_price_1:0.65,baseline,0.924310564994812,117,0.0,0.0,3.5731632709503174,0.24221926927566528,0.0
4,market_6:2.2,tradable_price_0:2.1,tradable_price_2:0.21,baseline,0.9967061281204224,29,0.017177091911435127,-0.01481235958635807,3.6074483394622803,1.1714496612548828,4.999861717224121
4,market_6:2.1,tradable_price_0:2.1,market_1:0.4,baseline,0.916957676410675,59,0.013116734102368355,-0.016155583783984184,3.6074752807617188,0.1695760190486908,10.083568572998047
4,tradable_price_0:2.1,market_6:1.2,cash:0.14,baseline,0.979324996471405,89,0.020519254729151726,-0.022389527410268784,3.6074752807617188,3.3683159351348877,4.124155044555664
4,tradable_price_0:2.1,market_6:1.5,tradable_price_1:0.75,baseline,0.9269676208496094,117,0.0,0.0,3.5917184352874756,0.3140125870704651,0.0
5,tradable_price_0:2.4,market_6:1.1,tradable_price_1:0.25,baseline,0.9902616739273071,29,0.01762320101261139,-0.012608440592885017,3.6385130882263184,3.2876131534576416,3.9240009784698486
5,tradable_price_0:2.4,market_6:2.3,market_1:0.41,baseline,0.9156014323234558,59,0.013588789850473404,-0.015820790082216263,3.6385130882263184,3.1763968467712402,5.071469783782959
5,tradable_price_0:2.4,market_6:1.3,market_2:0.2,baseline,0.9945798516273499,89,0.02346666157245636,-0.025215093046426773,3.6385130882263184,3.51444149017334,3.6988720893859863
5,tradable_price_0:2.4,market_6:1.8,tradable_price_1:0.8,baseline,0.9250748157501221,117,0.0,0.0,3.6059908866882324,0.30017074942588806,0.0
