seed,breach_1,breach_2,breach_3,config,ols_r2,t,train_hull_hi_basis,train_hull_lo_basis,v_t_abs_max,v_t_mean,vhat_query_abs_max
1,tradable_price_0:2.4,market_6:1.6,market_2:0.19,mlp,0.9593234062194824,29,0.0182923786342144,-0.014081967994570732,3.5927741527557373,-0.13472799956798553,5.20957088470459
1,tradable_price_0:2.4,market_6:1.1,market_1:0.39,mlp,0.7452710866928101,59,0.013363040052354336,-0.017013758420944214,3.599120855331421,0.7899905443191528,9.888246536254883
1,tradable_price_0:2.4,market_6:2.1,market_2:0.15,mlp,0.9642905592918396,89,0.02004864253103733,-0.019841857254505157,3.599120855331421,2.918996810913086,4.079179763793945
1,tradable_price_0:2.4,market_6:1.5,tradable_price_1:0.81,mlp,0.9252215623855591,117,0.0,0.0,3.572857141494751,0.22512304782867432,0.0
2,tradable_price_0:2.2,market_6:0.81,market_2:0.22,mlp,0.9286704659461975,29,0.015558164566755295,-0.015377253293991089,3.6092381477355957,1.4936937093734741,6.545137405395508
2,tradable_price_0:2.2,market_6:0.86,market_1:0.41,mlp,0.7868303656578064,59,0.01531743910163641,-0.01462292205542326,3.4009339809417725,-1.2977532148361206,5.411890983581543
2,tradable_price_0:2.2,market_6:1.7,tradable_price_2:0.16,mlp,0.9905614256858826,89,0.02159007266163826,-0.022636935114860535,3.2061829566955566,2.7451658248901367,3.761272430419922
2,tradable_price_0:2.2,market_6:1.8,tradable_price_1:0.72,mlp,0.9300122857093811,117,0.0,0.0,3.583400011062622,0.22075766324996948,0.0
3,tradable_price_0:2,market_6:1.2,market_2:0.27,mlp,0.9799108505249023,29,0.01510046236217022,-0.018293529748916626,3.3926844596862793,-1.8811231851577759,5.511476039886475
3,tradable_price_0:2,market_6:1.4,market_1:0.28,mlp,0.40941905975341797,59,0.014753527007997036,-0.015862025320529938,3.458909749984741,-0.9838961362838745,9.99898624420166
3,tradable_price_0:2,market_6:1.6,tradable_price_1:0.13,mlp,0.9764319658279419,89,0.01974242366850376,-0.021237457171082497,3.6109232902526855,2.4896745681762695,4.171494483947754
3,tradable_price_0:2,market_6:1.6,tradable_price_1:0.65,mlp,0.924310564994812,117,0.0,0.0,3.5731632709503174,0.24221926927566528,0.0
4,market_6:6,tradable_price_0:2.1,tradable_price_2:0.35,mlp,0.9729663133621216,29,0.017177091911435127,-0.01481235958635807,3.1890201568603516,2.134018659591675,3.598419666290283
4,market_6:2.5,tradable_price_0:2.1,market_1:0.4,mlp,0.7327518463134766,59,0.013116734102368355,-0.016155583783984184,3.6074752807617188,1.725222110748291,11.953222274780273
4,tradable_price_0:2.1,market_6:1.1,market_2:0.083,mlp,0.9909129738807678,89,0.020519254729151726,-0.022389527410268784,3.6074728965759277,2.299349546432495,5.466341495513916
4,market_6:2.8,tradable_price_0:2.1,tradable_price_1:0.75,mlp,0.9269676208496094,117,0.0,0.0,3.5917184352874756,0.3140125870704651,0.0
5,tradable_price_0:2.4,market_6:1.5,tradable_price_1:0.25,mlp,0.949918806552887,29,0.01762320101261139,-0.012608440592885017,3.2912099361419678,-0.5573583841323853,7.192321300506592
5,market_6:3.7,tradable_price_0:2.4,market_1:0.41,mlp,0.7176380753517151,59,0.013588789850473404,-0.015820790082216263,2.5830705165863037,0.8052063584327698,10.0929536819458
5,tradable_price_0:2.4,market_6:1.4,market_2:0.2,mlp,0.9963401556015015,89,0.02346666157245636,-0.025215093046426773,3.609025716781616,2.8587803840637207,3.9479928016662598
5,market_6:2.7,tradable_price_0:2.4,tradable_price_1:0.8,mlp,0.9250748157501221,117,0.0,0.0,3.6059908866882324,0.30017074942588806,0.0
