seed,breach_1,breach_2,breach_3,config,ols_r2,t,train_hull_hi_basis,train_hull_lo_basis,v_t_abs_max,v_t_mean,vhat_query_abs_max
1,market_6:7.3,tradable_price_0:2.4,tradable_price_2:0.37,tanh_mlp,0.9247593879699707,29,0.0182923786342144,-0.014081967994570732,3.4732553958892822,1.3176307678222656,5.420079231262207
1,tradable_price_0:2.4,market_6:1.1,market_1:0.39,tanh_mlp,0.5483900308609009,59,0.013363040052354336,-0.017013758420944214,3.4549882411956787,-0.23104146122932434,11.558648109436035
1,tradable_price_0:2.4,market_6:2.1,market_2:0.15,tanh_mlp,0.9919058680534363,89,0.02004864253103733,-0.019841857254505157,3.599120855331421,2.671464443206787,4.096935272216797
1,tradable_price_0:2.4,market_6:1.5,tradable_price_1:0.81,tanh_mlp,0.9252410531044006,117,0.0,0.0,3.572857141494751,0.22512304782867432,0.0
2,market_6:3.3,tradable_price_0:2.2,tradable_price_1:0.3,tanh_mlp,0.972093403339386,29,0.015558164566755295,-0.015377253293991089,3.2151870727539062,2.9733338356018066,3.4904911518096924
2,tradable_price_0:2.2,market_6:0.86,market_1:0.41,tanh_mlp,0.7408839464187622,59,0.01531743910163641,-0.01462292205542326,3.6092381477355957,1.1240618228912354,7.872011184692383
2,tradable_price_0:2.2,market_6:1.7,tradable_price_2:0.16,tanh_mlp,0.9864071607589722,89,0.02159007266163826,-0.022636935114860535,3.6090807914733887,2.3809409141540527,4.474913120269775
2,tradable_price_0:2.2,market_6:1.8,tradable_price_1:0.72,tanh_mlp,0.9300382733345032,117,0.0,0.0,3.583400011062622,0.22075766324996948,0.0
3,tradable_price_0:2,market_6:1.2,market_2:0.27,tanh_mlp,0.9341372847557068,29,0.01510046236217022,-0.018293529748916626,3.0087757110595703,-2.0301570892333984,5.848360538482666
3,tradable_price_0:2,market_6:1.4,market_1:0.28,tanh_mlp,0.8497267365455627,59,0.014753527007997036,-0.015862025320529938,2.1496078968048096,-0.5201560258865356,6.780422210693359
3,tradable_price_0:2,market_6:1.6,tradable_price_1:0.13,tanh_mlp,0.9825590252876282,89,0.01974242366850376,-0.021237457171082497,3.6110334396362305,2.391962766647339,4.18905782699585
3,tradable_price_0:2,market_6:1.6,tradable_price_1:0.65,tanh_mlp,0.9243500232696533,117,0.0,0.0,3.5731632709503174,0.24221926927566528,0.0
4,market_6:2.2,tradable_price_0:2.1,tradable_price_2:0.21,tanh_mlp,0.8041185140609741,29,0.017177091911435127,-0.01481235958635807,3.0954532623291016,2.1858725547790527,4.655261039733887
4,market_6:2.5,tradable_price_0:2.1,market_1:0.4,tanh_mlp,0.8109472990036011,59,0.013116734102368355,-0.016155583783984184,3.6074752807617188,-0.5480359792709351,9.427775382995605
4,tradable_price_0:2.1,market_6:1.1,market_2:0.083,tanh_mlp,0.9897820353507996,89,0.020519254729151726,-0.022389527410268784,3.6074752807617188,2.49489688873291,5.154601097106934
4,market_6:2.8,tradable_price_0:2.1,tradable_price_1:0.75,tanh_mlp,0.9269940853118896,117,0.0,0.0,3.5917184352874756,0.3140125870704651,0.0
