day,policy,case,path_idx,spot,futures,contract_size,spread_bps,action,position,trade_cash,trade_cost,position_mtm,cum_trade_cash,cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
2026-04-10,textbook,worst,1148,2033.1798,2062.1914,50.0,10.0,-50.0,-50.0,5155478.5,2577.7393,-5155478.5,5155478.5,2577.7393,-2577.7393,2205.1301,-372.60913
2026-04-11,textbook,worst,1148,2036.9829,2065.29,50.0,10.0,0.0,-50.0,-0.0,0.0,-5163225.0,5155478.5,2577.7393,-10324.239,9737.153,-587.08594
2026-04-12,textbook,worst,1148,2029.8823,2054.6482,50.0,10.0,0.0,-50.0,-0.0,0.0,-5136620.5,5155478.5,2577.7393,16280.261,-8360.02,7920.241
2026-04-13,textbook,worst,1148,2030.9812,2055.6782,50.0,10.0,0.0,-50.0,-0.0,0.0,-5139195.5,5155478.5,2577.7393,13705.261,-4816.018,8889.242
2026-04-14,textbook,worst,1148,2035.6818,2059.5876,50.0,10.0,0.0,-50.0,-0.0,0.0,-5148969.0,5155478.5,2577.7393,3931.7607,7319.919,11251.68
2026-04-15,textbook,worst,1148,2029.6831,2053.0264,50.0,10.0,0.0,-50.0,-0.0,0.0,-5132566.0,5155478.5,2577.7393,20334.762,-10539.141,9795.621
2026-04-16,textbook,worst,1148,1987.5023,2009.8644,50.0,10.0,0.0,-50.0,-0.0,0.0,-5024661.0,5155478.5,2577.7393,128239.76,-114921.87,13317.891
2026-04-17,textbook,worst,1148,2000.4475,2023.3668,50.0,10.0,0.0,-50.0,-0.0,0.0,-5058417.0,5155478.5,2577.7393,94483.76,-84922.56,9561.195
2026-04-18,textbook,worst,1148,1996.9078,2017.9541,50.0,10.0,0.0,-50.0,-0.0,0.0,-5044885.0,5155478.5,2577.7393,108015.76,-91041.4,16974.36
2026-04-19,textbook,worst,1148,2003.6962,2024.1666,50.0,10.0,0.0,-50.0,-0.0,0.0,-5060416.5,5155478.5,2577.7393,92484.26,-75016.57,17467.688
2026-04-20,textbook,worst,1148,2008.5308,2028.0155,50.0,10.0,0.0,-50.0,-0.0,0.0,-5070038.5,5155478.5,2577.7393,82862.26,-60198.223,22664.035
2026-04-21,textbook,worst,1148,1994.2578,2013.2858,50.0,10.0,0.0,-50.0,-0.0,0.0,-5033214.5,5155478.5,2577.7393,119686.26,-92819.52,26866.734
2026-04-22,textbook,worst,1148,1992.1012,2010.7158,50.0,10.0,0.0,-50.0,-0.0,0.0,-5026789.5,5155478.5,2577.7393,126111.26,-95914.11,30197.148
2026-04-23,textbook,worst,1148,1989.3599,2007.8016,50.0,10.0,0.0,-50.0,-0.0,0.0,-5019504.0,5155478.5,2577.7393,133396.77,-102324.42,31072.344
2026-04-24,textbook,worst,1148,1958.5848,1977.4891,50.0,10.0,0.0,-50.0,-0.0,0.0,-4943722.5,5155478.5,2577.7393,209178.27,-177273.06,31905.203
2026-04-25,textbook,worst,1148,1968.8221,1988.6692,50.0,10.0,0.0,-50.0,-0.0,0.0,-4971673.0,5155478.5,2577.7393,181227.77,-152901.62,28326.14
2026-04-26,textbook,worst,1148,1958.8737,1978.7344,50.0,10.0,0.0,-50.0,-0.0,0.0,-4946836.0,5155478.5,2577.7393,206064.77,-184270.08,21794.688
2026-04-27,textbook,worst,1148,1953.0052,1973.6354,50.0,10.0,0.0,-50.0,-0.0,0.0,-4934088.5,5155478.5,2577.7393,218812.27,-191185.17,27627.094
2026-04-28,textbook,worst,1148,1958.5848,1979.2249,50.0,10.0,0.0,-50.0,-0.0,0.0,-4948062.0,5155478.5,2577.7393,204838.77,-184672.89,20165.875
2026-04-29,textbook,worst,1148,1958.1992,1979.302,50.0,10.0,0.0,-50.0,-0.0,0.0,-4948255.0,5155478.5,2577.7393,204645.77,-182005.77,22640.0
2026-04-30,textbook,worst,1148,1960.1265,1980.0029,50.0,10.0,0.0,-50.0,-0.0,0.0,-4950007.5,5155478.5,2577.7393,202893.27,-173260.44,29632.828
