batch,batches,fitted,held_out,seed,V_0,bounded,wall_s,peak_GiB,greedy_u,textbook_u,nohedge_u,edge_u,greedy_wT,greedy_p5,greedy_cvar5,textbook_p5,textbook_cvar5,edge_p5,edge_cvar5
4096,2,4096,4096,7,-1.00840163230896,True,325.1,4.73,-1.7449086904525757,-1.9703035354614258,-2.383040428161621,0.22539,-15433.103515625,-984272.75,-1219465.625,-1046656.25,-1295810.125,62383.5,76344.5
4096,2,4096,4096,42,-1.8485023975372314,True,322.1,4.73,-1.7934632301330566,-2.1969170570373535,-2.6999411582946777,0.40345,6630.39453125,-999940.6875,-1261225.875,-1103753.0,-1357130.125,103812.3,95904.2
4096,2,4096,4096,314,-1.5066947937011719,True,322.0,4.73,-1.794534683227539,-2.1475143432617188,-2.6167736053466797,0.35298,-17618.302734375,-984049.625,-1235868.25,-1079936.875,-1332274.0,95887.2,96405.8
8192,2,8192,8192,7,-1.0320574045181274,True,587.3,9.39,-1.6252895593643188,-2.116533041000366,-2.5598723888397217,0.49124,15744.0244140625,-956360.1875,-1236607.125,-1100613.5,-1347221.875,144253.3,110614.8
8192,2,8192,8192,42,-1.6820971965789795,True,589.5,9.39,-1.7206428050994873,-2.081747055053711,-2.5643835067749023,0.3611,9344.1171875,-964644.9375,-1251759.875,-1079743.625,-1344809.625,115098.7,93049.8
8192,2,8192,8192,314,-1.6019983291625977,True,590.4,9.39,-1.7787749767303467,-2.0859737396240234,-2.602827787399292,0.3072,-11100.275390625,-988305.125,-1252218.0,-1074533.25,-1340946.375,86228.1,88728.4
4096,5,16384,4096,7,-0.7665958404541016,True,895.0,4.86,-1.3720496892929077,-2.0181164741516113,-2.4907875061035156,0.64607,118630.9765625,-959920.8125,-1198503.625,-1072416.5,-1321908.5,112495.7,123404.9
4096,5,16384,4096,42,-0.9475566148757935,True,898.0,4.86,-1.4392890930175781,-2.215355157852173,-2.738060474395752,0.77607,130310.84375,-964339.375,-1259649.75,-1115267.0,-1365433.125,150927.6,105783.4
4096,5,16384,4096,314,-0.7985398769378662,True,893.9,4.86,-1.4773972034454346,-2.0495712757110596,-2.5351674556732178,0.57217,110326.8046875,-953705.6875,-1247603.25,-1074555.25,-1335488.625,120849.6,87885.4
8192,5,32768,8192,7,-0.9201382398605347,True,1680.8,9.65,-1.3334732055664062,-2.133479595184326,-2.626579761505127,0.80001,148425.328125,-963034.6875,-1245809.125,-1087980.5,-1357504.125,124945.8,111695.0
8192,5,32768,8192,42,-0.207102432847023,True,1661.1,9.65,-1.9406452178955078,-2.1341423988342285,-2.632297992706299,0.1935,-25283.046875,-980273.5,-1239280.5,-1100995.875,-1363226.5,120722.4,123946.0
8192,5,32768,8192,314,-0.5042966604232788,True,1655.7,9.65,-1.6683669090270996,-2.0757949352264404,-2.5221107006073,0.40743,47782.890625,-959493.9375,-1223631.625,-1086271.125,-1337091.125,126777.2,113459.5
