policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,524,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-7.000000,-7.000000,709160.000000,354.579987,-709160.000000,2047.068848,50.000000,-7.000000,-7.000000,716474.125000,358.237030,-716474.125000,2070.749756,50.000000,-7.000000,-7.000000,724762.375000,362.381195,-724762.375000,-2150396.500000,2150396.500000,1075.198242,-1075.198242,4854.181641,3778.983398
ml,worst,524,2026-04-11,2074.973877,10.000000,2081.546631,50.000000,-7.000000,0.000000,-0.000000,0.000000,-728541.312500,2104.613037,50.000000,-7.000000,0.000000,-0.000000,0.000000,-736614.562500,2129.735352,50.000000,-7.000000,0.000000,-0.000000,0.000000,-745407.375000,-2210563.250000,2150396.500000,1075.198242,-61241.949219,49859.347656,-11382.601562
ml,worst,524,2026-04-12,2051.739746,10.000000,2032.958984,50.000000,-7.000000,0.000000,-0.000000,0.000000,-711535.625000,2055.505859,50.000000,-7.000000,0.000000,-0.000000,0.000000,-719427.062500,2079.836670,50.000000,-7.000000,0.000000,-0.000000,0.000000,-727942.812500,-2158905.500000,2150396.500000,1075.198242,-9584.198242,-3657.997070,-13242.195312
ml,worst,524,2026-04-13,2045.915039,10.000000,2000.133179,50.000000,-1.000000,6.000000,-600039.937500,300.019958,-100006.656250,2023.044189,50.000000,-1.000000,6.000000,-606913.250000,303.456604,-101152.210938,2046.802734,50.000000,-1.000000,6.000000,-614040.812500,307.020386,-102340.140625,-303499.000000,329402.500000,1985.695190,23917.804688,-20772.183594,3145.621094
ml,worst,524,2026-04-14,2059.781982,10.000000,2057.235840,50.000000,-46.000000,-45.000000,4628780.500000,2314.390137,-4731642.500000,2079.421875,50.000000,-46.000000,-45.000000,4678699.000000,2339.349609,-4782670.500000,2103.642822,50.000000,-46.000000,-45.000000,4733196.500000,2366.598145,-4838378.500000,-14352692.000000,14370078.000000,9006.033203,8379.966797,23110.191406,31490.158203
ml,worst,524,2026-04-15,2055.914795,10.000000,2045.852661,50.000000,-1.000000,45.000000,-4603168.500000,2301.583984,-102292.632812,2068.347412,50.000000,-1.000000,45.000000,-4653781.500000,2326.890625,-103417.367188,2093.310059,50.000000,-1.000000,45.000000,-4709947.500000,2354.973633,-104665.500000,-310375.500000,403181.000000,15989.480469,76816.015625,29271.683594,106087.703125
ml,worst,524,2026-04-16,2010.399170,10.000000,2009.134766,50.000000,-8.000000,-7.000000,703197.187500,351.598572,-803653.875000,2031.296387,50.000000,-8.000000,-7.000000,710953.687500,355.476868,-812518.562500,2056.907471,50.000000,-8.000000,-7.000000,719917.625000,359.958801,-822763.000000,-2438935.500000,2537249.500000,17056.515625,81257.484375,-82908.882812,-1651.398438
ml,worst,524,2026-04-17,1976.217896,10.000000,1974.032471,50.000000,-2.000000,6.000000,-592209.750000,296.104858,-197403.250000,1996.349731,50.000000,-2.000000,6.000000,-598904.937500,299.452454,-199634.968750,2022.538330,50.000000,-2.000000,6.000000,-606761.500000,303.380737,-202253.828125,-599292.062500,739373.312500,17955.453125,122125.796875,-164096.468750,-41970.671875
ml,worst,524,2026-04-18,1997.310669,10.000000,2000.411011,50.000000,-2.000000,0.000000,-0.000000,0.000000,-200041.093750,2022.554077,50.000000,-2.000000,0.000000,-0.000000,0.000000,-202255.406250,2049.247803,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204924.781250,-607221.250000,739373.312500,17955.453125,114196.609375,-103552.437500,10644.171875
ml,worst,524,2026-04-19,2005.760010,10.000000,1997.090454,50.000000,-2.000000,0.000000,-0.000000,0.000000,-199709.046875,2020.135498,50.000000,-2.000000,0.000000,-0.000000,0.000000,-202013.546875,2047.966309,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204796.625000,-606519.250000,739373.312500,17955.453125,114898.609375,-81792.585938,33106.023438
ml,worst,524,2026-04-20,2028.612793,10.000000,2020.814697,50.000000,-47.000000,-45.000000,4546833.000000,2273.416504,-4748914.500000,2044.056396,50.000000,-47.000000,-45.000000,4599127.000000,2299.563477,-4803532.500000,2072.391357,50.000000,-47.000000,-45.000000,4662880.500000,2331.440186,-4870119.500000,-14422566.000000,14548213.000000,24859.875000,100787.125000,-28994.218750,71792.906250
ml,worst,524,2026-04-21,2044.166626,10.000000,2064.332031,50.000000,-7.000000,40.000000,-4128664.000000,2064.332031,-722516.187500,2087.134521,50.000000,-7.000000,40.000000,-4174269.250000,2087.134277,-730497.062500,2116.363037,50.000000,-7.000000,40.000000,-4232726.000000,2116.362793,-740727.062500,-2193740.250000,2012554.500000,31127.703125,-212313.453125,14284.383789,-198029.062500
ml,worst,524,2026-04-22,2019.795654,10.000000,2007.686768,50.000000,-1.000000,6.000000,-602306.062500,301.153015,-100384.335938,2029.306274,50.000000,-1.000000,6.000000,-608791.875000,304.395935,-101465.312500,2057.427490,50.000000,-1.000000,6.000000,-617228.250000,308.614136,-102871.375000,-304721.031250,184228.375000,32041.867188,-152534.531250,-48545.445312,-201079.968750
ml,worst,524,2026-04-23,2012.562988,10.000000,2024.997925,50.000000,-46.000000,-45.000000,4556245.500000,2278.122803,-4657495.500000,2046.480713,50.000000,-46.000000,-45.000000,4604581.500000,2302.290771,-4706905.500000,2073.558594,50.000000,-46.000000,-45.000000,4665507.000000,2332.753418,-4769185.000000,-14133586.000000,14010562.000000,38955.035156,-161979.031250,-63419.867188,-225398.906250
ml,worst,524,2026-04-24,2077.383545,10.000000,2067.663086,50.000000,-6.000000,40.000000,-4135326.250000,2067.663086,-620298.937500,2090.009277,50.000000,-6.000000,40.000000,-4180018.750000,2090.009277,-627002.812500,2115.871826,50.000000,-6.000000,40.000000,-4231744.000000,2115.871826,-634761.500000,-1882063.250000,1463473.375000,45228.578125,-463818.437500,106537.195312,-357281.250000
ml,worst,524,2026-04-25,2047.484497,10.000000,2046.003906,50.000000,-6.000000,0.000000,-0.000000,0.000000,-613801.187500,2068.232666,50.000000,-6.000000,0.000000,-0.000000,0.000000,-620469.812500,2092.914795,50.000000,-6.000000,0.000000,-0.000000,0.000000,-627874.437500,-1862145.500000,1463473.375000,45228.578125,-443900.687500,34193.593750,-409707.093750
ml,worst,524,2026-04-26,2034.579224,10.000000,2043.507568,50.000000,-6.000000,0.000000,-0.000000,0.000000,-613052.250000,2064.617188,50.000000,-6.000000,0.000000,-0.000000,0.000000,-619385.125000,2089.104980,50.000000,-6.000000,0.000000,-0.000000,0.000000,-626731.500000,-1859168.875000,1463473.375000,45228.578125,-440924.062500,6862.649902,-434061.406250
ml,worst,524,2026-04-27,2015.531616,10.000000,2016.463623,50.000000,0.000000,6.000000,-604939.062500,302.469543,0.000000,2037.905151,50.000000,0.000000,6.000000,-611371.562500,305.685760,0.000000,2062.166504,50.000000,0.000000,6.000000,-618649.937500,309.324951,0.000000,0.000000,-371487.187500,46146.058594,-417633.250000,-31521.296875,-449154.562500
ml,worst,524,2026-04-28,2047.313599,10.000000,2061.097656,50.000000,-45.000000,-45.000000,4637469.500000,2318.734863,-4637469.500000,2083.402588,50.000000,-7.000000,-7.000000,729190.937500,364.595459,-729190.937500,2108.513916,50.000000,-7.000000,-7.000000,737979.875000,368.989929,-737979.875000,-6104640.500000,5733153.000000,49198.375000,-420685.875000,52383.753906,-368302.125000
ml,worst,524,2026-04-29,2016.041992,10.000000,2010.449341,50.000000,0.000000,45.000000,-4523511.000000,2261.755615,0.000000,2032.134644,50.000000,-1.000000,6.000000,-609640.375000,304.820190,-101606.734375,2056.180176,50.000000,-1.000000,6.000000,-616854.062500,308.427002,-102809.007812,-204415.750000,-16852.312500,52073.382812,-273341.437500,-29243.941406,-302585.375000
