policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,758,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2070.749756,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4854.181641,4854.181641
ml,worst,758,2026-04-11,2041.729370,10.000000,2032.588745,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2052.690430,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2076.724609,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25242.429688,-25242.429688
ml,worst,758,2026-04-12,2064.862061,10.000000,2080.079590,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2101.769531,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2127.780029,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33464.804688,33464.804688
ml,worst,758,2026-04-13,2056.700195,10.000000,2067.332520,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2090.846191,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2118.513916,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11063.646484,11063.646484
ml,worst,758,2026-04-14,2028.958130,10.000000,1989.672607,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2010.987671,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2036.172119,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-59589.097656,-59589.097656
ml,worst,758,2026-04-15,2020.863037,10.000000,2010.745483,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2034.696167,50.000000,-10.000000,-10.000000,1017348.062500,508.674011,-1017348.062500,2061.369385,50.000000,-10.000000,-10.000000,1030684.687500,515.342346,-1030684.687500,-2048032.750000,2048032.750000,1024.016357,-1024.016357,-72698.656250,-73722.671875
ml,worst,758,2026-04-16,2062.300781,10.000000,2082.670410,50.000000,-10.000000,-10.000000,1041335.125000,520.667603,-1041335.125000,2107.284668,50.000000,-2.000000,8.000000,-842913.875000,421.456940,-210728.468750,2134.684082,50.000000,-2.000000,8.000000,-853873.625000,426.936798,-213468.406250,-1465532.000000,1392580.250000,2393.077637,-75344.828125,38171.242188,-37173.585938
ml,worst,758,2026-04-17,2064.961670,10.000000,2079.506836,50.000000,-2.000000,8.000000,-831802.750000,415.901367,-207950.687500,2104.401611,50.000000,-12.000000,-10.000000,1052200.750000,526.100342,-1262641.000000,2133.888672,50.000000,-12.000000,-10.000000,1066944.375000,533.472168,-1280333.250000,-2750925.000000,2679923.000000,3868.551758,-74870.554688,52671.050781,-22199.503906
ml,worst,758,2026-04-18,2080.792969,10.000000,2072.010986,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207201.093750,2097.437012,50.000000,-12.000000,0.000000,-0.000000,0.000000,-1258462.250000,2127.728516,50.000000,-12.000000,0.000000,-0.000000,0.000000,-1276637.125000,-2742300.500000,2679923.000000,3868.551758,-66246.054688,91686.695312,25440.640625
ml,worst,758,2026-04-19,2067.940186,10.000000,2064.921631,50.000000,-2.000000,0.000000,-0.000000,0.000000,-206492.156250,2089.350830,50.000000,-12.000000,0.000000,-0.000000,0.000000,-1253610.500000,2118.673584,50.000000,-12.000000,0.000000,-0.000000,0.000000,-1271204.125000,-2731306.750000,2679923.000000,3868.551758,-55252.300781,68438.203125,13185.902344
