policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,889,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-7.000000,-7.000000,709160.000000,354.579987,-709160.000000,2047.068848,50.000000,-7.000000,-7.000000,716474.125000,358.237030,-716474.125000,2070.749756,50.000000,-7.000000,-7.000000,724762.375000,362.381195,-724762.375000,-2150396.500000,2150396.500000,1075.198242,-1075.198242,4854.181641,3778.983398
ml,worst,889,2026-04-11,2034.746216,10.000000,2018.236084,50.000000,-7.000000,0.000000,-0.000000,0.000000,-706382.625000,2038.202881,50.000000,-7.000000,0.000000,-0.000000,0.000000,-713371.000000,2059.776611,50.000000,-7.000000,0.000000,-0.000000,0.000000,-720921.812500,-2140675.500000,2150396.500000,1075.198242,8645.801758,-43779.363281,-35133.562500
ml,worst,889,2026-04-12,2088.012695,10.000000,2075.793213,50.000000,-7.000000,0.000000,-0.000000,0.000000,-726527.625000,2093.974365,50.000000,-7.000000,0.000000,-0.000000,0.000000,-732891.000000,2115.946533,50.000000,-7.000000,0.000000,-0.000000,0.000000,-740581.312500,-2200000.000000,2150396.500000,1075.198242,-50678.699219,84285.585938,33606.886719
ml,worst,889,2026-04-13,2138.558350,10.000000,2145.270508,50.000000,-17.000000,-10.000000,1072635.250000,536.317627,-1823479.875000,2164.588867,50.000000,-17.000000,-10.000000,1082294.375000,541.147217,-1839900.625000,2187.548828,50.000000,-17.000000,-10.000000,1093774.375000,546.887146,-1859416.375000,-5522797.000000,5399100.500000,2699.550293,-126396.046875,205307.218750,78911.171875
ml,worst,889,2026-04-14,2198.391602,10.000000,2201.674316,50.000000,-27.000000,-10.000000,1100837.125000,550.418640,-2972260.250000,2224.397705,50.000000,-27.000000,-10.000000,1112198.875000,556.099426,-3002937.000000,2250.430664,50.000000,-27.000000,-10.000000,1125215.375000,562.607605,-3038081.500000,-9013278.000000,8737352.000000,4368.675781,-280294.687500,354427.000000,74132.312500
ml,worst,889,2026-04-15,2190.412109,10.000000,2206.622559,50.000000,-2.000000,25.000000,-2758278.000000,1379.139038,-220662.250000,2231.300781,50.000000,-2.000000,25.000000,-2789126.000000,1394.562866,-223130.078125,2259.986328,50.000000,-2.000000,25.000000,-2824982.750000,1412.491455,-225998.625000,-669790.937500,364965.125000,8554.869141,-313380.687500,339496.781250,26116.093750
ml,worst,889,2026-04-16,2162.732422,10.000000,2155.627686,50.000000,-9.000000,-7.000000,754469.687500,377.234863,-970032.437500,2179.723877,50.000000,-9.000000,-7.000000,762903.375000,381.451691,-980875.750000,2207.012207,50.000000,-9.000000,-7.000000,772454.312500,386.227142,-993155.500000,-2944063.750000,2654792.500000,9699.783203,-298971.031250,274874.500000,-24096.531250
ml,worst,889,2026-04-17,2165.971924,10.000000,2172.627930,50.000000,-19.000000,-10.000000,1086314.000000,543.156982,-2063996.500000,2196.810547,50.000000,-19.000000,-10.000000,1098405.250000,549.202637,-2086969.875000,2224.703613,50.000000,-19.000000,-10.000000,1112351.750000,556.175842,-2113468.250000,-6264435.000000,5951863.500000,11348.318359,-323919.812500,283259.718750,-40660.093750
ml,worst,889,2026-04-18,2141.208252,10.000000,2142.218506,50.000000,-19.000000,0.000000,-0.000000,0.000000,-2035107.625000,2165.085938,50.000000,-19.000000,0.000000,-0.000000,0.000000,-2056831.625000,2191.561279,50.000000,-19.000000,0.000000,-0.000000,0.000000,-2081983.250000,-6173922.500000,5951863.500000,11348.318359,-233407.312500,231845.593750,-1561.718750
ml,worst,889,2026-04-19,2141.164307,10.000000,2163.320801,50.000000,-19.000000,0.000000,-0.000000,0.000000,-2055154.750000,2185.200928,50.000000,-19.000000,0.000000,-0.000000,0.000000,-2075940.875000,2210.390625,50.000000,-19.000000,0.000000,-0.000000,0.000000,-2099871.000000,-6230966.500000,5951863.500000,11348.318359,-290451.312500,236027.265625,-54424.046875
