policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,273,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,-10.000000,-10.000000,1023534.375000,511.767212,-1023534.375000,2070.749756,50.000000,-10.000000,-10.000000,1035374.875000,517.687439,-1035374.875000,-2058909.250000,2058909.250000,1029.454590,-1029.454590,4854.181641,3824.727051
ml,worst,273,2026-04-11,2050.380371,10.000000,2045.408936,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2063.383789,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1031691.875000,2085.257812,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1042628.875000,-2074320.750000,2058909.250000,1029.454590,-16440.955078,-13270.904297,-29711.859375
ml,worst,273,2026-04-12,2048.920166,10.000000,2039.564819,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2057.841797,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1028920.875000,2079.638672,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1039819.312500,-2068740.250000,2058909.250000,1029.454590,-10860.455078,-17655.279297,-28515.734375
ml,worst,273,2026-04-13,2049.219238,10.000000,2051.239990,50.000000,-10.000000,-10.000000,1025620.000000,512.809998,-1025620.000000,2069.717285,50.000000,0.000000,10.000000,-1034858.625000,517.429321,0.000000,2092.276123,50.000000,-2.000000,8.000000,-836910.437500,418.455200,-209227.609375,-1234847.625000,1212760.250000,2478.149170,-24565.523438,-23371.910156,-47937.433594
ml,worst,273,2026-04-14,2072.036377,10.000000,2048.277100,50.000000,0.000000,10.000000,-1024138.562500,512.069214,0.000000,2065.813721,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2087.338379,50.000000,0.000000,2.000000,-208733.843750,104.366920,0.000000,0.000000,-20112.218750,3094.585205,-23206.804688,48384.195312,25177.390625
ml,worst,273,2026-04-15,2107.296387,10.000000,2105.222656,50.000000,-10.000000,-10.000000,1052611.375000,526.305664,-1052611.375000,2123.701660,50.000000,-10.000000,-10.000000,1061850.750000,530.925415,-1061850.750000,2147.460693,50.000000,-10.000000,-10.000000,1073730.375000,536.865112,-1073730.375000,-3188192.500000,3168080.250000,4688.681152,-24800.931641,147083.062500,122282.132812
ml,worst,273,2026-04-16,2089.412109,10.000000,2080.630859,50.000000,0.000000,10.000000,-1040315.437500,520.157715,0.000000,2099.705322,50.000000,0.000000,10.000000,-1049852.625000,524.926270,0.000000,2122.956299,50.000000,0.000000,10.000000,-1061478.125000,530.739075,0.000000,0.000000,16434.093750,6264.504395,10169.589844,105264.203125,115433.796875
ml,worst,273,2026-04-17,2069.377441,10.000000,2053.993652,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2072.875000,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2094.548584,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,16434.093750,6264.504395,10169.589844,54768.230469,64937.820312
ml,worst,273,2026-04-18,2045.280273,10.000000,2028.627686,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2048.302490,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2069.531250,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,16434.093750,6264.504395,10169.589844,-3185.694336,6983.895508
ml,worst,273,2026-04-19,2052.944580,10.000000,2043.674316,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2064.483643,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2086.737061,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,16434.093750,6264.504395,10169.589844,27039.841797,37209.429688
