policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2070.749756,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4854.181641,4854.181641
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2075.079590,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2101.060547,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,80.828957,80.828957
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.953491,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2074.674561,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-64963.031250,-64963.031250
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2045.426025,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2070.898682,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-18950.523438,-18950.523438
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2042.856934,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2069.121826,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-38905.066406,-38905.066406
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2006.723877,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2031.449585,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-55782.097656,-55782.097656
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1996.774170,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2020.267944,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-131884.015625,-131884.015625
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2057.065186,50.000000,-10.000000,-10.000000,1028532.625000,514.266296,-1028532.625000,2080.790527,50.000000,-10.000000,-10.000000,1040395.312500,520.197632,-1040395.312500,-2068928.000000,2068928.000000,1034.463867,-1034.463867,-13381.950195,-14416.414062
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2048.137939,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1024068.937500,2072.372559,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1036186.312500,-2060255.250000,2068928.000000,1034.463867,7638.286133,-15867.924805,-8229.638672
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2037.388550,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1018694.250000,2060.567871,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1030284.000000,-2048978.250000,2068928.000000,1034.463867,18915.285156,1230.560669,20145.845703
ml,worst,446,2026-04-20,2053.510498,10.000000,2041.007935,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2062.531982,50.000000,-2.000000,8.000000,-825012.812500,412.506378,-206253.203125,2086.899658,50.000000,-2.000000,8.000000,-834759.875000,417.379944,-208689.968750,-414943.187500,409155.250000,1864.350342,-7652.288086,44340.710938,36688.421875
ml,worst,446,2026-04-21,2056.396240,10.000000,2059.851074,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2083.308350,50.000000,-12.000000,-10.000000,1041654.187500,520.827087,-1249985.000000,2109.154053,50.000000,-12.000000,-10.000000,1054577.000000,527.288452,-1265492.375000,-2515477.500000,2505386.500000,2912.465820,-13003.465820,59168.183594,46164.718750
ml,worst,446,2026-04-22,2070.967773,10.000000,2076.047607,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2097.576172,50.000000,-4.000000,8.000000,-839030.500000,419.515228,-419515.250000,2123.129639,50.000000,-6.000000,6.000000,-636938.875000,318.469452,-636938.875000,-1056454.125000,1029417.062500,3650.450439,-30687.513672,95683.664062,64996.148438
ml,worst,446,2026-04-23,2131.797119,10.000000,2157.684082,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2178.356934,50.000000,-14.000000,-10.000000,1089178.500000,544.589233,-1524849.750000,2204.199219,50.000000,-16.000000,-10.000000,1102099.625000,551.049805,-1763359.375000,-3288209.000000,3220695.250000,4746.089355,-72259.835938,250682.484375,178422.656250
ml,worst,446,2026-04-24,2113.499268,10.000000,2136.633301,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2156.173828,50.000000,-8.000000,6.000000,-646852.125000,323.426056,-862469.500000,2181.755371,50.000000,-10.000000,6.000000,-654526.625000,327.263275,-1090877.750000,-1953347.250000,1919316.375000,5396.778809,-39427.652344,210095.484375,170667.828125
ml,worst,446,2026-04-25,2117.656494,10.000000,2121.035156,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2139.095947,50.000000,-8.000000,0.000000,-0.000000,0.000000,-855638.375000,2163.214355,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1081607.250000,-1937245.625000,1919316.375000,5396.778809,-23326.029297,233408.968750,210082.937500
ml,worst,446,2026-04-26,2009.753174,10.000000,2034.993774,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2053.197021,50.000000,-8.000000,0.000000,-0.000000,0.000000,-821278.812500,2076.562744,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1038281.375000,-1859560.250000,1919316.375000,5396.778809,54359.347656,-29213.535156,25145.812500
ml,worst,446,2026-04-27,1972.469116,10.000000,1956.485840,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1975.163452,50.000000,-2.000000,6.000000,-592549.000000,296.274506,-197516.343750,1997.283203,50.000000,-4.000000,6.000000,-599184.937500,299.592468,-399456.625000,-596973.000000,727582.500000,5992.645508,124616.851562,-120417.390625,4199.460938
ml,worst,446,2026-04-28,1941.583130,10.000000,1964.942993,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1981.485596,50.000000,-2.000000,0.000000,-0.000000,0.000000,-198148.562500,2001.761963,50.000000,-4.000000,0.000000,-0.000000,0.000000,-400352.406250,-598501.000000,727582.500000,5992.645508,123088.851562,-191505.046875,-68416.195312
ml,worst,446,2026-04-29,1968.000000,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2001.993286,50.000000,-2.000000,0.000000,-0.000000,0.000000,-200199.328125,2022.045654,50.000000,-4.000000,0.000000,-0.000000,0.000000,-404409.125000,-604608.437500,727582.500000,5992.645508,116981.414062,-119921.812500,-2940.398438
ml,worst,446,2026-04-30,1992.075562,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2008.764893,50.000000,-2.000000,0.000000,-0.000000,0.000000,-200876.484375,2027.917358,50.000000,-4.000000,0.000000,-0.000000,0.000000,-405583.468750,-606459.937500,727582.500000,5992.645508,115129.914062,-66764.968750,48364.945312
ml,worst,446,2026-05-01,1995.633179,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1953.274170,50.000000,-2.000000,0.000000,-0.000000,0.000000,-195327.421875,1971.853760,50.000000,-4.000000,0.000000,-0.000000,0.000000,-394370.750000,-589698.187500,727582.500000,5992.645508,131891.671875,-54866.527344,77025.140625
ml,worst,446,2026-05-02,2009.428467,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2006.673706,50.000000,-2.000000,0.000000,-0.000000,0.000000,-200667.375000,2025.937378,50.000000,-4.000000,0.000000,-0.000000,0.000000,-405187.468750,-605854.875000,727582.500000,5992.645508,115734.976562,-19765.894531,95969.078125
ml,worst,446,2026-05-03,2020.137573,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2029.137817,50.000000,-2.000000,0.000000,-0.000000,0.000000,-202913.781250,2049.179443,50.000000,-4.000000,0.000000,-0.000000,0.000000,-409835.875000,-612749.625000,727582.500000,5992.645508,108840.226562,4542.131836,113382.359375
ml,worst,446,2026-05-04,1986.105957,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1992.766968,50.000000,-2.000000,0.000000,-0.000000,0.000000,-199276.703125,2013.582031,50.000000,-4.000000,0.000000,-0.000000,0.000000,-402716.406250,-601993.125000,727582.500000,5992.645508,119596.726562,-78301.125000,41295.601562
ml,worst,446,2026-05-05,2012.579346,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2035.259399,50.000000,-12.000000,-10.000000,1017629.687500,508.814850,-1221155.625000,2056.475586,50.000000,-4.000000,0.000000,-0.000000,0.000000,-411295.125000,-1632450.750000,1745212.125000,6501.460938,106259.914062,-17765.376953,88494.539062
