policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2070.749756,50.000000,-7.000000,-7.000000,724762.375000,362.381195,-724762.375000,-724762.375000,724762.375000,362.381195,-362.381195,4854.181641,4491.800293
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2075.079590,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2101.060547,50.000000,-7.000000,0.000000,-0.000000,0.000000,-735371.187500,-735371.187500,724762.375000,362.381195,-10971.193359,80.828957,-10890.364258
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.953491,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2074.674561,50.000000,-7.000000,0.000000,-0.000000,0.000000,-726136.062500,-726136.062500,724762.375000,362.381195,-1736.068726,-64963.031250,-66699.101562
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2045.426025,50.000000,-7.000000,-7.000000,715899.125000,357.949554,-715899.125000,2070.898682,50.000000,-1.000000,6.000000,-621269.625000,310.634827,-103544.937500,-819444.062500,819391.875000,1030.965576,-1083.153076,-18950.523438,-20033.675781
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2042.856934,50.000000,-1.000000,6.000000,-612857.062500,306.428528,-102142.843750,2069.121826,50.000000,-8.000000,-7.000000,724192.625000,362.096313,-827648.750000,-929791.625000,930727.437500,1699.490356,-763.677856,-38905.066406,-39668.746094
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,-7.000000,-7.000000,694210.312500,347.105133,-694210.312500,2006.723877,50.000000,-8.000000,-7.000000,702353.375000,351.176666,-802689.562500,2031.449585,50.000000,-1.000000,7.000000,-711007.375000,355.503662,-101572.476562,-1598472.375000,1616283.750000,2753.275879,15058.099609,-55782.097656,-40724.000000
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,-1.000000,6.000000,-592985.562500,296.492767,-98830.921875,1996.774170,50.000000,-2.000000,6.000000,-599032.250000,299.516113,-199677.421875,2020.267944,50.000000,-8.000000,-7.000000,707093.812500,353.546875,-808107.187500,-1106615.500000,1131359.750000,3702.831543,21041.417969,-131884.015625,-110842.593750
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,-7.000000,-6.000000,610760.312500,305.380127,-712553.687500,2057.065186,50.000000,-8.000000,-6.000000,617119.500000,308.559753,-822826.062500,2080.790527,50.000000,-2.000000,6.000000,-624237.187500,312.118561,-208079.046875,-1743458.750000,1735002.375000,4628.890137,-13085.265625,-13381.950195,-26467.214844
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,-7.000000,0.000000,-0.000000,0.000000,-709516.187500,2048.137939,50.000000,-8.000000,0.000000,-0.000000,0.000000,-819255.187500,2072.372559,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207237.250000,-1736008.625000,1735002.375000,4628.890137,-5635.140137,-15867.924805,-21503.064453
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,-7.000000,0.000000,-0.000000,0.000000,-705847.625000,2037.388550,50.000000,-8.000000,0.000000,-0.000000,0.000000,-814955.437500,2060.567871,50.000000,-2.000000,0.000000,-0.000000,0.000000,-206056.781250,-1726859.750000,1735002.375000,4628.890137,3513.734863,1230.560669,4744.295410
ml,worst,446,2026-04-20,2053.510498,10.000000,2041.007935,50.000000,-1.000000,6.000000,-612302.375000,306.151184,-102050.398438,2062.531982,50.000000,-2.000000,6.000000,-618759.562500,309.379791,-206253.203125,2086.899658,50.000000,-7.000000,-5.000000,521724.906250,260.862457,-730414.875000,-1038718.500000,1025665.312500,5505.283203,-18558.470703,44340.710938,25782.240234
ml,worst,446,2026-04-21,2056.396240,10.000000,2059.851074,50.000000,-6.000000,-5.000000,514962.781250,257.481384,-617955.312500,2083.308350,50.000000,-7.000000,-5.000000,520827.093750,260.413544,-729157.937500,2109.154053,50.000000,-1.000000,6.000000,-632746.187500,316.373077,-105457.703125,-1452571.000000,1428709.125000,6339.551758,-30201.425781,59168.183594,28966.757812
ml,worst,446,2026-04-22,2070.967773,10.000000,2076.047607,50.000000,0.000000,6.000000,-622814.250000,311.407135,0.000000,2097.576172,50.000000,-1.000000,6.000000,-629272.875000,314.636414,-104878.812500,2123.129639,50.000000,-6.000000,-5.000000,530782.437500,265.391205,-636938.875000,-741817.687500,707404.312500,7230.986328,-41644.359375,95683.664062,54039.304688
ml,worst,446,2026-04-23,2131.797119,10.000000,2157.684082,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2178.356934,50.000000,-6.000000,-5.000000,544589.250000,272.294617,-653507.062500,2204.199219,50.000000,0.000000,6.000000,-661259.750000,330.629883,0.000000,-653507.062500,590733.875000,7833.910645,-70607.101562,250682.484375,180075.375000
ml,worst,446,2026-04-24,2113.499268,10.000000,2136.633301,50.000000,-7.000000,-7.000000,747821.687500,373.910797,-747821.687500,2156.173828,50.000000,0.000000,6.000000,-646852.125000,323.426056,0.000000,2181.755371,50.000000,-7.000000,-7.000000,763614.375000,381.807159,-763614.375000,-1511436.000000,1455317.750000,8913.054688,-65031.304688,210095.484375,145064.187500
ml,worst,446,2026-04-25,2117.656494,10.000000,2121.035156,50.000000,-7.000000,0.000000,-0.000000,0.000000,-742362.312500,2139.095947,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2163.214355,50.000000,-7.000000,0.000000,-0.000000,0.000000,-757125.000000,-1499487.250000,1455317.750000,8913.054688,-53082.554688,233408.968750,180326.406250
ml,worst,446,2026-04-26,2009.753174,10.000000,2034.993774,50.000000,-7.000000,0.000000,-0.000000,0.000000,-712247.812500,2053.197021,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2076.562744,50.000000,-7.000000,0.000000,-0.000000,0.000000,-726797.000000,-1439044.750000,1455317.750000,8913.054688,7359.945312,-29213.535156,-21853.589844
ml,worst,446,2026-04-27,1972.469116,10.000000,1956.485840,50.000000,0.000000,7.000000,-684770.000000,342.385010,0.000000,1975.163452,50.000000,-7.000000,-7.000000,691307.250000,345.653595,-691307.250000,1997.283203,50.000000,0.000000,7.000000,-699049.125000,349.524536,0.000000,-691307.250000,762805.875000,9950.617188,61548.007812,-120417.390625,-58869.382812
ml,worst,446,2026-04-28,1941.583130,10.000000,1964.942993,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1981.485596,50.000000,-1.000000,6.000000,-594445.687500,297.222839,-99074.281250,2001.761963,50.000000,-7.000000,-7.000000,700616.687500,350.308350,-700616.687500,-799691.000000,868976.937500,10598.148438,58687.789062,-191505.046875,-132817.250000
ml,worst,446,2026-04-29,1968.000000,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2001.993286,50.000000,-6.000000,-5.000000,500498.343750,250.249161,-600598.000000,2022.045654,50.000000,-1.000000,6.000000,-606613.687500,303.306824,-101102.281250,-701700.250000,762861.500000,11151.705078,50009.546875,-119921.812500,-69912.265625
