policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,-7.000000,-7.000000,716474.125000,358.237030,-716474.125000,2070.749756,50.000000,-7.000000,-7.000000,724762.375000,362.381195,-724762.375000,-1441236.500000,1441236.500000,720.618225,-720.618225,4854.181641,4133.563477
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2075.079590,50.000000,-7.000000,0.000000,-0.000000,0.000000,-726277.812500,2101.060547,50.000000,-7.000000,0.000000,-0.000000,0.000000,-735371.187500,-1461649.000000,1441236.500000,720.618225,-21133.119141,80.828957,-21052.291016
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.953491,50.000000,-7.000000,0.000000,-0.000000,0.000000,-716783.750000,2074.674561,50.000000,-7.000000,0.000000,-0.000000,0.000000,-726136.062500,-1442919.750000,1441236.500000,720.618225,-2403.868164,-64963.031250,-67366.898438
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2045.426025,50.000000,-1.000000,6.000000,-613627.812500,306.813904,-102271.304688,2070.898682,50.000000,-1.000000,6.000000,-621269.625000,310.634827,-103544.937500,-205816.250000,206339.062500,1338.066895,-815.254395,-18950.523438,-19765.777344
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2042.856934,50.000000,-11.000000,-10.000000,1021428.500000,510.714172,-1123571.250000,2069.121826,50.000000,-8.000000,-7.000000,724192.625000,362.096313,-827648.750000,-1951220.000000,1951960.125000,2210.877441,-1470.752441,-38905.066406,-40375.820312
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,-7.000000,-7.000000,694210.312500,347.105133,-694210.312500,2006.723877,50.000000,-1.000000,10.000000,-1003361.937500,501.680939,-100336.195312,2031.449585,50.000000,-2.000000,6.000000,-609434.875000,304.717407,-203144.953125,-997691.437500,1033373.687500,3364.380859,32317.869141,-55782.097656,-23464.228516
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,0.000000,7.000000,-691816.437500,345.908234,0.000000,1996.774170,50.000000,-8.000000,-7.000000,698870.937500,349.435486,-798709.687500,2020.267944,50.000000,-9.000000,-7.000000,707093.812500,353.546875,-909120.625000,-1707830.250000,1747522.000000,4413.271484,35278.476562,-131884.015625,-96605.539062
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,-10.000000,-10.000000,1017933.812500,508.966919,-1017933.812500,2057.065186,50.000000,-2.000000,6.000000,-617119.500000,308.559753,-205706.515625,2080.790527,50.000000,-3.000000,6.000000,-624237.187500,312.118561,-312118.593750,-1535759.000000,1524099.125000,5542.916992,-17202.792969,-13381.950195,-30584.742188
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1013594.500000,2048.137939,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204813.796875,2072.372559,50.000000,-3.000000,0.000000,-0.000000,0.000000,-310855.875000,-1529264.125000,1524099.125000,5542.916992,-10707.916992,-15867.924805,-26575.841797
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1008353.687500,2037.388550,50.000000,-2.000000,0.000000,-0.000000,0.000000,-203738.859375,2060.567871,50.000000,-3.000000,0.000000,-0.000000,0.000000,-309085.187500,-1521177.750000,1524099.125000,5542.916992,-2621.541992,1230.560669,-1390.981323
