policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,356,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,-3.000000,-3.000000,307060.312500,153.530151,-307060.312500,2070.749756,50.000000,-3.000000,-3.000000,310612.437500,155.306229,-310612.437500,-617672.750000,617672.750000,308.836365,-308.836365,4854.181641,4545.345215
ml,worst,356,2026-04-11,2030.958862,10.000000,2041.167236,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2062.593506,50.000000,-3.000000,0.000000,-0.000000,0.000000,-309389.000000,2086.301514,50.000000,-3.000000,0.000000,-0.000000,0.000000,-312945.218750,-622334.250000,617672.750000,308.836365,-4970.336426,-53425.378906,-58395.714844
ml,worst,356,2026-04-12,1951.942017,10.000000,1949.473267,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1971.012085,50.000000,-3.000000,0.000000,-0.000000,0.000000,-295651.812500,1993.324341,50.000000,-3.000000,0.000000,-0.000000,0.000000,-298998.656250,-594650.500000,617672.750000,308.836365,22713.414062,-248450.953125,-225737.531250
ml,worst,356,2026-04-13,1975.459351,10.000000,1987.353882,50.000000,-3.000000,-3.000000,298103.062500,149.051544,-298103.062500,2010.740112,50.000000,0.000000,3.000000,-301611.000000,150.805511,0.000000,2034.969604,50.000000,0.000000,3.000000,-305245.437500,152.622711,0.000000,-298103.062500,308919.375000,761.316162,10054.996094,-188956.328125,-178901.328125
ml,worst,356,2026-04-14,1974.983765,10.000000,1976.391357,50.000000,0.000000,3.000000,-296458.687500,148.229340,0.000000,1999.661865,50.000000,-3.000000,-3.000000,299949.281250,149.974640,-299949.281250,2023.516602,50.000000,-3.000000,-3.000000,303527.500000,151.763733,-303527.500000,-603476.750000,615937.500000,1211.283936,11249.465820,-194820.656250,-183571.187500
ml,worst,356,2026-04-15,1990.164307,10.000000,1998.077515,50.000000,-3.000000,-3.000000,299711.625000,149.855804,-299711.625000,2019.527466,50.000000,0.000000,3.000000,-302929.125000,151.464554,0.000000,2043.162720,50.000000,0.000000,3.000000,-306474.406250,153.237183,0.000000,-299711.625000,306245.562500,1665.841309,4868.096191,-148277.125000,-143409.031250
ml,worst,356,2026-04-16,1953.364624,10.000000,1936.267822,50.000000,0.000000,3.000000,-290440.187500,145.220078,0.000000,1956.706543,50.000000,-3.000000,-3.000000,293505.968750,146.752975,-293505.968750,1979.166504,50.000000,-3.000000,-3.000000,296874.968750,148.437485,-296874.968750,-590380.937500,606186.312500,2106.251953,13699.123047,-234475.031250,-220775.906250
ml,worst,356,2026-04-17,1971.202515,10.000000,1967.382935,50.000000,-3.000000,-3.000000,295107.437500,147.553726,-295107.437500,1986.880249,50.000000,0.000000,3.000000,-298032.031250,149.016022,0.000000,2008.385498,50.000000,0.000000,3.000000,-301257.812500,150.628906,0.000000,-295107.437500,302003.906250,2553.450684,4343.018066,-188170.078125,-183827.062500
ml,worst,356,2026-04-18,1954.061523,10.000000,1935.657471,50.000000,-3.000000,0.000000,-0.000000,0.000000,-290348.625000,1954.716431,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1975.760620,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-290348.625000,302003.906250,2553.450684,9101.830078,-223046.906250,-213945.078125
ml,worst,356,2026-04-19,1892.598999,10.000000,1889.662720,50.000000,-3.000000,0.000000,-0.000000,0.000000,-283449.406250,1907.378296,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1928.014526,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-283449.406250,302003.906250,2553.450684,16001.048828,-375388.156250,-359387.093750
