policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,356,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,-8.000000,-8.000000,818827.562500,409.413757,-818827.562500,2070.749756,50.000000,-8.000000,-8.000000,828299.875000,414.149933,-828299.875000,-1647127.500000,1647127.500000,823.563721,-823.563721,4854.181641,4030.617920
ml,worst,356,2026-04-11,2030.958862,10.000000,2041.167236,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2062.593506,50.000000,-8.000000,0.000000,-0.000000,0.000000,-825037.375000,2086.301514,50.000000,-8.000000,0.000000,-0.000000,0.000000,-834520.625000,-1659558.000000,1647127.500000,823.563721,-13254.063477,-53425.378906,-66679.445312
ml,worst,356,2026-04-12,1951.942017,10.000000,1949.473267,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1971.012085,50.000000,-8.000000,0.000000,-0.000000,0.000000,-788404.812500,1993.324341,50.000000,-8.000000,0.000000,-0.000000,0.000000,-797329.750000,-1585734.500000,1647127.500000,823.563721,60569.437500,-248450.953125,-187881.515625
ml,worst,356,2026-04-13,1975.459351,10.000000,1987.353882,50.000000,-8.000000,-8.000000,794941.562500,397.470764,-794941.562500,2010.740112,50.000000,0.000000,8.000000,-804296.062500,402.148010,0.000000,2034.969604,50.000000,0.000000,8.000000,-813987.812500,406.993896,0.000000,-794941.562500,823785.125000,2030.176270,26813.386719,-188956.328125,-162142.937500
ml,worst,356,2026-04-14,1974.983765,10.000000,1976.391357,50.000000,0.000000,8.000000,-790556.562500,395.278259,0.000000,1999.661865,50.000000,-8.000000,-8.000000,799864.750000,399.932373,-799864.750000,2023.516602,50.000000,-8.000000,-8.000000,809406.625000,404.703278,-809406.625000,-1609271.375000,1642500.000000,3230.090332,29998.535156,-194820.656250,-164822.125000
ml,worst,356,2026-04-15,1990.164307,10.000000,1998.077515,50.000000,-8.000000,-8.000000,799231.000000,399.615479,-799231.000000,2019.527466,50.000000,0.000000,8.000000,-807811.000000,403.905487,0.000000,2043.162720,50.000000,0.000000,8.000000,-817265.062500,408.632507,0.000000,-799231.000000,816654.875000,4442.243652,12981.630859,-148277.125000,-135295.500000
ml,worst,356,2026-04-16,1953.364624,10.000000,1936.267822,50.000000,0.000000,8.000000,-774507.125000,387.253540,0.000000,1956.706543,50.000000,-8.000000,-8.000000,782682.625000,391.341278,-782682.625000,1979.166504,50.000000,-8.000000,-8.000000,791666.625000,395.833282,-791666.625000,-1574349.250000,1616497.000000,5616.671875,36531.078125,-234475.031250,-197943.953125
ml,worst,356,2026-04-17,1971.202515,10.000000,1967.382935,50.000000,-8.000000,-8.000000,786953.187500,393.476593,-786953.187500,1986.880249,50.000000,0.000000,8.000000,-794752.125000,397.376038,0.000000,2008.385498,50.000000,0.000000,8.000000,-803354.187500,401.677094,0.000000,-786953.187500,805343.875000,6809.201172,11581.486328,-188170.078125,-176588.593750
ml,worst,356,2026-04-18,1954.061523,10.000000,1935.657471,50.000000,-8.000000,0.000000,-0.000000,0.000000,-774263.000000,1954.716431,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1975.760620,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-774263.000000,805343.875000,6809.201172,24271.673828,-223046.906250,-198775.234375
ml,worst,356,2026-04-19,1892.598999,10.000000,1889.662720,50.000000,-8.000000,0.000000,-0.000000,0.000000,-755865.062500,1907.378296,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1928.014526,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-755865.062500,805343.875000,6809.201172,42669.609375,-375388.156250,-332718.562500
ml,worst,356,2026-04-20,1861.396484,10.000000,1856.493042,50.000000,0.000000,8.000000,-742597.187500,371.298584,0.000000,1873.535156,50.000000,-8.000000,-8.000000,749414.062500,374.707001,-749414.062500,1894.685791,50.000000,-8.000000,-8.000000,757874.312500,378.937134,-757874.312500,-1507288.375000,1570035.000000,7934.144531,54812.480469,-444656.281250,-389843.812500
