policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,356,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2070.749756,50.000000,-3.000000,-3.000000,310612.437500,155.306229,-310612.437500,-310612.437500,310612.437500,155.306229,-155.306229,4854.181641,4698.875488
ml,worst,356,2026-04-11,2030.958862,10.000000,2041.167236,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2062.593506,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2086.301514,50.000000,-3.000000,0.000000,-0.000000,0.000000,-312945.218750,-312945.218750,310612.437500,155.306229,-2488.087402,-53425.378906,-55913.464844
ml,worst,356,2026-04-12,1951.942017,10.000000,1949.473267,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1971.012085,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1993.324341,50.000000,-3.000000,0.000000,-0.000000,0.000000,-298998.656250,-298998.656250,310612.437500,155.306229,11458.474609,-248450.953125,-236992.484375
ml,worst,356,2026-04-13,1975.459351,10.000000,1987.353882,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2010.740112,50.000000,-3.000000,-3.000000,301611.000000,150.805511,-301611.000000,2034.969604,50.000000,-1.000000,2.000000,-203496.953125,101.748474,-101748.476562,-403359.468750,408726.500000,407.860199,4959.170898,-188956.328125,-183997.156250
ml,worst,356,2026-04-14,1974.983765,10.000000,1976.391357,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1999.661865,50.000000,-1.000000,2.000000,-199966.187500,99.983093,-99983.093750,2023.516602,50.000000,-8.000000,-7.000000,708230.812500,354.115356,-809406.625000,-909389.750000,916991.125000,861.958618,6739.416504,-194820.656250,-188081.234375
ml,worst,356,2026-04-15,1990.164307,10.000000,1998.077515,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2019.527466,50.000000,0.000000,1.000000,-100976.375000,50.488186,0.000000,2043.162720,50.000000,0.000000,8.000000,-817265.062500,408.632507,0.000000,0.000000,-1250.328125,1321.079346,-2571.407471,-148277.125000,-150848.531250
ml,worst,356,2026-04-16,1953.364624,10.000000,1936.267822,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1956.706543,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1979.166504,50.000000,-3.000000,-3.000000,296874.968750,148.437485,-296874.968750,-296874.968750,295624.625000,1469.516846,-2719.860596,-234475.031250,-237194.890625
ml,worst,356,2026-04-17,1971.202515,10.000000,1967.382935,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1986.880249,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2008.385498,50.000000,-1.000000,2.000000,-200838.546875,100.419273,-100419.273438,-100419.273438,94786.093750,1569.936035,-7203.115723,-188170.078125,-195373.187500
ml,worst,356,2026-04-18,1954.061523,10.000000,1935.657471,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1954.716431,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1975.760620,50.000000,-1.000000,0.000000,-0.000000,0.000000,-98788.031250,-98788.031250,94786.093750,1569.936035,-5571.873535,-223046.906250,-228618.781250
ml,worst,356,2026-04-19,1892.598999,10.000000,1889.662720,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1907.378296,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1928.014526,50.000000,-1.000000,0.000000,-0.000000,0.000000,-96400.726562,-96400.726562,94786.093750,1569.936035,-3184.568848,-375388.156250,-378572.718750
ml,worst,356,2026-04-20,1861.396484,10.000000,1856.493042,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1873.535156,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1894.685791,50.000000,-8.000000,-7.000000,663140.062500,331.570007,-757874.312500,-757874.312500,757926.187500,1901.506104,-1849.631104,-444656.281250,-446505.906250
ml,worst,356,2026-04-21,1810.769653,10.000000,1796.823608,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1812.601440,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1832.345215,50.000000,-3.000000,5.000000,-458086.312500,229.043137,-274851.781250,-274851.781250,299839.843750,2130.549316,22857.513672,-569712.750000,-546855.250000
ml,worst,356,2026-04-22,1813.511353,10.000000,1801.883423,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1818.294067,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1837.487427,50.000000,-1.000000,2.000000,-183748.750000,91.874374,-91874.375000,-91874.375000,116091.093750,2222.423584,21994.294922,-557558.500000,-535564.187500
ml,worst,356,2026-04-23,1806.498047,10.000000,1796.488647,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1812.342896,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1831.638062,50.000000,-4.000000,-3.000000,274745.687500,137.372849,-366327.625000,-366327.625000,390836.781250,2359.796631,22149.359375,-563917.562500,-541768.187500
ml,worst,356,2026-04-24,1793.883179,10.000000,1800.912109,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1817.936890,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1838.372437,50.000000,-2.000000,2.000000,-183837.250000,91.918625,-183837.250000,-183837.250000,206999.531250,2451.715088,20710.566406,-587809.312500,-567098.750000
ml,worst,356,2026-04-25,1802.176392,10.000000,1833.093628,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1850.034058,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1870.063965,50.000000,-2.000000,0.000000,-0.000000,0.000000,-187006.390625,-187006.390625,206999.531250,2451.715088,17541.425781,-560329.000000,-542787.562500
ml,worst,356,2026-04-26,1806.111328,10.000000,1829.594482,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1846.256958,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1865.471191,50.000000,-2.000000,0.000000,-0.000000,0.000000,-186547.125000,-186547.125000,206999.531250,2451.715088,18000.691406,-556877.375000,-538876.687500
ml,worst,356,2026-04-27,1821.727783,10.000000,1833.998413,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1851.108032,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1870.388916,50.000000,0.000000,2.000000,-187038.890625,93.519440,0.000000,0.000000,19960.640625,2545.234619,17415.406250,-512909.093750,-495493.687500
ml,worst,356,2026-04-28,1812.389404,10.000000,1800.346924,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1815.851440,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1833.147217,50.000000,-3.000000,-3.000000,274972.062500,137.486053,-274972.062500,-274972.062500,294932.687500,2682.720703,17277.904297,-530570.000000,-513292.093750
ml,worst,356,2026-04-29,1820.282959,10.000000,1807.912964,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1821.878174,50.000000,-3.000000,-3.000000,273281.750000,136.640854,-273281.750000,1838.608398,50.000000,-1.000000,2.000000,-183860.843750,91.930420,-91930.421875,-365212.187500,384353.625000,2911.291992,16230.145508,-505790.687500,-489560.531250
ml,worst,356,2026-04-30,1848.694336,10.000000,1807.912964,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1851.061890,50.000000,-1.000000,2.000000,-185106.187500,92.553093,-92553.093750,1868.185303,50.000000,-6.000000,-5.000000,467046.343750,233.523163,-560455.562500,-653008.625000,666293.750000,3237.368164,10047.756836,-439160.312500,-429112.562500
ml,worst,356,2026-05-01,1809.965088,10.000000,1807.912964,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1796.049683,50.000000,-1.000000,0.000000,-0.000000,0.000000,-89802.484375,1811.760620,50.000000,-1.000000,5.000000,-452940.125000,226.470062,-90588.031250,-180390.515625,213353.640625,3463.838135,29499.287109,-537333.125000,-507833.843750
