policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,26,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2070.749756,50.000000,-9.000000,-9.000000,931837.375000,465.918671,-931837.375000,-931837.375000,931837.375000,465.918671,-465.918671,4854.181641,4388.263184
ml,worst,26,2026-04-11,2011.305420,10.000000,2002.950195,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2022.959961,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2046.449341,50.000000,-9.000000,0.000000,-0.000000,0.000000,-920902.250000,-920902.250000,931837.375000,465.918671,10469.206055,-103065.593750,-92596.390625
ml,worst,26,2026-04-12,2006.171265,10.000000,2010.278687,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2029.020264,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2051.478516,50.000000,-9.000000,0.000000,-0.000000,0.000000,-923165.312500,-923165.312500,931837.375000,465.918671,8206.143555,-112497.968750,-104291.828125
ml,worst,26,2026-04-13,2023.473145,10.000000,2025.561890,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2043.919067,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2065.422119,50.000000,0.000000,9.000000,-929439.937500,464.720001,0.000000,0.000000,2397.437500,930.638672,1466.798828,-69493.265625,-68026.468750
ml,worst,26,2026-04-14,2037.915649,10.000000,2045.384033,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2064.242188,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2085.126953,50.000000,-9.000000,-9.000000,938307.125000,469.153534,-938307.125000,-938307.125000,940704.562500,1399.792236,997.645264,-33540.546875,-32542.902344
ml,worst,26,2026-04-15,2041.927002,10.000000,2044.021240,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2064.053711,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2085.289062,50.000000,0.000000,9.000000,-938380.062500,469.190033,0.000000,0.000000,2324.500000,1868.982178,455.517822,-17481.869141,-17026.351562
ml,worst,26,2026-04-16,2063.618896,10.000000,2051.107666,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2069.313965,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2089.102783,50.000000,-9.000000,-9.000000,940096.312500,470.048096,-940096.312500,-940096.312500,942420.812500,2339.030273,-14.530273,37437.671875,37423.140625
ml,worst,26,2026-04-17,2065.322021,10.000000,2041.284058,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2058.707520,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2078.508301,50.000000,0.000000,9.000000,-935328.687500,467.664337,0.000000,0.000000,7092.125000,2806.694580,4285.430664,40388.234375,44673.664062
ml,worst,26,2026-04-18,2048.330078,10.000000,2056.458252,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2074.702148,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2095.772705,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,7092.125000,2806.694580,4285.430664,5319.921875,9605.352539
ml,worst,26,2026-04-19,2022.778687,10.000000,1981.007935,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1999.741333,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2019.617310,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,7092.125000,2806.694580,4285.430664,-60044.214844,-55758.785156
