policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,273,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-9.000000,-9.000000,911777.125000,455.888580,-911777.125000,2047.068848,50.000000,-9.000000,-9.000000,921180.937500,460.590485,-921180.937500,2070.749756,50.000000,-9.000000,-9.000000,931837.375000,465.918671,-931837.375000,-2764795.500000,2764795.500000,1382.397705,-1382.397705,4854.181641,3471.783936
ml,worst,273,2026-04-11,2050.380371,10.000000,2045.408936,50.000000,-9.000000,0.000000,-0.000000,0.000000,-920434.000000,2063.383789,50.000000,-9.000000,0.000000,-0.000000,0.000000,-928522.625000,2085.257812,50.000000,-9.000000,0.000000,-0.000000,0.000000,-938366.000000,-2787322.500000,2764795.500000,1382.397705,-23909.398438,-13270.904297,-37180.304688
ml,worst,273,2026-04-12,2048.920166,10.000000,2039.564819,50.000000,-9.000000,0.000000,-0.000000,0.000000,-917804.187500,2057.841797,50.000000,-9.000000,0.000000,-0.000000,0.000000,-926028.812500,2079.638672,50.000000,-9.000000,0.000000,-0.000000,0.000000,-935837.375000,-2779670.500000,2764795.500000,1382.397705,-16257.397461,-17655.279297,-33912.675781
ml,worst,273,2026-04-13,2049.219238,10.000000,2051.239990,50.000000,-18.000000,-9.000000,923058.000000,461.528992,-1846116.000000,2069.717285,50.000000,-18.000000,-9.000000,931372.750000,465.686371,-1862745.500000,2092.276123,50.000000,-18.000000,-9.000000,941524.250000,470.762085,-1883048.500000,-5591910.000000,5560750.500000,2780.375244,-33939.875000,-23371.910156,-57311.785156
ml,worst,273,2026-04-14,2072.036377,10.000000,2048.277100,50.000000,-8.000000,10.000000,-1024138.562500,512.069214,-819310.812500,2065.813721,50.000000,-8.000000,10.000000,-1032906.812500,516.453430,-826325.500000,2087.338379,50.000000,-8.000000,10.000000,-1043669.125000,521.834595,-834935.375000,-2480571.500000,2460036.000000,4330.732422,-24866.232422,48384.195312,23517.962891
ml,worst,273,2026-04-15,2107.296387,10.000000,2105.222656,50.000000,-17.000000,-9.000000,947350.187500,473.675079,-1789439.250000,2123.701660,50.000000,-17.000000,-9.000000,955665.750000,477.832855,-1805146.500000,2147.460693,50.000000,-17.000000,-9.000000,966357.312500,483.178619,-1825341.625000,-5419927.500000,5329409.000000,5765.418945,-96283.921875,147083.062500,50799.140625
ml,worst,273,2026-04-16,2089.412109,10.000000,2080.630859,50.000000,-8.000000,9.000000,-936283.875000,468.141968,-832252.375000,2099.705322,50.000000,-26.000000,-9.000000,944867.375000,472.433655,-2729617.000000,2122.956299,50.000000,-8.000000,9.000000,-955330.375000,477.665161,-849182.500000,-4411052.000000,4382662.500000,7183.660156,-35573.160156,105264.203125,69691.046875
ml,worst,273,2026-04-17,2069.377441,10.000000,2053.993652,50.000000,-17.000000,-9.000000,924297.187500,462.148560,-1745894.500000,2072.875000,50.000000,-1.000000,25.000000,-2591093.750000,1295.546875,-103643.750000,2094.548584,50.000000,-17.000000,-9.000000,942546.875000,471.273438,-1780366.250000,-3629904.500000,3658412.500000,9412.628906,19095.371094,54768.230469,73863.601562
ml,worst,273,2026-04-18,2045.280273,10.000000,2028.627686,50.000000,-17.000000,0.000000,-0.000000,0.000000,-1724333.625000,2048.302490,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102415.125000,2069.531250,50.000000,-17.000000,0.000000,-0.000000,0.000000,-1759101.500000,-3585850.250000,3658412.500000,9412.628906,63149.621094,-3185.694336,59963.925781
ml,worst,273,2026-04-19,2052.944580,10.000000,2043.674316,50.000000,-17.000000,0.000000,-0.000000,0.000000,-1737123.250000,2064.483643,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103224.179688,2086.737061,50.000000,-17.000000,0.000000,-0.000000,0.000000,-1773726.500000,-3614074.000000,3658412.500000,9412.628906,34925.871094,27039.841797,61965.710938
ml,worst,273,2026-04-20,2025.418457,10.000000,2040.459473,50.000000,-7.000000,10.000000,-1020229.687500,510.114868,-714160.812500,2061.112793,50.000000,-10.000000,-9.000000,927500.750000,463.750366,-1030556.437500,2084.374512,50.000000,-7.000000,10.000000,-1042187.312500,521.093628,-729531.062500,-2474248.250000,2523496.500000,10907.587891,38340.664062,-35696.269531,2644.394531
ml,worst,273,2026-04-21,2019.640625,10.000000,2032.728271,50.000000,-16.000000,-9.000000,914727.750000,457.363861,-1626182.625000,2054.822754,50.000000,0.000000,10.000000,-1027411.312500,513.705688,0.000000,2078.829590,50.000000,-16.000000,-9.000000,935473.312500,467.736633,-1663063.625000,-3289246.250000,3346286.000000,12346.393555,44693.355469,-43519.046875,1174.308594
ml,worst,273,2026-04-22,2021.044189,10.000000,2036.148926,50.000000,-6.000000,10.000000,-1018074.437500,509.037201,-610844.687500,2058.374756,50.000000,-9.000000,-9.000000,926268.625000,463.134277,-926268.625000,2082.488037,50.000000,-6.000000,10.000000,-1041244.062500,520.622009,-624746.375000,-2161859.500000,2213236.250000,13839.186523,37537.562500,-37256.218750,281.343750
ml,worst,273,2026-04-23,2012.367310,10.000000,2012.557617,50.000000,-15.000000,-9.000000,905651.000000,452.825439,-1509418.125000,2033.612671,50.000000,0.000000,9.000000,-915125.687500,457.562805,0.000000,2057.240479,50.000000,-15.000000,-9.000000,925758.187500,462.879089,-1542930.375000,-3052348.500000,3129520.000000,15212.454102,61959.046875,-55855.644531,6103.402344
ml,worst,273,2026-04-24,1964.866211,10.000000,1974.884766,50.000000,-24.000000,-9.000000,888698.125000,444.349060,-2369861.750000,1996.999268,50.000000,-9.000000,-9.000000,898649.687500,449.324829,-898649.687500,2020.947632,50.000000,-5.000000,10.000000,-1010473.812500,505.236877,-505236.906250,-3773748.500000,3906393.500000,16611.365234,116033.632812,-176112.921875,-60079.289062
ml,worst,273,2026-04-25,1981.240356,10.000000,1988.930786,50.000000,-24.000000,0.000000,-0.000000,0.000000,-2386717.000000,2010.290039,50.000000,-9.000000,0.000000,-0.000000,0.000000,-904630.500000,2033.944702,50.000000,-5.000000,0.000000,-0.000000,0.000000,-508486.187500,-3799833.750000,3906393.500000,16611.365234,89948.382812,-129777.539062,-39829.156250
ml,worst,273,2026-04-26,1977.417847,10.000000,1991.440674,50.000000,-24.000000,0.000000,-0.000000,0.000000,-2389729.000000,2013.004395,50.000000,-9.000000,0.000000,-0.000000,0.000000,-905851.937500,2038.130737,50.000000,-5.000000,0.000000,-0.000000,0.000000,-509532.656250,-3805113.750000,3906393.500000,16611.365234,84668.382812,-135018.265625,-50349.882812
ml,worst,273,2026-04-27,1971.249634,10.000000,1966.935303,50.000000,-14.000000,10.000000,-983467.687500,491.733826,-1376854.750000,1987.449463,50.000000,0.000000,9.000000,-894352.250000,447.176147,0.000000,2011.617676,50.000000,-14.000000,-9.000000,905227.937500,452.613953,-1408132.375000,-2784987.000000,2933801.750000,18002.888672,130811.859375,-149372.359375,-18560.500000
ml,worst,273,2026-04-28,1963.936157,10.000000,1951.673340,50.000000,-23.000000,-9.000000,878253.000000,439.126465,-2244424.500000,1970.938477,50.000000,-9.000000,-9.000000,886922.250000,443.461151,-886922.250000,1993.722412,50.000000,-4.000000,10.000000,-996861.250000,498.430603,-398744.468750,-3530091.250000,3702115.500000,19383.906250,152640.343750,-164563.171875,-11922.828125
ml,worst,273,2026-04-29,1944.721436,10.000000,1936.796875,50.000000,-3.000000,20.000000,-1936796.875000,968.398438,-290519.531250,1955.199463,50.000000,0.000000,9.000000,-879839.750000,439.919861,0.000000,1976.318970,50.000000,-13.000000,-9.000000,889343.562500,444.671722,-1284607.375000,-1575126.875000,1774822.750000,21236.898438,178458.968750,-208706.890625,-30247.921875
ml,worst,273,2026-04-30,1945.709351,10.000000,1936.796875,50.000000,-1.000000,2.000000,-193679.687500,96.839844,-96839.843750,2037.473877,50.000000,-9.000000,-9.000000,916863.250000,458.431580,-916863.250000,2060.792725,50.000000,-3.000000,10.000000,-1030396.375000,515.198120,-309118.906250,-1322822.000000,1467609.875000,22307.367188,122480.507812,-212923.437500,-90442.929688
ml,worst,273,2026-05-01,1895.737549,10.000000,1936.796875,50.000000,-5.000000,-4.000000,387359.375000,193.679688,-484199.218750,1924.802490,50.000000,-18.000000,-9.000000,866161.125000,433.080536,-1732322.250000,1947.022339,50.000000,-12.000000,-9.000000,876160.062500,438.080048,-1168213.375000,-3384735.000000,3597290.500000,23372.207031,189183.296875,-336416.312500,-147233.015625
ml,worst,273,2026-05-02,1901.365723,10.000000,1936.796875,50.000000,-5.000000,0.000000,-0.000000,0.000000,-484199.218750,1940.813477,50.000000,-18.000000,0.000000,-0.000000,0.000000,-1746732.000000,1963.723267,50.000000,-12.000000,0.000000,-0.000000,0.000000,-1178234.000000,-3409165.250000,3597290.500000,23372.207031,164753.046875,-328676.406250,-163923.359375
ml,worst,273,2026-05-03,1879.293945,10.000000,1936.796875,50.000000,-5.000000,0.000000,-0.000000,0.000000,-484199.218750,1896.661011,50.000000,-18.000000,0.000000,-0.000000,0.000000,-1706994.875000,1919.262085,50.000000,-12.000000,0.000000,-0.000000,0.000000,-1151557.250000,-3342751.250000,3597290.500000,23372.207031,231167.046875,-384648.375000,-153481.328125
ml,worst,273,2026-05-04,1885.269775,10.000000,1936.796875,50.000000,0.000000,5.000000,-484199.218750,242.099609,0.000000,1912.913696,50.000000,-27.000000,-9.000000,860811.125000,430.405579,-2582433.500000,1935.962402,50.000000,-2.000000,10.000000,-967981.250000,483.990601,-193596.234375,-2776029.750000,3005921.000000,24528.703125,205362.546875,-374064.531250,-168701.984375
ml,worst,273,2026-05-05,1883.228516,10.000000,1936.796875,50.000000,-4.000000,-4.000000,387359.375000,193.679688,-387359.375000,1915.528442,50.000000,-2.000000,25.000000,-2394410.500000,1197.205200,-191552.843750,1938.361938,50.000000,-11.000000,-9.000000,872262.875000,436.131409,-1066099.000000,-1645011.250000,1871132.875000,26355.718750,199765.906250,-378978.281250,-179212.375000
