policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-1.000000,-1.000000,101308.578125,50.654285,-101308.578125,2047.068848,50.000000,-1.000000,-1.000000,102353.445312,51.176720,-102353.445312,2070.749756,50.000000,-1.000000,-1.000000,103537.484375,51.768742,-103537.484375,-307199.500000,307199.500000,153.599747,-153.599747,4854.181641,4700.582031
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102611.648438,2075.079590,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103753.976562,2101.060547,50.000000,-1.000000,0.000000,-0.000000,0.000000,-105053.031250,-311418.656250,307199.500000,153.599747,-4372.755859,80.828957,-4291.926758
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,-1.000000,0.000000,-0.000000,0.000000,-101143.320312,2047.953491,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102397.671875,2074.674561,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103733.726562,-307274.718750,307199.500000,153.599747,-228.818497,-64963.031250,-65191.851562
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,4.000000,5.000000,-505078.031250,252.539032,404062.437500,2045.426025,50.000000,4.000000,5.000000,-511356.500000,255.678253,409085.218750,2070.898682,50.000000,4.000000,5.000000,-517724.656250,258.862335,414179.750000,1227327.375000,-1226959.750000,920.679443,-553.054443,-18950.523438,-19503.578125
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,-3.000000,-7.000000,705761.500000,352.880737,-302469.218750,2042.856934,50.000000,-3.000000,-7.000000,714999.875000,357.499939,-306428.531250,2069.121826,50.000000,-3.000000,-7.000000,724192.625000,362.096313,-310368.250000,-919266.000000,917994.312500,1993.156372,-3264.843750,-38905.066406,-42169.910156
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,2.000000,5.000000,-495864.500000,247.932251,198345.796875,2006.723877,50.000000,2.000000,5.000000,-501680.968750,250.840469,200672.390625,2031.449585,50.000000,2.000000,5.000000,-507862.406250,253.931183,203144.953125,602163.125000,-587413.562500,2745.860352,12003.702148,-55782.097656,-43778.394531
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,-5.000000,-7.000000,691816.437500,345.908234,-494154.593750,1996.774170,50.000000,-5.000000,-7.000000,698870.937500,349.435486,-499193.562500,2020.267944,50.000000,-5.000000,-7.000000,707093.812500,353.546875,-505067.000000,-1498415.125000,1510367.625000,3794.750977,8157.749023,-131884.015625,-123726.265625
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,0.000000,5.000000,-508966.906250,254.483459,0.000000,2057.065186,50.000000,0.000000,5.000000,-514266.312500,257.133148,0.000000,2080.790527,50.000000,0.000000,5.000000,-520197.656250,260.098816,0.000000,0.000000,-33063.242188,4566.466309,-37629.707031,-13381.950195,-51011.656250
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2048.137939,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2072.372559,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-33063.242188,4566.466309,-37629.707031,-15867.924805,-53497.632812
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2037.388550,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2060.567871,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-33063.242188,4566.466309,-37629.707031,1230.560669,-36399.144531
