policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,891,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,2.000000,2.000000,-202617.156250,101.308571,202617.156250,2047.068848,50.000000,2.000000,2.000000,-204706.890625,102.353439,204706.890625,2070.749756,50.000000,2.000000,2.000000,-207074.968750,103.537483,207074.968750,614399.000000,-614399.000000,307.199493,-307.199493,4854.181641,4546.981934
ml,worst,891,2026-04-11,2042.438232,10.000000,2053.563477,50.000000,2.000000,0.000000,-0.000000,0.000000,205356.343750,2073.739014,50.000000,2.000000,0.000000,-0.000000,0.000000,207373.906250,2097.294434,50.000000,2.000000,0.000000,-0.000000,0.000000,209729.437500,622459.687500,-614399.000000,307.199493,7753.487793,-24138.375000,-16384.886719
ml,worst,891,2026-04-12,2088.375244,10.000000,2099.090820,50.000000,2.000000,0.000000,-0.000000,0.000000,209909.078125,2119.270752,50.000000,2.000000,0.000000,-0.000000,0.000000,211927.078125,2142.333984,50.000000,2.000000,0.000000,-0.000000,0.000000,214233.406250,636069.562500,-614399.000000,307.199493,21363.363281,95262.515625,116625.875000
ml,worst,891,2026-04-13,2072.192627,10.000000,2075.439941,50.000000,4.000000,2.000000,-207544.000000,103.771996,415088.000000,2095.844482,50.000000,11.000000,9.000000,-943130.000000,471.565002,1152714.500000,2118.621094,50.000000,11.000000,9.000000,-953379.500000,476.689697,1165241.625000,2733044.000000,-2718452.500000,1359.226196,13232.273438,58683.664062,71915.937500
ml,worst,891,2026-04-14,2088.374268,10.000000,2069.989502,50.000000,8.000000,4.000000,-413997.906250,206.998947,827995.812500,2090.222412,50.000000,15.000000,4.000000,-418044.468750,209.022232,1567666.750000,2112.361328,50.000000,15.000000,4.000000,-422472.250000,211.236115,1584271.000000,3979933.500000,-3972967.250000,1986.483643,4979.766602,97632.617188,102612.382812
ml,worst,891,2026-04-15,2100.887207,10.000000,2096.873779,50.000000,12.000000,4.000000,-419374.750000,209.687363,1258124.250000,2115.146973,50.000000,19.000000,4.000000,-423029.406250,211.514694,2009389.625000,2135.592285,50.000000,19.000000,4.000000,-427118.468750,213.559219,2028812.750000,5296327.000000,-5242490.000000,2621.244629,51215.753906,136695.687500,187911.437500
ml,worst,891,2026-04-16,2062.313721,10.000000,2067.894531,50.000000,16.000000,4.000000,-413578.906250,206.789444,1654315.625000,2086.168701,50.000000,23.000000,4.000000,-417233.750000,208.616867,2399094.000000,2107.395996,50.000000,23.000000,4.000000,-421479.187500,210.739594,2423505.500000,6476915.000000,-6494782.000000,3247.390625,-21114.390625,40577.609375,19463.218750
ml,worst,891,2026-04-17,2057.600830,10.000000,2069.829346,50.000000,20.000000,4.000000,-413965.875000,206.982925,2069829.250000,2087.947510,50.000000,27.000000,4.000000,-417589.500000,208.794739,2818729.000000,2108.998047,50.000000,27.000000,4.000000,-421799.625000,210.899796,2847147.250000,7735705.000000,-7748136.500000,3874.068115,-16305.568359,34417.101562,18111.533203
ml,worst,891,2026-04-18,2075.613281,10.000000,2116.010742,50.000000,20.000000,0.000000,-0.000000,0.000000,2116010.750000,2137.995117,50.000000,27.000000,0.000000,-0.000000,0.000000,2886293.250000,2161.482422,50.000000,27.000000,0.000000,-0.000000,0.000000,2918001.250000,7920305.000000,-7748136.500000,3874.068115,168294.437500,87438.031250,255732.468750
ml,worst,891,2026-04-19,2099.941650,10.000000,2121.705322,50.000000,20.000000,0.000000,-0.000000,0.000000,2121705.250000,2144.065186,50.000000,27.000000,0.000000,-0.000000,0.000000,2894488.000000,2166.851318,50.000000,27.000000,0.000000,-0.000000,0.000000,2925249.250000,7941442.000000,-7748136.500000,3874.068115,189431.437500,150122.703125,339554.125000
ml,worst,891,2026-04-20,2136.681885,10.000000,2158.709961,50.000000,24.000000,4.000000,-431742.000000,215.870987,2590452.000000,2181.831543,50.000000,31.000000,4.000000,-436366.312500,218.183151,3381839.000000,2204.824463,50.000000,31.000000,4.000000,-440964.906250,220.482437,3417477.750000,9389769.000000,-9057210.000000,4528.604492,328030.406250,245772.796875,573803.187500
ml,worst,891,2026-04-21,2131.787842,10.000000,2133.363770,50.000000,28.000000,4.000000,-426672.750000,213.336365,2986709.500000,2154.059082,50.000000,35.000000,4.000000,-430811.812500,215.405899,3769603.500000,2176.346191,50.000000,35.000000,4.000000,-435269.250000,217.634613,3808605.750000,10564919.000000,-10349964.000000,5174.981445,209780.015625,245754.578125,455534.593750
ml,worst,891,2026-04-22,2078.909668,10.000000,2083.840820,50.000000,32.000000,4.000000,-416768.156250,208.384064,3334145.250000,2104.210205,50.000000,39.000000,4.000000,-420842.031250,210.421021,4103209.750000,2126.777344,50.000000,39.000000,4.000000,-425355.468750,212.677719,4147215.500000,11584570.000000,-11612930.000000,5806.464355,-34166.464844,117306.148438,83139.687500
ml,worst,891,2026-04-23,2102.933838,10.000000,2102.942383,50.000000,36.000000,4.000000,-420588.468750,210.294220,3785296.000000,2124.269531,50.000000,43.000000,4.000000,-424853.906250,212.426941,4567179.500000,2147.565186,50.000000,43.000000,4.000000,-429513.031250,214.756516,4617265.000000,12969740.000000,-12887884.000000,6443.942383,75412.054688,179321.078125,254733.125000
ml,worst,891,2026-04-24,2041.856934,10.000000,2039.360962,50.000000,40.000000,4.000000,-407872.187500,203.936096,4078722.000000,2060.994385,50.000000,47.000000,4.000000,-412198.875000,206.099426,4843336.500000,2084.642334,50.000000,47.000000,4.000000,-416928.468750,208.464233,4898909.500000,13820968.000000,-14124884.000000,7062.442383,-310978.437500,34412.683594,-276565.750000
ml,worst,891,2026-04-25,2003.428711,10.000000,1993.165161,50.000000,40.000000,0.000000,-0.000000,0.000000,3986330.500000,2014.459351,50.000000,47.000000,0.000000,-0.000000,0.000000,4733979.500000,2038.654419,50.000000,47.000000,0.000000,-0.000000,0.000000,4790838.000000,13511148.000000,-14124884.000000,7062.442383,-620798.437500,-58277.804688,-679076.250000
ml,worst,891,2026-04-26,1966.831909,10.000000,1959.437134,50.000000,40.000000,0.000000,-0.000000,0.000000,3918874.250000,1980.345459,50.000000,47.000000,0.000000,-0.000000,0.000000,4653811.500000,2004.321289,50.000000,47.000000,0.000000,-0.000000,0.000000,4710155.000000,13282841.000000,-14124884.000000,7062.442383,-849105.437500,-146785.078125,-995890.500000
ml,worst,891,2026-04-27,1949.105225,10.000000,1964.886963,50.000000,44.000000,4.000000,-392977.406250,196.488693,4322751.000000,1984.332275,50.000000,51.000000,4.000000,-396866.468750,198.433228,5060047.500000,2008.264282,50.000000,51.000000,4.000000,-401652.843750,200.826416,5121074.000000,14503872.000000,-15316381.000000,7658.190430,-820167.187500,-192143.281250,-1012310.500000
ml,worst,891,2026-04-28,1899.388550,10.000000,1903.622925,50.000000,48.000000,4.000000,-380724.593750,190.362289,4568695.000000,1921.862915,50.000000,46.000000,-5.000000,480465.718750,240.232864,4420285.000000,1945.901123,50.000000,46.000000,-5.000000,486475.281250,243.237625,4475572.500000,13464552.000000,-14730164.000000,8332.022461,-1273944.000000,-308787.562500,-1582731.500000
ml,worst,891,2026-04-29,1853.324585,10.000000,1848.154297,50.000000,-2.000000,-50.000000,4620386.000000,2310.192871,-184815.437500,1865.330444,50.000000,50.000000,4.000000,-373066.093750,186.533051,4663326.000000,1888.900879,50.000000,41.000000,-5.000000,472225.187500,236.112610,3872247.000000,8350757.500000,-10010620.000000,11064.861328,-1670927.375000,-422664.656250,-2093592.000000
ml,worst,891,2026-04-30,1854.160767,10.000000,1848.154297,50.000000,43.000000,45.000000,-4158347.250000,2079.173584,3973531.750000,1865.639404,50.000000,45.000000,-5.000000,466409.875000,233.204926,4197688.500000,1888.256714,50.000000,45.000000,4.000000,-377651.343750,188.825668,4248577.500000,12419798.000000,-14080209.000000,13566.065430,-1673977.125000,-426086.093750,-2100063.250000
ml,worst,891,2026-05-01,1868.831543,10.000000,1848.154297,50.000000,-7.000000,-50.000000,4620386.000000,2310.192871,-646854.000000,1870.301147,50.000000,49.000000,4.000000,-374060.218750,187.030106,4582238.000000,1892.518188,50.000000,49.000000,4.000000,-378503.625000,189.251801,4636669.500000,8572054.000000,-10212386.000000,16252.541016,-1656584.500000,-383816.312500,-2040400.750000
ml,worst,891,2026-05-02,1867.395508,10.000000,1848.154297,50.000000,-7.000000,0.000000,-0.000000,0.000000,-646854.000000,1899.206909,50.000000,49.000000,0.000000,-0.000000,0.000000,4653057.000000,1923.947266,50.000000,49.000000,0.000000,-0.000000,0.000000,4713670.500000,8719874.000000,-10212386.000000,16252.541016,-1508764.500000,-385786.906250,-1894551.375000
ml,worst,891,2026-05-03,1833.776855,10.000000,1848.154297,50.000000,-7.000000,0.000000,-0.000000,0.000000,-646854.000000,1873.100098,50.000000,49.000000,0.000000,-0.000000,0.000000,4589095.500000,1897.617188,50.000000,49.000000,0.000000,-0.000000,0.000000,4649162.000000,8591404.000000,-10212386.000000,16252.541016,-1637234.500000,-470695.312500,-2107929.750000
ml,worst,891,2026-05-04,1820.941895,10.000000,1848.154297,50.000000,38.000000,45.000000,-4158347.250000,2079.173584,3511493.000000,1859.961182,50.000000,44.000000,-5.000000,464990.281250,232.495148,4091914.500000,1883.941162,50.000000,44.000000,-5.000000,470985.312500,235.492630,4144670.750000,11748078.000000,-13434758.000000,18799.703125,-1705479.750000,-504288.187500,-2209768.000000
ml,worst,891,2026-05-05,1836.706665,10.000000,1848.154297,50.000000,-12.000000,-50.000000,4620386.000000,2310.192871,-1108892.625000,1867.514648,50.000000,48.000000,4.000000,-373502.937500,186.751465,4482035.000000,1891.820190,50.000000,48.000000,4.000000,-378364.031250,189.182007,4540368.500000,7913511.000000,-9566238.000000,21485.828125,-1674212.875000,-463621.531250,-2137834.500000
ml,worst,891,2026-05-06,1847.233398,10.000000,1848.154297,50.000000,33.000000,45.000000,-4158347.250000,2079.173584,3049454.750000,1865.669434,50.000000,43.000000,-5.000000,466417.375000,233.208679,4011189.500000,1889.801758,50.000000,43.000000,-5.000000,472450.437500,236.225204,4063073.750000,11123718.000000,-12785718.000000,24034.437500,-1686034.500000,-437463.562500,-2123498.000000
ml,worst,891,2026-05-07,1893.218994,10.000000,1848.154297,50.000000,-17.000000,-50.000000,4620386.000000,2310.192871,-1570931.125000,1922.103394,50.000000,47.000000,4.000000,-384420.687500,192.210342,4516943.000000,1947.600586,50.000000,47.000000,4.000000,-389520.125000,194.760056,4576861.500000,7522873.500000,-8939273.000000,26731.599609,-1443131.125000,-324308.468750,-1767439.625000
ml,worst,891,2026-05-08,1840.198364,10.000000,1848.154297,50.000000,28.000000,45.000000,-4158347.250000,2079.173584,2587416.000000,1851.220947,50.000000,42.000000,-5.000000,462805.218750,231.402618,3887564.000000,1876.353882,50.000000,42.000000,-5.000000,469088.468750,234.544220,3940343.000000,10415323.000000,-12165726.000000,29276.718750,-1779679.750000,-452351.031250,-2232030.750000
ml,worst,891,2026-05-09,1818.120361,10.000000,1848.154297,50.000000,28.000000,0.000000,-0.000000,0.000000,2587416.000000,1831.901489,50.000000,42.000000,0.000000,-0.000000,0.000000,3846993.000000,1855.804077,50.000000,42.000000,0.000000,-0.000000,0.000000,3897188.750000,10331598.000000,-12165726.000000,29276.718750,-1863404.750000,-501681.218750,-2365086.000000
ml,worst,891,2026-05-10,1847.918701,10.000000,1848.154297,50.000000,28.000000,0.000000,-0.000000,0.000000,2587416.000000,1868.457764,50.000000,42.000000,0.000000,-0.000000,0.000000,3923761.250000,1892.047729,50.000000,42.000000,0.000000,-0.000000,0.000000,3973300.500000,10484478.000000,-12165726.000000,29276.718750,-1710524.750000,-428494.187500,-2139019.000000
ml,worst,891,2026-05-11,1843.912964,10.000000,1848.154297,50.000000,-22.000000,-50.000000,4620386.000000,2310.192871,-2032969.750000,1849.300171,50.000000,46.000000,4.000000,-369860.031250,184.930008,4253390.000000,1871.734009,50.000000,46.000000,4.000000,-374346.812500,187.173401,4304988.500000,6525409.000000,-8289547.000000,31959.015625,-1796097.000000,-441876.656250,-2237973.750000
ml,worst,891,2026-05-12,1851.333740,10.000000,1848.154297,50.000000,23.000000,45.000000,-4158347.250000,2079.173584,2125377.250000,1853.063965,50.000000,41.000000,-5.000000,463266.000000,231.632980,3798781.250000,1874.759644,50.000000,41.000000,-5.000000,468689.906250,234.344955,3843257.500000,9767416.000000,-11515939.000000,34504.167969,-1783027.125000,-425351.218750,-2208378.250000
ml,worst,891,2026-05-13,1778.806519,10.000000,1848.154297,50.000000,-27.000000,-50.000000,4620386.000000,2310.192871,-2495008.250000,1776.894897,50.000000,45.000000,4.000000,-355378.968750,177.689484,3998013.750000,1798.209717,50.000000,45.000000,4.000000,-359641.937500,179.820969,4045972.000000,5548977.500000,-7610573.500000,37171.871094,-2098767.750000,-606132.062500,-2704899.750000
ml,worst,891,2026-05-14,1801.668701,10.000000,1848.154297,50.000000,18.000000,45.000000,-4158347.250000,2079.173584,1663338.875000,1809.223633,50.000000,49.000000,4.000000,-361844.718750,180.922363,4432598.000000,1830.819214,50.000000,49.000000,4.000000,-366163.843750,183.081924,4485507.000000,10581444.000000,-12496929.000000,39615.050781,-1955100.000000,-547438.562500,-2502538.500000
ml,worst,891,2026-05-15,1800.211304,10.000000,1848.154297,50.000000,63.000000,45.000000,-4158347.250000,2079.173584,5821686.000000,1809.664917,50.000000,44.000000,-5.000000,452416.218750,226.208099,3981263.000000,1828.838623,50.000000,44.000000,-5.000000,457209.656250,228.604828,4023445.000000,13826394.000000,-15745652.000000,42149.031250,-1961407.000000,-548536.937500,-2509944.000000
ml,worst,891,2026-05-16,1805.785889,10.000000,1848.154297,50.000000,63.000000,0.000000,-0.000000,0.000000,5821686.000000,1829.080200,50.000000,44.000000,0.000000,-0.000000,0.000000,4023976.500000,1849.587891,50.000000,44.000000,0.000000,-0.000000,0.000000,4069093.250000,13914755.000000,-15745652.000000,42149.031250,-1873046.000000,-537922.750000,-2410968.750000
ml,worst,891,2026-05-17,1807.742310,10.000000,1848.154297,50.000000,63.000000,0.000000,-0.000000,0.000000,5821686.000000,1825.745483,50.000000,44.000000,0.000000,-0.000000,0.000000,4016640.250000,1844.955322,50.000000,44.000000,0.000000,-0.000000,0.000000,4058901.500000,13897228.000000,-15745652.000000,42149.031250,-1890573.000000,-527901.250000,-2418474.250000
ml,worst,891,2026-05-18,1799.910889,10.000000,1848.154297,50.000000,13.000000,-50.000000,4620386.000000,2310.192871,1201300.250000,1821.460083,50.000000,48.000000,4.000000,-364292.031250,182.146011,4371504.500000,1841.592407,50.000000,48.000000,4.000000,-368318.468750,184.159225,4419822.000000,9992627.000000,-11857876.000000,44825.531250,-1910074.500000,-548336.875000,-2458411.500000
ml,worst,891,2026-05-19,1816.338867,10.000000,1848.154297,50.000000,58.000000,45.000000,-4158347.250000,2079.173584,5359647.500000,1828.582275,50.000000,52.000000,4.000000,-365716.468750,182.858231,4754314.000000,1849.938232,50.000000,43.000000,-5.000000,462484.562500,231.242279,3977367.250000,14091329.000000,-15919454.000000,47318.804688,-1875443.750000,-508281.750000,-2383725.500000
ml,worst,891,2026-05-20,1845.695190,10.000000,1848.154297,50.000000,8.000000,-50.000000,4620386.000000,2310.192871,739261.750000,1833.552124,50.000000,22.000000,-30.000000,2750328.000000,1375.164185,2016907.375000,1857.074585,50.000000,47.000000,4.000000,-371414.906250,185.707443,4364125.500000,7120294.500000,-8920155.000000,51189.871094,-1851050.375000,-433772.406250,-2284822.750000
ml,worst,891,2026-05-21,1852.934082,10.000000,1848.154297,50.000000,53.000000,45.000000,-4158347.250000,2079.173584,4897609.000000,1856.282349,50.000000,26.000000,4.000000,-371256.468750,185.628235,2413167.000000,1876.679321,50.000000,51.000000,4.000000,-375335.875000,187.667938,4785532.500000,12096308.000000,-13825095.000000,53642.339844,-1782429.375000,-415353.843750,-2197783.250000
ml,worst,891,2026-05-22,1825.403320,10.000000,1848.154297,50.000000,3.000000,-50.000000,4620386.000000,2310.192871,277223.156250,1830.581421,50.000000,30.000000,4.000000,-366116.281250,183.058136,2745872.000000,1850.489624,50.000000,46.000000,-5.000000,462622.406250,231.311203,4256126.000000,7279221.000000,-9108202.000000,56366.906250,-1885347.875000,-482296.843750,-2367644.750000
ml,worst,891,2026-05-23,1817.363647,10.000000,1848.154297,50.000000,3.000000,0.000000,-0.000000,0.000000,277223.156250,1815.869995,50.000000,30.000000,0.000000,-0.000000,0.000000,2723805.000000,1834.994507,50.000000,46.000000,0.000000,-0.000000,0.000000,4220487.500000,7221516.000000,-9108202.000000,56366.906250,-1943052.875000,-506976.250000,-2450029.000000
ml,worst,891,2026-05-24,1787.618042,10.000000,1848.154297,50.000000,3.000000,0.000000,-0.000000,0.000000,277223.156250,1774.005615,50.000000,30.000000,0.000000,-0.000000,0.000000,2661008.500000,1792.259888,50.000000,46.000000,0.000000,-0.000000,0.000000,4122197.750000,7060429.500000,-9108202.000000,56366.906250,-2104139.500000,-583812.000000,-2687951.500000
ml,worst,891,2026-05-25,1759.766846,10.000000,1848.154297,50.000000,3.000000,0.000000,-0.000000,0.000000,277223.156250,1753.918945,50.000000,30.000000,0.000000,-0.000000,0.000000,2630878.500000,1770.676514,50.000000,46.000000,0.000000,-0.000000,0.000000,4072555.750000,6980657.500000,-9108202.000000,56366.906250,-2183911.500000,-656509.875000,-2840421.500000
ml,worst,891,2026-05-26,1761.124268,10.000000,1848.154297,50.000000,48.000000,45.000000,-4158347.250000,2079.173584,4435570.500000,1766.162842,50.000000,34.000000,4.000000,-353232.562500,176.616272,3002476.750000,1785.042358,50.000000,41.000000,-5.000000,446260.593750,223.130280,3659336.750000,11097384.000000,-13173522.000000,58845.824219,-2134983.750000,-654523.187500,-2789507.000000
ml,worst,891,2026-05-27,1763.776611,10.000000,1848.154297,50.000000,-2.000000,-50.000000,4620386.000000,2310.192871,-184815.437500,1757.137207,50.000000,38.000000,4.000000,-351427.437500,175.713715,3338560.500000,1776.460083,50.000000,45.000000,4.000000,-355292.031250,177.646011,3997035.250000,7150780.000000,-9259856.000000,61509.375000,-2170585.500000,-651426.625000,-2822012.000000
ml,worst,891,2026-05-28,1751.686157,10.000000,1848.154297,50.000000,43.000000,45.000000,-4158347.250000,2079.173584,3973531.750000,1749.813965,50.000000,42.000000,4.000000,-349962.781250,174.981384,3674609.500000,1769.519531,50.000000,40.000000,-5.000000,442379.875000,221.189941,3539039.000000,11187180.000000,-13325786.000000,63984.722656,-2202590.750000,-684219.000000,-2886809.750000
ml,worst,891,2026-05-29,1741.927612,10.000000,1848.154297,50.000000,-7.000000,-50.000000,4620386.000000,2310.192871,-646854.000000,1747.820923,50.000000,46.000000,4.000000,-349564.187500,174.782089,4019988.250000,1766.587280,50.000000,44.000000,4.000000,-353317.468750,176.658737,3886492.250000,7259626.500000,-9408282.000000,66646.359375,-2215301.750000,-709757.562500,-2925059.250000
ml,worst,891,2026-05-30,1721.392212,10.000000,1848.154297,50.000000,-7.000000,0.000000,-0.000000,0.000000,-646854.000000,1733.513062,50.000000,46.000000,0.000000,-0.000000,0.000000,3987080.000000,1753.624390,50.000000,44.000000,0.000000,-0.000000,0.000000,3857973.750000,7198200.000000,-9408282.000000,66646.359375,-2276728.250000,-762644.812500,-3039373.000000
