policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-2.000000,-2.000000,202617.156250,101.308571,-202617.156250,2047.068848,50.000000,-2.000000,-2.000000,204706.890625,102.353439,-204706.890625,2070.749756,50.000000,-2.000000,-2.000000,207074.968750,103.537483,-207074.968750,-614399.000000,614399.000000,307.199493,-307.199493,4854.181641,4546.981934
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,-2.000000,0.000000,-0.000000,0.000000,-205223.296875,2075.079590,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207507.953125,2101.060547,50.000000,-2.000000,0.000000,-0.000000,0.000000,-210106.062500,-622837.312500,614399.000000,307.199493,-8745.511719,80.828957,-8664.682617
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,-2.000000,0.000000,-0.000000,0.000000,-202286.640625,2047.953491,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204795.343750,2074.674561,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207467.453125,-614549.437500,614399.000000,307.199493,-457.636993,-64963.031250,-65420.667969
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,-1.000000,1.000000,-101015.609375,50.507805,-101015.609375,2045.426025,50.000000,-1.000000,1.000000,-102271.304688,51.135651,-102271.304688,2070.898682,50.000000,-1.000000,1.000000,-103544.937500,51.772469,-103544.937500,-306831.843750,307567.156250,460.615417,274.697083,-18950.523438,-18675.826172
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,0.000000,1.000000,-100823.070312,50.411533,0.000000,2042.856934,50.000000,0.000000,1.000000,-102142.843750,51.071419,0.000000,2069.121826,50.000000,0.000000,1.000000,-103456.093750,51.728046,0.000000,0.000000,1145.156250,613.826416,531.329834,-38905.066406,-38373.738281
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,1.000000,1.000000,-99172.898438,49.586449,99172.898438,2006.723877,50.000000,-2.000000,-2.000000,200672.390625,100.336189,-200672.390625,2031.449585,50.000000,-2.000000,-2.000000,203144.953125,101.572472,-203144.953125,-304644.437500,305789.593750,865.321533,279.834717,-55782.097656,-55502.261719
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,-1.000000,-2.000000,197661.843750,98.830925,-98830.921875,1996.774170,50.000000,-1.000000,1.000000,-99838.710938,49.919353,-99838.710938,2020.267944,50.000000,-1.000000,1.000000,-101013.398438,50.506699,-101013.398438,-299683.031250,302599.343750,1064.578491,1851.734009,-131884.015625,-130032.281250
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,0.000000,1.000000,-101793.382812,50.896690,0.000000,2057.065186,50.000000,0.000000,1.000000,-102853.257812,51.426628,0.000000,2080.790527,50.000000,0.000000,1.000000,-104039.523438,52.019760,0.000000,0.000000,-6086.828125,1218.921631,-7305.750000,-13381.950195,-20687.699219
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2048.137939,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2072.372559,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-6086.828125,1218.921631,-7305.750000,-15867.924805,-23173.675781
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2037.388550,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2060.567871,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-6086.828125,1218.921631,-7305.750000,1230.560669,-6075.189453
ml,worst,446,2026-04-20,2053.510498,10.000000,2041.007935,50.000000,-2.000000,-2.000000,204100.796875,102.050400,-204100.796875,2062.531982,50.000000,-2.000000,-2.000000,206253.203125,103.126595,-206253.203125,2086.899658,50.000000,-2.000000,-2.000000,208689.968750,104.344986,-208689.968750,-619044.000000,612957.125000,1528.443604,-7615.318359,44340.710938,36725.390625
ml,worst,446,2026-04-21,2056.396240,10.000000,2059.851074,50.000000,-1.000000,1.000000,-102992.554688,51.496277,-102992.554688,2083.308350,50.000000,-1.000000,1.000000,-104165.414062,52.082706,-104165.414062,2109.154053,50.000000,-1.000000,1.000000,-105457.703125,52.728848,-105457.703125,-312615.687500,300341.468750,1684.751221,-13958.969727,59168.183594,45209.214844
ml,worst,446,2026-04-22,2070.967773,10.000000,2076.047607,50.000000,0.000000,1.000000,-103802.382812,51.901188,0.000000,2097.576172,50.000000,0.000000,1.000000,-104878.812500,52.439404,0.000000,2123.129639,50.000000,0.000000,1.000000,-106156.484375,53.078243,0.000000,0.000000,-14496.210938,1842.170166,-16338.380859,95683.664062,79345.281250
