policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,863,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-4.000000,-4.000000,405234.312500,202.617142,-405234.312500,2047.068848,50.000000,-4.000000,-4.000000,409413.781250,204.706879,-409413.781250,2070.749756,50.000000,-4.000000,-4.000000,414149.937500,207.074966,-414149.937500,-1228798.000000,1228798.000000,614.398987,-614.398987,4854.181641,4239.782715
ml,worst,863,2026-04-11,2058.646729,10.000000,2055.972412,50.000000,-4.000000,0.000000,-0.000000,0.000000,-411194.468750,2077.447021,50.000000,-4.000000,0.000000,-0.000000,0.000000,-415489.406250,2101.117920,50.000000,-4.000000,0.000000,-0.000000,0.000000,-420223.593750,-1246907.500000,1228798.000000,614.398987,-18723.898438,21683.638672,2959.740234
ml,worst,863,2026-04-12,2031.215698,10.000000,2027.140747,50.000000,-4.000000,0.000000,-0.000000,0.000000,-405428.156250,2047.100708,50.000000,-4.000000,0.000000,-0.000000,0.000000,-409420.156250,2069.129639,50.000000,-4.000000,0.000000,-0.000000,0.000000,-413825.937500,-1228674.250000,1228798.000000,614.398987,-490.648987,-40667.851562,-41158.500000
ml,worst,863,2026-04-13,2026.295532,10.000000,1987.505005,50.000000,-3.000000,1.000000,-99375.250000,49.687622,-298125.750000,2006.772095,50.000000,-3.000000,1.000000,-100338.601562,50.169300,-301015.812500,2028.122314,50.000000,-3.000000,1.000000,-101406.117188,50.703056,-304218.375000,-903359.937500,927678.062500,764.958984,23553.166016,-57035.457031,-33482.289062
ml,worst,863,2026-04-14,2012.497803,10.000000,1969.400269,50.000000,-2.000000,1.000000,-98470.015625,49.235004,-196940.031250,1990.747192,50.000000,-2.000000,1.000000,-99537.359375,49.768681,-199074.718750,2012.699463,50.000000,-2.000000,1.000000,-100634.976562,50.317486,-201269.953125,-597284.687500,629035.750000,914.280151,30836.783203,-85533.093750,-54696.312500
ml,worst,863,2026-04-15,2008.121826,10.000000,1995.371704,50.000000,-1.000000,1.000000,-99768.585938,49.884293,-99768.585938,2016.599365,50.000000,-1.000000,1.000000,-100829.968750,50.414982,-100829.968750,2039.428955,50.000000,-1.000000,1.000000,-101971.445312,50.985722,-101971.445312,-302570.000000,326465.718750,1065.565186,22830.154297,-103443.640625,-80613.484375
ml,worst,863,2026-04-16,2017.688477,10.000000,1996.043091,50.000000,0.000000,1.000000,-99802.156250,49.901077,0.000000,2017.841797,50.000000,0.000000,1.000000,-100892.093750,50.446045,0.000000,2040.152466,50.000000,0.000000,1.000000,-102007.625000,51.003811,0.000000,0.000000,23763.835938,1216.916138,22546.919922,-80249.093750,-57702.171875
ml,worst,863,2026-04-17,1976.137695,10.000000,1956.831543,50.000000,-4.000000,-4.000000,391366.312500,195.683151,-391366.312500,1980.533325,50.000000,-4.000000,-4.000000,396106.656250,198.053314,-396106.656250,2004.123291,50.000000,-4.000000,-4.000000,400824.656250,200.412323,-400824.656250,-1188297.625000,1212061.500000,1811.064941,21952.810547,-180376.578125,-158423.765625
ml,worst,863,2026-04-18,1993.906860,10.000000,1982.333618,50.000000,-4.000000,0.000000,-0.000000,0.000000,-396466.718750,2007.893311,50.000000,-4.000000,0.000000,-0.000000,0.000000,-401578.656250,2032.343384,50.000000,-4.000000,0.000000,-0.000000,0.000000,-406468.687500,-1204514.000000,1212061.500000,1811.064941,5736.435059,-131904.062500,-126167.625000
ml,worst,863,2026-04-19,2002.256836,10.000000,1986.831299,50.000000,-4.000000,0.000000,-0.000000,0.000000,-397366.250000,2012.886841,50.000000,-4.000000,0.000000,-0.000000,0.000000,-402577.375000,2037.769897,50.000000,-4.000000,0.000000,-0.000000,0.000000,-407553.968750,-1207497.625000,1212061.500000,1811.064941,2752.810059,-106888.375000,-104135.562500
