policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,647,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,2.000000,2.000000,-202617.156250,101.308571,202617.156250,2047.068848,50.000000,-2.000000,-2.000000,204706.890625,102.353439,-204706.890625,2070.749756,50.000000,-2.000000,-2.000000,207074.968750,103.537483,-207074.968750,-209164.703125,209164.703125,307.199493,-307.199493,4854.181641,4546.981934
ml,worst,647,2026-04-11,2065.812500,10.000000,2046.706543,50.000000,2.000000,0.000000,-0.000000,0.000000,204670.656250,2066.497070,50.000000,-2.000000,0.000000,-0.000000,0.000000,-206649.703125,2087.301025,50.000000,-2.000000,0.000000,-0.000000,0.000000,-208730.109375,-210709.156250,209164.703125,307.199493,-1851.652588,21260.687500,19409.035156
ml,worst,647,2026-04-12,2078.417969,10.000000,2079.799072,50.000000,2.000000,0.000000,-0.000000,0.000000,207979.906250,2099.327881,50.000000,-2.000000,0.000000,-0.000000,0.000000,-209932.781250,2119.106445,50.000000,-2.000000,0.000000,-0.000000,0.000000,-211910.640625,-213863.515625,209164.703125,307.199493,-5006.012207,53653.718750,48647.707031
ml,worst,647,2026-04-13,2072.717285,10.000000,2052.699951,50.000000,-8.000000,-10.000000,1026350.000000,513.174988,-821080.000000,2069.864990,50.000000,0.000000,2.000000,-206986.500000,103.493248,0.000000,2088.435059,50.000000,0.000000,2.000000,-208843.500000,104.421745,0.000000,-821080.000000,819684.750000,1028.289551,-2423.539551,35766.945312,33343.406250
ml,worst,647,2026-04-14,2008.956055,10.000000,1986.405762,50.000000,-6.000000,2.000000,-198640.578125,99.320282,-595921.750000,2003.242065,50.000000,-2.000000,-2.000000,200324.203125,100.162094,-200324.203125,2020.572021,50.000000,-2.000000,-2.000000,202057.203125,101.028595,-202057.203125,-998303.125000,1023425.562500,1328.800415,23793.636719,-121711.859375,-97918.218750
ml,worst,647,2026-04-15,1935.823853,10.000000,1883.702515,50.000000,-4.000000,2.000000,-188370.250000,94.185120,-376740.500000,1900.474976,50.000000,0.000000,2.000000,-190047.500000,95.023750,0.000000,1917.325806,50.000000,0.000000,2.000000,-191732.578125,95.866287,0.000000,-376740.500000,453275.187500,1613.875610,74920.812500,-291935.343750,-217014.531250
ml,worst,647,2026-04-16,1911.464478,10.000000,1899.659424,50.000000,-2.000000,2.000000,-189965.937500,94.982964,-189965.937500,1916.143188,50.000000,-4.000000,-4.000000,383228.625000,191.614304,-383228.625000,1933.708618,50.000000,-4.000000,-4.000000,386741.718750,193.370865,-386741.718750,-959936.250000,1033279.625000,2093.843750,71249.531250,-351935.843750,-280686.312500
ml,worst,647,2026-04-17,1955.649902,10.000000,1950.535400,50.000000,0.000000,2.000000,-195053.546875,97.526772,0.000000,1967.606323,50.000000,-2.000000,2.000000,-196760.625000,98.380310,-196760.625000,1985.490723,50.000000,-2.000000,2.000000,-198549.078125,99.274536,-198549.078125,-395309.687500,442916.375000,2389.025391,45217.664062,-242649.812500,-197432.156250
ml,worst,647,2026-04-18,1957.756714,10.000000,1950.681763,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1969.401001,50.000000,-2.000000,0.000000,-0.000000,0.000000,-196940.093750,1988.694092,50.000000,-2.000000,0.000000,-0.000000,0.000000,-198869.406250,-395809.500000,442916.375000,2389.025391,44717.851562,-230490.671875,-185772.812500
ml,worst,647,2026-04-19,1971.617065,10.000000,1960.724609,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1979.494751,50.000000,-2.000000,0.000000,-0.000000,0.000000,-197949.468750,1998.929321,50.000000,-2.000000,0.000000,-0.000000,0.000000,-199892.937500,-397842.406250,442916.375000,2389.025391,42684.945312,-191400.796875,-148715.843750
