policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,356,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-2.000000,-2.000000,202617.156250,101.308571,-202617.156250,2047.068848,50.000000,-2.000000,-2.000000,204706.890625,102.353439,-204706.890625,2070.749756,50.000000,-2.000000,-2.000000,207074.968750,103.537483,-207074.968750,-614399.000000,614399.000000,307.199493,-307.199493,4854.181641,4546.981934
ml,worst,356,2026-04-11,2030.958862,10.000000,2041.167236,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204116.718750,2062.593506,50.000000,-2.000000,0.000000,-0.000000,0.000000,-206259.343750,2086.301514,50.000000,-2.000000,0.000000,-0.000000,0.000000,-208630.156250,-619006.250000,614399.000000,307.199493,-4914.449707,-53425.378906,-58339.828125
ml,worst,356,2026-04-12,1951.942017,10.000000,1949.473267,50.000000,-2.000000,0.000000,-0.000000,0.000000,-194947.328125,1971.012085,50.000000,-2.000000,0.000000,-0.000000,0.000000,-197101.203125,1993.324341,50.000000,-2.000000,0.000000,-0.000000,0.000000,-199332.437500,-591381.000000,614399.000000,307.199493,22710.800781,-248450.953125,-225740.156250
ml,worst,356,2026-04-13,1975.459351,10.000000,1987.353882,50.000000,-4.000000,-2.000000,198735.390625,99.367691,-397470.781250,2010.740112,50.000000,-4.000000,-2.000000,201074.015625,100.537003,-402148.031250,2034.969604,50.000000,-4.000000,-2.000000,203496.953125,101.748474,-406993.906250,-1206612.750000,1217705.500000,608.852661,10483.897461,-188956.328125,-178472.437500
ml,worst,356,2026-04-14,1974.983765,10.000000,1976.391357,50.000000,-2.000000,2.000000,-197639.140625,98.819565,-197639.140625,1999.661865,50.000000,-2.000000,2.000000,-199966.187500,99.983093,-199966.187500,2023.516602,50.000000,-7.000000,-3.000000,303527.500000,151.763733,-708230.812500,-1105836.125000,1123627.500000,959.419067,16831.955078,-194820.656250,-177988.703125
ml,worst,356,2026-04-15,1990.164307,10.000000,1998.077515,50.000000,-4.000000,-2.000000,199807.750000,99.903870,-399615.500000,2019.527466,50.000000,-4.000000,-2.000000,201952.750000,100.976372,-403905.500000,2043.162720,50.000000,-5.000000,2.000000,-204316.265625,102.158127,-510790.687500,-1314311.750000,1321071.750000,1262.457520,5497.542480,-148277.125000,-142779.578125
ml,worst,356,2026-04-16,1953.364624,10.000000,1936.267822,50.000000,-2.000000,2.000000,-193626.781250,96.813385,-193626.781250,1956.706543,50.000000,-2.000000,2.000000,-195670.656250,97.835320,-195670.656250,1979.166504,50.000000,-3.000000,2.000000,-197916.656250,98.958321,-296874.968750,-686172.375000,733857.687500,1556.064453,46129.250000,-234475.031250,-188345.781250
ml,worst,356,2026-04-17,1971.202515,10.000000,1967.382935,50.000000,-4.000000,-2.000000,196738.296875,98.369148,-393476.593750,1986.880249,50.000000,-4.000000,-2.000000,198688.031250,99.344009,-397376.062500,2008.385498,50.000000,-5.000000,-2.000000,200838.546875,100.419273,-502096.375000,-1292949.000000,1330122.500000,1854.196777,35319.304688,-188170.078125,-152850.781250
ml,worst,356,2026-04-18,1954.061523,10.000000,1935.657471,50.000000,-4.000000,0.000000,-0.000000,0.000000,-387131.500000,1954.716431,50.000000,-4.000000,0.000000,-0.000000,0.000000,-390943.281250,1975.760620,50.000000,-5.000000,0.000000,-0.000000,0.000000,-493940.125000,-1272014.875000,1330122.500000,1854.196777,56253.429688,-223046.906250,-166793.468750
ml,worst,356,2026-04-19,1892.598999,10.000000,1889.662720,50.000000,-4.000000,0.000000,-0.000000,0.000000,-377932.531250,1907.378296,50.000000,-4.000000,0.000000,-0.000000,0.000000,-381475.656250,1928.014526,50.000000,-5.000000,0.000000,-0.000000,0.000000,-482003.625000,-1241411.750000,1330122.500000,1854.196777,86856.554688,-375388.156250,-288531.593750
ml,worst,356,2026-04-20,1861.396484,10.000000,1856.493042,50.000000,-2.000000,2.000000,-185649.296875,92.824646,-185649.296875,1873.535156,50.000000,-2.000000,2.000000,-187353.515625,93.676750,-187353.515625,1894.685791,50.000000,-3.000000,2.000000,-189468.578125,94.734283,-284202.875000,-657205.687500,767651.125000,2135.432617,108310.007812,-444656.281250,-336346.281250
ml,worst,356,2026-04-21,1810.769653,10.000000,1796.823608,50.000000,-4.000000,-2.000000,179682.359375,89.841179,-359364.718750,1812.601440,50.000000,-5.000000,-3.000000,271890.218750,135.945099,-453150.343750,1832.345215,50.000000,-6.000000,-3.000000,274851.781250,137.425888,-549703.562500,-1362218.625000,1494075.500000,2498.644775,129358.226562,-569712.750000,-440354.531250
ml,worst,356,2026-04-22,1813.511353,10.000000,1801.883423,50.000000,-2.000000,2.000000,-180188.343750,90.094170,-180188.343750,1818.294067,50.000000,-3.000000,2.000000,-181829.406250,90.914696,-272744.125000,1837.487427,50.000000,-4.000000,2.000000,-183748.750000,91.874374,-367497.500000,-820430.000000,948309.000000,2771.527832,125107.468750,-557558.500000,-432451.031250
ml,worst,356,2026-04-23,1806.498047,10.000000,1796.488647,50.000000,-4.000000,-2.000000,179648.859375,89.824432,-359297.718750,1812.342896,50.000000,-6.000000,-3.000000,271851.437500,135.925720,-543702.875000,1831.638062,50.000000,-7.000000,-3.000000,274745.687500,137.372849,-641073.312500,-1544074.000000,1674555.000000,3134.650879,127346.351562,-563917.562500,-436571.218750
ml,worst,356,2026-04-24,1793.883179,10.000000,1800.912109,50.000000,-2.000000,2.000000,-180091.218750,90.045609,-180091.218750,1817.936890,50.000000,-4.000000,2.000000,-181793.687500,90.896843,-363587.375000,1838.372437,50.000000,-5.000000,2.000000,-183837.250000,91.918625,-459593.125000,-1003271.750000,1128832.750000,3407.511963,122153.484375,-587809.312500,-465655.812500
