policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,647,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-1.000000,-1.000000,101308.578125,50.654285,-101308.578125,2047.068848,50.000000,-1.000000,-1.000000,102353.445312,51.176720,-102353.445312,2070.749756,50.000000,-1.000000,-1.000000,103537.484375,51.768742,-103537.484375,-307199.500000,307199.500000,153.599747,-153.599747,4854.181641,4700.582031
ml,worst,647,2026-04-11,2065.812500,10.000000,2046.706543,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102335.328125,2066.497070,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103324.851562,2087.301025,50.000000,-1.000000,0.000000,-0.000000,0.000000,-104365.054688,-310025.250000,307199.500000,153.599747,-2979.349854,21260.687500,18281.337891
ml,worst,647,2026-04-12,2078.417969,10.000000,2079.799072,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103989.953125,2099.327881,50.000000,-1.000000,0.000000,-0.000000,0.000000,-104966.390625,2119.106445,50.000000,-1.000000,0.000000,-0.000000,0.000000,-105955.320312,-314911.656250,307199.500000,153.599747,-7865.755859,53653.718750,45787.960938
ml,worst,647,2026-04-13,2072.717285,10.000000,2052.699951,50.000000,-2.000000,-1.000000,102635.000000,51.317497,-205270.000000,2069.864990,50.000000,-2.000000,-1.000000,103493.250000,51.746624,-206986.500000,2088.435059,50.000000,-2.000000,-1.000000,104421.750000,52.210873,-208843.500000,-621100.000000,617749.500000,308.874756,-3659.374756,35766.945312,32107.570312
ml,worst,647,2026-04-14,2008.956055,10.000000,1986.405762,50.000000,-3.000000,-1.000000,99320.289062,49.660141,-297960.875000,2003.242065,50.000000,-3.000000,-1.000000,100162.101562,50.081047,-300486.312500,2020.572021,50.000000,-3.000000,-1.000000,101028.601562,50.514297,-303085.781250,-901533.000000,918260.500000,459.130249,16268.370117,-121711.859375,-105443.492188
ml,worst,647,2026-04-15,1935.823853,10.000000,1883.702515,50.000000,-1.000000,2.000000,-188370.250000,94.185120,-94185.125000,1900.474976,50.000000,-4.000000,-1.000000,95023.750000,47.511875,-380095.000000,1917.325806,50.000000,-4.000000,-1.000000,95866.289062,47.933144,-383465.156250,-857745.250000,920780.312500,648.760376,62386.300781,-291935.343750,-229549.046875
ml,worst,647,2026-04-16,1911.464478,10.000000,1899.659424,50.000000,-7.000000,-6.000000,569897.875000,284.948883,-664880.812500,1916.143188,50.000000,-2.000000,2.000000,-191614.312500,95.807152,-191614.312500,1933.708618,50.000000,1.000000,5.000000,-483427.156250,241.713577,96685.429688,-759809.687500,815636.750000,1271.229980,54555.832031,-351935.843750,-297380.000000
ml,worst,647,2026-04-17,1955.649902,10.000000,1950.535400,50.000000,-2.000000,5.000000,-487633.843750,243.816925,-195053.546875,1967.606323,50.000000,0.000000,2.000000,-196760.625000,98.380310,0.000000,1985.490723,50.000000,-5.000000,-6.000000,595647.187500,297.823608,-496372.656250,-691426.187500,726889.437500,1911.250854,33552.000000,-242649.812500,-209097.812500
ml,worst,647,2026-04-18,1957.756714,10.000000,1950.681763,50.000000,-2.000000,0.000000,-0.000000,0.000000,-195068.171875,1969.401001,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1988.694092,50.000000,-5.000000,0.000000,-0.000000,0.000000,-497173.531250,-692241.687500,726889.437500,1911.250854,32736.500000,-230490.671875,-197754.171875
ml,worst,647,2026-04-19,1971.617065,10.000000,1960.724609,50.000000,-2.000000,0.000000,-0.000000,0.000000,-196072.468750,1979.494751,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1998.929321,50.000000,-5.000000,0.000000,-0.000000,0.000000,-499732.312500,-695804.750000,726889.437500,1911.250854,29173.437500,-191400.796875,-162227.359375
ml,worst,647,2026-04-20,1985.887207,10.000000,1993.025024,50.000000,0.000000,2.000000,-199302.500000,99.651245,0.000000,2011.062622,50.000000,-6.000000,-6.000000,603318.812500,301.659393,-603318.812500,2030.757080,50.000000,0.000000,5.000000,-507689.250000,253.844620,0.000000,-603318.812500,623216.500000,2566.406006,17331.281250,-147888.078125,-130556.796875
ml,worst,647,2026-04-21,1998.228149,10.000000,2024.452759,50.000000,-6.000000,-6.000000,607335.812500,303.667908,-607335.812500,2042.829224,50.000000,-1.000000,5.000000,-510707.312500,255.353638,-102141.460938,2062.569824,50.000000,-6.000000,-6.000000,618770.937500,309.385498,-618770.937500,-1328248.250000,1338616.000000,3434.812988,6932.937012,-118924.765625,-111991.828125
ml,worst,647,2026-04-22,1965.585938,10.000000,1958.234863,50.000000,-1.000000,5.000000,-489558.687500,244.779358,-97911.742188,1975.805420,50.000000,-2.000000,-1.000000,98790.273438,49.395138,-197580.546875,1995.361328,50.000000,34.000000,40.000000,-3990722.750000,1995.361206,3392114.000000,3096621.750000,-3042875.250000,5724.348633,48022.152344,-200095.593750,-152073.437500
ml,worst,647,2026-04-23,1961.252075,10.000000,1950.276978,50.000000,-2.000000,-1.000000,97513.851562,48.756924,-195027.703125,1967.333496,50.000000,-3.000000,-1.000000,98366.671875,49.183334,-295100.031250,1988.105591,50.000000,9.000000,-25.000000,2485132.000000,1242.566040,894647.562500,404519.812500,-361862.687500,7064.854980,35592.269531,-208910.687500,-173318.421875
ml,worst,647,2026-04-24,1952.300293,10.000000,1932.122559,50.000000,0.000000,2.000000,-193212.250000,96.606125,0.000000,1950.039062,50.000000,-4.000000,-1.000000,97501.953125,48.750973,-390007.812500,1971.830078,50.000000,-16.000000,-25.000000,2464787.500000,1232.393799,-1577464.000000,-1967471.750000,2007214.500000,8442.606445,31300.144531,-225514.031250,-194213.890625
ml,worst,647,2026-04-25,1957.047363,10.000000,1958.223755,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1977.395142,50.000000,-4.000000,0.000000,-0.000000,0.000000,-395479.031250,1999.908325,50.000000,-16.000000,0.000000,-0.000000,0.000000,-1599926.625000,-1995405.625000,2007214.500000,8442.606445,3366.268555,-210285.375000,-206919.109375
ml,worst,647,2026-04-26,1947.968872,10.000000,1933.598145,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1952.613525,50.000000,-4.000000,0.000000,-0.000000,0.000000,-390522.718750,1974.945312,50.000000,-16.000000,0.000000,-0.000000,0.000000,-1579956.250000,-1970479.000000,2007214.500000,8442.606445,28292.894531,-223968.765625,-195675.875000
ml,worst,647,2026-04-27,1914.627075,10.000000,1916.556030,50.000000,-6.000000,-6.000000,574966.812500,287.483398,-574966.812500,1936.448242,50.000000,-5.000000,-1.000000,96822.414062,48.411205,-484112.062500,1959.885864,50.000000,24.000000,40.000000,-3919772.000000,1959.885986,2351863.000000,1292784.125000,-1240768.375000,10738.386719,41277.363281,-300364.375000,-259087.015625
ml,worst,647,2026-04-28,1913.546509,10.000000,1907.230469,50.000000,34.000000,40.000000,-3814461.000000,1907.230347,3242291.750000,1926.867432,50.000000,35.000000,40.000000,-3853734.750000,1926.867554,3372018.000000,1948.960938,50.000000,-1.000000,-25.000000,2436201.250000,1218.100586,-97448.046875,6516862.000000,-6472762.500000,15790.584961,28308.914062,-301604.375000,-273295.468750
ml,worst,647,2026-04-29,1913.260742,10.000000,1899.749512,50.000000,9.000000,-25.000000,2374687.000000,1187.343384,854887.312500,1918.705566,50.000000,10.000000,-25.000000,2398382.000000,1199.191040,959352.750000,1940.738159,50.000000,-2.000000,-1.000000,97036.906250,48.518452,-194073.812500,1620166.250000,-1602656.875000,18225.636719,-716.261719,-294787.437500,-295503.687500
ml,worst,647,2026-04-30,1877.210693,10.000000,1899.749512,50.000000,-16.000000,-25.000000,2374687.000000,1187.343384,-1519799.625000,1865.196289,50.000000,-15.000000,-25.000000,2331495.250000,1165.747681,-1398897.250000,1885.690063,50.000000,-3.000000,-1.000000,94284.500000,47.142250,-282853.500000,-3201550.500000,3197809.750000,20625.871094,-24366.621094,-390262.250000,-414628.875000
ml,worst,647,2026-05-01,1860.604980,10.000000,1899.749512,50.000000,24.000000,40.000000,-3799499.250000,1899.749512,2279699.500000,1859.483887,50.000000,25.000000,40.000000,-3718968.000000,1859.483765,2324355.000000,1879.269775,50.000000,-4.000000,-1.000000,93963.492188,46.981747,-375853.968750,4228200.500000,-4226694.000000,24432.085938,-22925.585938,-433921.156250,-456846.750000
ml,worst,647,2026-05-02,1894.131958,10.000000,1899.749512,50.000000,24.000000,0.000000,-0.000000,0.000000,2279699.500000,1913.539062,50.000000,25.000000,0.000000,-0.000000,0.000000,2391923.750000,1933.051880,50.000000,-4.000000,0.000000,-0.000000,0.000000,-386610.375000,4285012.500000,-4226694.000000,24432.085938,33886.414062,-354438.968750,-320552.562500
ml,worst,647,2026-05-03,1861.980591,10.000000,1899.749512,50.000000,24.000000,0.000000,-0.000000,0.000000,2279699.500000,1869.849365,50.000000,25.000000,0.000000,-0.000000,0.000000,2337311.750000,1887.806885,50.000000,-4.000000,0.000000,-0.000000,0.000000,-377561.375000,4239449.500000,-4226694.000000,24432.085938,-11676.585938,-436745.656250,-448422.250000
ml,worst,647,2026-05-04,1843.592896,10.000000,1899.749512,50.000000,-1.000000,-25.000000,2374687.000000,1187.343384,-94987.476562,1853.639404,50.000000,0.000000,-25.000000,2317049.250000,1158.524658,0.000000,1871.951660,50.000000,36.000000,40.000000,-3743903.000000,1871.951782,3369513.000000,3274525.500000,-3278860.750000,28649.906250,-32985.156250,-482155.312500,-515140.468750
ml,worst,647,2026-05-05,1804.661621,10.000000,1899.749512,50.000000,1.000000,2.000000,-189974.953125,94.987473,94987.476562,1811.242554,50.000000,-1.000000,-1.000000,90562.125000,45.281063,-90562.125000,1829.686646,50.000000,11.000000,-25.000000,2287108.500000,1143.554199,1006327.625000,1010753.000000,-1091165.000000,29933.728516,-110345.726562,-580615.687500,-690961.437500
ml,worst,647,2026-05-06,1816.784790,10.000000,1899.749512,50.000000,-5.000000,-6.000000,569924.875000,284.962402,-474937.406250,1814.562134,50.000000,-2.000000,-1.000000,90728.109375,45.364056,-181456.218750,1831.844482,50.000000,-14.000000,-25.000000,2289805.750000,1144.902832,-1282291.125000,-1938684.750000,1859293.750000,31408.957031,-110799.953125,-553639.562500,-664439.500000
ml,worst,647,2026-05-07,1808.861572,10.000000,1899.749512,50.000000,-3.000000,2.000000,-189974.953125,94.987473,-284962.437500,1814.608643,50.000000,-3.000000,-1.000000,90730.429688,45.365215,-272191.312500,1832.137451,50.000000,26.000000,40.000000,-3664275.000000,1832.137451,2381778.750000,1824625.000000,-1904225.750000,33381.449219,-112982.203125,-573824.000000,-686806.187500
ml,worst,647,2026-05-08,1818.670166,10.000000,1899.749512,50.000000,-1.000000,2.000000,-189974.953125,94.987473,-94987.476562,1827.833496,50.000000,-4.000000,-1.000000,91391.671875,45.695835,-365566.687500,1844.610474,50.000000,1.000000,-25.000000,2305763.000000,1152.881470,92230.523438,-368323.625000,302953.937500,34675.015625,-100044.703125,-548079.562500,-648124.250000
ml,worst,647,2026-05-09,1789.833130,10.000000,1899.749512,50.000000,-1.000000,0.000000,-0.000000,0.000000,-94987.476562,1769.760498,50.000000,-4.000000,0.000000,-0.000000,0.000000,-353952.093750,1786.160400,50.000000,1.000000,0.000000,-0.000000,0.000000,89308.023438,-359631.531250,302953.937500,34675.015625,-91352.609375,-619895.312500,-711247.937500
ml,worst,647,2026-05-10,1772.883179,10.000000,1899.749512,50.000000,-1.000000,0.000000,-0.000000,0.000000,-94987.476562,1778.144043,50.000000,-4.000000,0.000000,-0.000000,0.000000,-355628.812500,1794.924805,50.000000,1.000000,0.000000,-0.000000,0.000000,89746.242188,-360870.031250,302953.937500,34675.015625,-92591.109375,-666724.437500,-759315.562500
