policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,273,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,1.000000,1.000000,-101308.578125,50.654285,101308.578125,2047.068848,50.000000,1.000000,1.000000,-102353.445312,51.176720,102353.445312,2070.749756,50.000000,-2.000000,-2.000000,207074.968750,103.537483,-207074.968750,-3412.937500,3412.937500,205.368500,-205.368500,4854.181641,4648.812988
ml,worst,273,2026-04-11,2050.380371,10.000000,2045.408936,50.000000,1.000000,0.000000,-0.000000,0.000000,102270.445312,2063.383789,50.000000,1.000000,0.000000,-0.000000,0.000000,103169.187500,2085.257812,50.000000,-2.000000,0.000000,-0.000000,0.000000,-208525.781250,-3086.156250,3412.937500,205.368500,121.412750,-13270.904297,-13149.491211
ml,worst,273,2026-04-12,2048.920166,10.000000,2039.564819,50.000000,1.000000,0.000000,-0.000000,0.000000,101978.242188,2057.841797,50.000000,1.000000,0.000000,-0.000000,0.000000,102892.093750,2079.638672,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207963.875000,-3093.531250,3412.937500,205.368500,114.037750,-17655.279297,-17541.242188
ml,worst,273,2026-04-13,2049.219238,10.000000,2051.239990,50.000000,-1.000000,-2.000000,205124.000000,102.561996,-102562.000000,2069.717285,50.000000,-1.000000,-2.000000,206971.734375,103.485863,-103485.867188,2092.276123,50.000000,-1.000000,1.000000,-104613.804688,52.306900,-104613.804688,-310661.687500,310894.875000,463.723236,-230.535736,-23371.910156,-23602.445312
ml,worst,273,2026-04-14,2072.036377,10.000000,2048.277100,50.000000,0.000000,1.000000,-102413.851562,51.206924,0.000000,2065.813721,50.000000,0.000000,1.000000,-103290.687500,51.645344,0.000000,2087.338379,50.000000,0.000000,1.000000,-104366.921875,52.183460,0.000000,0.000000,823.414062,618.758972,204.655090,48384.195312,48588.851562
ml,worst,273,2026-04-15,2107.296387,10.000000,2105.222656,50.000000,1.000000,1.000000,-105261.132812,52.630566,105261.132812,2123.701660,50.000000,-2.000000,-2.000000,212370.171875,106.185081,-212370.171875,2147.460693,50.000000,-2.000000,-2.000000,214746.062500,107.373024,-214746.062500,-321855.093750,322678.531250,884.947632,-61.510132,147083.062500,147021.546875
ml,worst,273,2026-04-16,2089.412109,10.000000,2080.630859,50.000000,-1.000000,-2.000000,208063.093750,104.031548,-104031.546875,2099.705322,50.000000,-1.000000,1.000000,-104985.265625,52.492630,-104985.265625,2122.956299,50.000000,-1.000000,1.000000,-106147.812500,53.073906,-106147.812500,-315164.625000,319608.531250,1094.545654,3349.360596,105264.203125,108613.562500
ml,worst,273,2026-04-17,2069.377441,10.000000,2053.993652,50.000000,0.000000,1.000000,-102699.679688,51.349838,0.000000,2072.875000,50.000000,0.000000,1.000000,-103643.750000,51.821873,0.000000,2094.548584,50.000000,0.000000,1.000000,-104727.429688,52.363716,0.000000,0.000000,8537.671875,1250.081177,7287.590820,54768.230469,62055.820312
ml,worst,273,2026-04-18,2045.280273,10.000000,2028.627686,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2048.302490,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2069.531250,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,8537.671875,1250.081177,7287.590820,-3185.694336,4101.896484
ml,worst,273,2026-04-19,2052.944580,10.000000,2043.674316,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2064.483643,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2086.737061,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,8537.671875,1250.081177,7287.590820,27039.841797,34327.433594
