policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-2.000000,-2.000000,202617.156250,101.308571,-202617.156250,2047.068848,50.000000,-15.000000,-15.000000,1535301.625000,767.650818,-1535301.625000,2070.749756,50.000000,-15.000000,-15.000000,1553062.250000,776.531128,-1553062.250000,-3290981.000000,3290981.000000,1645.490479,-1645.490479,4854.181641,3208.691162
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,-2.000000,0.000000,-0.000000,0.000000,-205223.296875,2075.079590,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1556309.625000,2101.060547,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1575795.375000,-3337328.250000,3290981.000000,1645.490479,-47992.742188,80.828957,-47911.914062
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,-2.000000,0.000000,-0.000000,0.000000,-202286.640625,2047.953491,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1535965.125000,2074.674561,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1556006.000000,-3294257.750000,3290981.000000,1645.490479,-4922.240234,-64963.031250,-69885.273438
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,-4.000000,-2.000000,202031.218750,101.015610,-404062.437500,2045.426025,50.000000,30.000000,45.000000,-4602208.500000,2301.104248,3068139.000000,2070.898682,50.000000,30.000000,45.000000,-4659522.000000,2329.760986,3106348.000000,5770424.500000,-5768718.000000,6377.371094,-4670.871094,-18950.523438,-23621.394531
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,-6.000000,-2.000000,201646.140625,100.823067,-604938.437500,2042.856934,50.000000,15.000000,-15.000000,1532142.625000,766.071289,1532142.625000,2069.121826,50.000000,15.000000,-15.000000,1551841.375000,775.920715,1551841.375000,2479045.500000,-2483088.000000,8020.186523,-12062.686523,-38905.066406,-50967.753906
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,39.000000,45.000000,-4462780.500000,2231.390137,3867743.000000,2006.723877,50.000000,5.000000,-10.000000,1003361.937500,501.680939,501680.968750,2031.449585,50.000000,6.000000,-9.000000,914152.375000,457.076111,609434.875000,4978859.000000,-5028354.500000,11210.333984,-60705.835938,-55782.097656,-116487.937500
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,24.000000,-15.000000,1482463.750000,741.231934,2371942.250000,1996.774170,50.000000,-4.000000,-9.000000,898548.312500,449.274170,-399354.843750,2020.267944,50.000000,-3.000000,-9.000000,909120.625000,454.560303,-303040.187500,1669547.250000,-1738221.625000,12855.400391,-81529.773438,-131884.015625,-213413.781250
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,9.000000,-15.000000,1526900.750000,763.450378,916140.437500,2057.065186,50.000000,-8.000000,-4.000000,411413.031250,205.706512,-822826.062500,2080.790527,50.000000,-18.000000,-15.000000,1560592.875000,780.296387,-1872711.500000,-1779397.125000,1760685.000000,14604.852539,-33316.976562,-13381.950195,-46698.925781
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,9.000000,0.000000,-0.000000,0.000000,912235.062500,2048.137939,50.000000,-8.000000,0.000000,-0.000000,0.000000,-819255.187500,2072.372559,50.000000,-18.000000,0.000000,-0.000000,0.000000,-1865135.375000,-1772155.500000,1760685.000000,14604.852539,-26075.351562,-15867.924805,-41943.277344
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,9.000000,0.000000,-0.000000,0.000000,907518.375000,2037.388550,50.000000,-8.000000,0.000000,-0.000000,0.000000,-814955.437500,2060.567871,50.000000,-18.000000,0.000000,-0.000000,0.000000,-1854511.125000,-1761948.250000,1760685.000000,14604.852539,-15868.102539,1230.560669,-14637.541992
ml,worst,446,2026-04-20,2053.510498,10.000000,2041.007935,50.000000,-6.000000,-15.000000,1530756.000000,765.377991,-612302.375000,2062.531982,50.000000,37.000000,45.000000,-4640697.000000,2320.348389,3815684.000000,2086.899658,50.000000,27.000000,45.000000,-4695524.000000,2347.762207,2817314.500000,6020696.000000,-6044780.000000,20038.341797,-44122.343750,44340.710938,218.367188
