policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,273,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2070.749756,50.000000,1.000000,1.000000,-103537.484375,51.768742,103537.484375,103537.484375,-103537.484375,51.768742,-51.768742,4854.181641,4802.413086
ml,worst,273,2026-04-11,2050.380371,10.000000,2045.408936,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2063.383789,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2085.257812,50.000000,1.000000,0.000000,-0.000000,0.000000,104262.890625,104262.890625,-103537.484375,51.768742,673.637512,-13270.904297,-12597.266602
ml,worst,273,2026-04-12,2048.920166,10.000000,2039.564819,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2057.841797,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2079.638672,50.000000,1.000000,0.000000,-0.000000,0.000000,103981.937500,103981.937500,-103537.484375,51.768742,392.684387,-17655.279297,-17262.595703
ml,worst,273,2026-04-13,2049.219238,10.000000,2051.239990,50.000000,1.000000,1.000000,-102562.000000,51.280998,102562.000000,2069.717285,50.000000,1.000000,1.000000,-103485.867188,51.742931,103485.867188,2092.276123,50.000000,-5.000000,-6.000000,627682.812500,313.841400,-523069.031250,-317021.156250,318097.437500,468.634064,607.647217,-23371.910156,-22764.263672
ml,worst,273,2026-04-14,2072.036377,10.000000,2048.277100,50.000000,-1.000000,-2.000000,204827.703125,102.413849,-102413.851562,2065.813721,50.000000,-1.000000,-2.000000,206581.375000,103.290688,-103290.687500,2087.338379,50.000000,-4.000000,1.000000,-104366.921875,52.183460,-417467.687500,-623172.250000,625139.625000,726.522095,1240.852905,48384.195312,49625.046875
ml,worst,273,2026-04-15,2107.296387,10.000000,2105.222656,50.000000,0.000000,1.000000,-105261.132812,52.630566,0.000000,2123.701660,50.000000,0.000000,1.000000,-106185.085938,53.092541,0.000000,2147.460693,50.000000,-3.000000,1.000000,-107373.031250,53.686512,-322119.093750,-322119.093750,306320.375000,885.931641,-16684.650391,147083.062500,130398.414062
ml,worst,273,2026-04-16,2089.412109,10.000000,2080.630859,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2099.705322,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2122.956299,50.000000,-2.000000,1.000000,-106147.812500,53.073906,-212295.625000,-212295.625000,200172.562500,939.005615,-13062.068359,105264.203125,92202.132812
ml,worst,273,2026-04-17,2069.377441,10.000000,2053.993652,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2072.875000,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2094.548584,50.000000,-1.000000,1.000000,-104727.429688,52.363716,-104727.429688,-104727.429688,95445.125000,991.369263,-10273.673828,54768.230469,44494.554688
ml,worst,273,2026-04-18,2045.280273,10.000000,2028.627686,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2048.302490,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2069.531250,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103476.562500,-103476.562500,95445.125000,991.369263,-9022.806641,-3185.694336,-12208.500977
ml,worst,273,2026-04-19,2052.944580,10.000000,2043.674316,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2064.483643,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2086.737061,50.000000,-1.000000,0.000000,-0.000000,0.000000,-104336.851562,-104336.851562,95445.125000,991.369263,-9883.095703,27039.841797,17156.746094
ml,worst,273,2026-04-20,2025.418457,10.000000,2040.459473,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2061.112793,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2084.374512,50.000000,0.000000,1.000000,-104218.726562,52.109360,0.000000,0.000000,-8773.601562,1043.478638,-9817.080078,-35696.269531,-45513.351562
ml,worst,273,2026-04-21,2019.640625,10.000000,2032.728271,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2054.822754,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2078.829590,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-8773.601562,1043.478638,-9817.080078,-43519.046875,-53336.125000
ml,worst,273,2026-04-22,2021.044189,10.000000,2036.148926,50.000000,1.000000,1.000000,-101807.445312,50.903721,101807.445312,2058.374756,50.000000,1.000000,1.000000,-102918.734375,51.459366,102918.734375,2082.488037,50.000000,1.000000,1.000000,-104124.398438,52.062199,104124.398438,308850.593750,-317624.187500,1197.903931,-9971.498047,-37256.218750,-47227.718750
ml,worst,273,2026-04-23,2012.367310,10.000000,2012.557617,50.000000,-1.000000,-2.000000,201255.765625,100.627876,-100627.882812,2033.612671,50.000000,-6.000000,-7.000000,711764.437500,355.882202,-610083.812500,2057.240479,50.000000,-6.000000,-7.000000,720034.187500,360.017090,-617172.187500,-1327883.875000,1315430.250000,2014.431152,-14468.056641,-55855.644531,-70323.703125
