policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,273,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-2.000000,-2.000000,202617.156250,101.308571,-202617.156250,2047.068848,50.000000,-2.000000,-2.000000,204706.890625,102.353439,-204706.890625,2070.749756,50.000000,-2.000000,-2.000000,207074.968750,103.537483,-207074.968750,-614399.000000,614399.000000,307.199493,-307.199493,4854.181641,4546.981934
ml,worst,273,2026-04-11,2050.380371,10.000000,2045.408936,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204540.890625,2063.383789,50.000000,-2.000000,0.000000,-0.000000,0.000000,-206338.375000,2085.257812,50.000000,-2.000000,0.000000,-0.000000,0.000000,-208525.781250,-619405.000000,614399.000000,307.199493,-5313.199707,-13270.904297,-18584.103516
ml,worst,273,2026-04-12,2048.920166,10.000000,2039.564819,50.000000,-2.000000,0.000000,-0.000000,0.000000,-203956.484375,2057.841797,50.000000,-2.000000,0.000000,-0.000000,0.000000,-205784.187500,2079.638672,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207963.875000,-617704.562500,614399.000000,307.199493,-3612.761963,-17655.279297,-21268.041016
ml,worst,273,2026-04-13,2049.219238,10.000000,2051.239990,50.000000,0.000000,2.000000,-205124.000000,102.561996,0.000000,2069.717285,50.000000,0.000000,2.000000,-206971.734375,103.485863,0.000000,2092.276123,50.000000,0.000000,2.000000,-209227.609375,104.613800,0.000000,0.000000,-6924.328125,617.861145,-7542.189453,-23371.910156,-30914.099609
ml,worst,273,2026-04-14,2072.036377,10.000000,2048.277100,50.000000,-2.000000,-2.000000,204827.703125,102.413849,-204827.703125,2065.813721,50.000000,-2.000000,-2.000000,206581.375000,103.290688,-206581.375000,2087.338379,50.000000,-2.000000,-2.000000,208733.843750,104.366920,-208733.843750,-620142.875000,613218.562500,927.932617,-7852.245117,48384.195312,40531.949219
ml,worst,273,2026-04-15,2107.296387,10.000000,2105.222656,50.000000,0.000000,2.000000,-210522.265625,105.261131,0.000000,2123.701660,50.000000,0.000000,2.000000,-212370.171875,106.185081,0.000000,2147.460693,50.000000,0.000000,2.000000,-214746.062500,107.373024,0.000000,0.000000,-24419.906250,1246.751831,-25666.658203,147083.062500,121416.406250
ml,worst,273,2026-04-16,2089.412109,10.000000,2080.630859,50.000000,-2.000000,-2.000000,208063.093750,104.031548,-208063.093750,2099.705322,50.000000,-2.000000,-2.000000,209970.531250,104.985260,-209970.531250,2122.956299,50.000000,-2.000000,-2.000000,212295.625000,106.147812,-212295.625000,-630329.250000,605909.312500,1561.916504,-25981.853516,105264.203125,79282.351562
ml,worst,273,2026-04-17,2069.377441,10.000000,2053.993652,50.000000,0.000000,2.000000,-205399.359375,102.699677,0.000000,2072.875000,50.000000,0.000000,2.000000,-207287.500000,103.643745,0.000000,2094.548584,50.000000,0.000000,2.000000,-209454.859375,104.727432,0.000000,0.000000,-16232.375000,1872.987427,-18105.363281,54768.230469,36662.867188
ml,worst,273,2026-04-18,2045.280273,10.000000,2028.627686,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2048.302490,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2069.531250,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-16232.375000,1872.987427,-18105.363281,-3185.694336,-21291.058594
ml,worst,273,2026-04-19,2052.944580,10.000000,2043.674316,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2064.483643,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2086.737061,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-16232.375000,1872.987427,-18105.363281,27039.841797,8934.478516
