policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-2.000000,-2.000000,202617.156250,101.308571,-202617.156250,2047.068848,50.000000,-2.000000,-2.000000,204706.890625,102.353439,-204706.890625,2070.749756,50.000000,-2.000000,-2.000000,207074.968750,103.537483,-207074.968750,-614399.000000,614399.000000,307.199493,-307.199493,4854.181641,4546.981934
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,-2.000000,0.000000,-0.000000,0.000000,-205223.296875,2075.079590,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207507.953125,2101.060547,50.000000,-2.000000,0.000000,-0.000000,0.000000,-210106.062500,-622837.312500,614399.000000,307.199493,-8745.511719,80.828957,-8664.682617
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,-2.000000,0.000000,-0.000000,0.000000,-202286.640625,2047.953491,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204795.343750,2074.674561,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207467.453125,-614549.437500,614399.000000,307.199493,-457.636993,-64963.031250,-65420.667969
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,-1.000000,1.000000,-101015.609375,50.507805,-101015.609375,2045.426025,50.000000,-1.000000,1.000000,-102271.304688,51.135651,-102271.304688,2070.898682,50.000000,-1.000000,1.000000,-103544.937500,51.772469,-103544.937500,-306831.843750,307567.156250,460.615417,274.697083,-18950.523438,-18675.826172
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,-3.000000,-2.000000,201646.140625,100.823067,-302469.218750,2042.856934,50.000000,-3.000000,-2.000000,204285.687500,102.142838,-306428.531250,2069.121826,50.000000,-3.000000,-2.000000,206912.187500,103.456093,-310368.250000,-919266.000000,920411.250000,767.037415,378.212585,-38905.066406,-38526.855469
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,-2.000000,1.000000,-99172.898438,49.586449,-198345.796875,2006.723877,50.000000,-5.000000,-2.000000,200672.390625,100.336189,-501680.968750,2031.449585,50.000000,-5.000000,-2.000000,203144.953125,101.572472,-507862.406250,-1207889.125000,1225055.625000,1018.532471,16147.967773,-55782.097656,-39634.128906
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,-4.000000,-2.000000,197661.843750,98.830925,-395323.687500,1996.774170,50.000000,-6.000000,-1.000000,99838.710938,49.919353,-599032.250000,2020.267944,50.000000,-7.000000,-2.000000,202026.796875,101.013397,-707093.812500,-1701449.750000,1724583.000000,1268.296265,21864.953125,-131884.015625,-110019.062500
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,-3.000000,1.000000,-101793.382812,50.896690,-305380.156250,2057.065186,50.000000,-5.000000,1.000000,-102853.257812,51.426628,-514266.312500,2080.790527,50.000000,-6.000000,1.000000,-104039.523438,52.019760,-624237.187500,-1443883.750000,1415896.750000,1422.639282,-29409.638672,-13381.950195,-42791.589844
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,-3.000000,0.000000,-0.000000,0.000000,-304078.375000,2048.137939,50.000000,-5.000000,0.000000,-0.000000,0.000000,-512034.468750,2072.372559,50.000000,-6.000000,0.000000,-0.000000,0.000000,-621711.750000,-1437824.625000,1415896.750000,1422.639282,-23350.513672,-15867.924805,-39218.437500
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,-3.000000,0.000000,-0.000000,0.000000,-302506.093750,2037.388550,50.000000,-5.000000,0.000000,-0.000000,0.000000,-509347.125000,2060.567871,50.000000,-6.000000,0.000000,-0.000000,0.000000,-618170.375000,-1430023.625000,1415896.750000,1422.639282,-15549.514648,1230.560669,-14318.954102
ml,worst,446,2026-04-20,2053.510498,10.000000,2041.007935,50.000000,-2.000000,1.000000,-102050.398438,51.025200,-204100.796875,2062.531982,50.000000,-4.000000,1.000000,-103126.601562,51.563297,-412506.406250,2086.899658,50.000000,-5.000000,1.000000,-104344.984375,52.172493,-521724.906250,-1138332.125000,1106374.875000,1577.400269,-33534.648438,44340.710938,10806.062500
ml,worst,446,2026-04-21,2056.396240,10.000000,2059.851074,50.000000,-1.000000,1.000000,-102992.554688,51.496277,-102992.554688,2083.308350,50.000000,-3.000000,1.000000,-104165.414062,52.082706,-312496.250000,2109.154053,50.000000,-4.000000,1.000000,-105457.703125,52.728848,-421830.812500,-837319.625000,793759.125000,1733.708008,-45294.207031,59168.183594,13873.976562
ml,worst,446,2026-04-22,2070.967773,10.000000,2076.047607,50.000000,-3.000000,-2.000000,207604.765625,103.802376,-311407.125000,2097.576172,50.000000,-2.000000,1.000000,-104878.812500,52.439404,-209757.625000,2123.129639,50.000000,-3.000000,1.000000,-106156.484375,53.078243,-318469.437500,-839634.187500,790328.625000,1943.028076,-51248.589844,95683.664062,44435.074219
