policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,2.000000,2.000000,-202617.156250,101.308571,202617.156250,2047.068848,50.000000,2.000000,2.000000,-204706.890625,102.353439,204706.890625,2070.749756,50.000000,2.000000,2.000000,-207074.968750,103.537483,207074.968750,614399.000000,-614399.000000,307.199493,-307.199493,4854.181641,4546.981934
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,2.000000,0.000000,-0.000000,0.000000,205223.296875,2075.079590,50.000000,2.000000,0.000000,-0.000000,0.000000,207507.953125,2101.060547,50.000000,2.000000,0.000000,-0.000000,0.000000,210106.062500,622837.312500,-614399.000000,307.199493,8131.112793,80.828957,8211.941406
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,2.000000,0.000000,-0.000000,0.000000,202286.640625,2047.953491,50.000000,2.000000,0.000000,-0.000000,0.000000,204795.343750,2074.674561,50.000000,2.000000,0.000000,-0.000000,0.000000,207467.453125,614549.437500,-614399.000000,307.199493,-156.761993,-64963.031250,-65119.792969
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,-5.000000,-7.000000,707109.250000,353.554626,-505078.031250,2045.426025,50.000000,-5.000000,-7.000000,715899.125000,357.949554,-511356.500000,2070.898682,50.000000,-5.000000,-7.000000,724814.562500,362.407288,-517724.656250,-1534159.125000,1533424.000000,1381.110840,-2116.235840,-18950.523438,-21066.759766
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,-4.000000,1.000000,-100823.070312,50.411533,-403292.281250,2042.856934,50.000000,-4.000000,1.000000,-102142.843750,51.071419,-408571.375000,2069.121826,50.000000,-4.000000,1.000000,-103456.093750,51.728046,-413824.375000,-1225688.000000,1227001.875000,1534.322021,-220.447021,-38905.066406,-39125.511719
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,-3.000000,1.000000,-99172.898438,49.586449,-297518.687500,2006.723877,50.000000,-3.000000,1.000000,-100336.195312,50.168095,-301008.593750,2031.449585,50.000000,-3.000000,1.000000,-101572.476562,50.786236,-304717.437500,-903244.687500,925920.375000,1684.862793,20990.824219,-55782.097656,-34791.273438
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,-2.000000,1.000000,-98830.921875,49.415462,-197661.843750,1996.774170,50.000000,-2.000000,1.000000,-99838.710938,49.919353,-199677.421875,2020.267944,50.000000,-2.000000,1.000000,-101013.398438,50.506699,-202026.796875,-599366.062500,626237.312500,1834.704346,25036.544922,-131884.015625,-106847.468750
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,-1.000000,1.000000,-101793.382812,50.896690,-101793.382812,2057.065186,50.000000,-1.000000,1.000000,-102853.257812,51.426628,-102853.257812,2080.790527,50.000000,-1.000000,1.000000,-104039.523438,52.019760,-104039.523438,-308686.156250,317551.156250,1989.047363,6875.952637,-13381.950195,-6505.997559
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,-1.000000,0.000000,-0.000000,0.000000,-101359.453125,2048.137939,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102406.898438,2072.372559,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103618.625000,-307384.968750,317551.156250,1989.047363,8177.140137,-15867.924805,-7690.784668
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,-1.000000,0.000000,-0.000000,0.000000,-100835.367188,2037.388550,50.000000,-1.000000,0.000000,-0.000000,0.000000,-101869.429688,2060.567871,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103028.390625,-305733.187500,317551.156250,1989.047363,9828.921875,1230.560669,11059.482422
ml,worst,446,2026-04-20,2053.510498,10.000000,2041.007935,50.000000,1.000000,2.000000,-204100.796875,102.050400,102050.398438,2062.531982,50.000000,1.000000,2.000000,-206253.203125,103.126595,103126.601562,2086.899658,50.000000,0.000000,1.000000,-104344.984375,52.172493,0.000000,205177.000000,-197147.843750,2246.396729,5782.759766,44340.710938,50123.468750
ml,worst,446,2026-04-21,2056.396240,10.000000,2059.851074,50.000000,-6.000000,-7.000000,720947.875000,360.473938,-617955.312500,2083.308350,50.000000,-6.000000,-7.000000,729157.937500,364.578949,-624992.500000,2109.154053,50.000000,2.000000,2.000000,-210915.406250,105.457695,210915.406250,-1032032.375000,1042042.500000,3076.907227,6933.217773,59168.183594,66101.398438
ml,worst,446,2026-04-22,2070.967773,10.000000,2076.047607,50.000000,-5.000000,1.000000,-103802.382812,51.901188,-519011.906250,2097.576172,50.000000,-5.000000,1.000000,-104878.812500,52.439404,-524394.062500,2123.129639,50.000000,-5.000000,-7.000000,743095.375000,371.547699,-530782.437500,-1574188.500000,1576456.750000,3552.795898,-1284.545898,95683.664062,94399.117188
ml,worst,446,2026-04-23,2131.797119,10.000000,2157.684082,50.000000,-4.000000,1.000000,-107884.203125,53.942101,-431536.812500,2178.356934,50.000000,-4.000000,1.000000,-108917.843750,54.458923,-435671.375000,2204.199219,50.000000,-3.000000,2.000000,-220419.921875,110.209961,-330629.875000,-1197838.000000,1139234.750000,3771.406738,-62374.656250,250682.484375,188307.828125
ml,worst,446,2026-04-24,2113.499268,10.000000,2136.633301,50.000000,-3.000000,1.000000,-106831.664062,53.415829,-320495.000000,2156.173828,50.000000,-2.000000,2.000000,-215617.375000,107.808685,-215617.375000,2181.755371,50.000000,-1.000000,2.000000,-218175.531250,109.087761,-109087.765625,-645200.125000,598610.250000,4041.718994,-50631.593750,210095.484375,159463.890625
ml,worst,446,2026-04-25,2117.656494,10.000000,2121.035156,50.000000,-3.000000,0.000000,-0.000000,0.000000,-318155.281250,2139.095947,50.000000,-2.000000,0.000000,-0.000000,0.000000,-213909.593750,2163.214355,50.000000,-1.000000,0.000000,-0.000000,0.000000,-108160.718750,-640225.625000,598610.250000,4041.718994,-45657.093750,233408.968750,187751.875000
ml,worst,446,2026-04-26,2009.753174,10.000000,2034.993774,50.000000,-3.000000,0.000000,-0.000000,0.000000,-305249.062500,2053.197021,50.000000,-2.000000,0.000000,-0.000000,0.000000,-205319.703125,2076.562744,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103828.140625,-614396.875000,598610.250000,4041.718994,-19828.343750,-29213.535156,-49041.878906
ml,worst,446,2026-04-27,1972.469116,10.000000,1956.485840,50.000000,-1.000000,2.000000,-195648.578125,97.824287,-97824.289062,1975.163452,50.000000,0.000000,2.000000,-197516.343750,98.758171,0.000000,1997.283203,50.000000,1.000000,2.000000,-199728.312500,99.864151,99864.156250,2039.867188,5716.976562,4338.165527,3418.678223,-120417.390625,-116998.710938
ml,worst,446,2026-04-28,1941.583130,10.000000,1964.942993,50.000000,1.000000,2.000000,-196494.296875,98.247147,98247.148438,1981.485596,50.000000,2.000000,2.000000,-198148.562500,99.074280,198148.562500,2001.761963,50.000000,-6.000000,-7.000000,700616.687500,350.308350,-600528.625000,-304132.906250,311690.812500,4885.795410,2672.110840,-191505.046875,-188832.937500
ml,worst,446,2026-04-29,1968.000000,10.000000,1985.684814,50.000000,-3.000000,-4.000000,397136.968750,198.568481,-297852.750000,2001.993286,50.000000,-5.000000,-7.000000,700697.625000,350.348816,-500498.343750,2022.045654,50.000000,-5.000000,1.000000,-101102.281250,50.551140,-505511.437500,-1303862.500000,1308423.125000,5485.263672,-924.638672,-119921.812500,-120846.453125
ml,worst,446,2026-04-30,1992.075562,10.000000,1985.684814,50.000000,-2.000000,1.000000,-99284.242188,49.642120,-198568.484375,2008.764893,50.000000,-3.000000,2.000000,-200876.484375,100.438240,-301314.750000,2027.917358,50.000000,-4.000000,1.000000,-101395.867188,50.697933,-405583.468750,-905466.750000,906866.500000,5686.041992,-4286.291992,-66764.968750,-71051.257812
ml,worst,446,2026-05-01,1995.633179,10.000000,1985.684814,50.000000,-1.000000,1.000000,-99284.242188,49.642120,-99284.242188,1953.274170,50.000000,-1.000000,2.000000,-195327.421875,97.663712,-97663.710938,1971.853760,50.000000,-3.000000,1.000000,-98592.687500,49.296341,-295778.062500,-492726.000000,513662.187500,5882.644531,15053.542969,-54866.527344,-39812.984375
ml,worst,446,2026-05-02,2009.428467,10.000000,1985.684814,50.000000,-1.000000,0.000000,-0.000000,0.000000,-99284.242188,2006.673706,50.000000,-1.000000,0.000000,-0.000000,0.000000,-100333.687500,2025.937378,50.000000,-3.000000,0.000000,-0.000000,0.000000,-303890.593750,-503508.531250,513662.187500,5882.644531,4271.011719,-19765.894531,-15494.882812
