policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,273,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,1.000000,1.000000,-101308.578125,50.654285,101308.578125,2047.068848,50.000000,1.000000,1.000000,-102353.445312,51.176720,102353.445312,2070.749756,50.000000,1.000000,1.000000,-103537.484375,51.768742,103537.484375,307199.500000,-307199.500000,153.599747,-153.599747,4854.181641,4700.582031
ml,worst,273,2026-04-11,2050.380371,10.000000,2045.408936,50.000000,1.000000,0.000000,-0.000000,0.000000,102270.445312,2063.383789,50.000000,1.000000,0.000000,-0.000000,0.000000,103169.187500,2085.257812,50.000000,1.000000,0.000000,-0.000000,0.000000,104262.890625,309702.500000,-307199.500000,153.599747,2349.400146,-13270.904297,-10921.503906
ml,worst,273,2026-04-12,2048.920166,10.000000,2039.564819,50.000000,1.000000,0.000000,-0.000000,0.000000,101978.242188,2057.841797,50.000000,1.000000,0.000000,-0.000000,0.000000,102892.093750,2079.638672,50.000000,1.000000,0.000000,-0.000000,0.000000,103981.937500,308852.281250,-307199.500000,153.599747,1499.181519,-17655.279297,-16156.097656
ml,worst,273,2026-04-13,2049.219238,10.000000,2051.239990,50.000000,-2.000000,-3.000000,307686.000000,153.842987,-205124.000000,2069.717285,50.000000,-2.000000,-3.000000,310457.593750,155.228790,-206971.734375,2092.276123,50.000000,-2.000000,-3.000000,313841.406250,156.920700,-209227.609375,-621323.375000,624785.500000,619.592224,2842.532715,-23371.910156,-20529.376953
ml,worst,273,2026-04-14,2072.036377,10.000000,2048.277100,50.000000,-1.000000,1.000000,-102413.851562,51.206924,-102413.851562,2065.813721,50.000000,-1.000000,1.000000,-103290.687500,51.645344,-103290.687500,2087.338379,50.000000,-1.000000,1.000000,-104366.921875,52.183460,-104366.921875,-310071.437500,314714.031250,774.627930,3867.965820,48384.195312,52252.160156
ml,worst,273,2026-04-15,2107.296387,10.000000,2105.222656,50.000000,0.000000,1.000000,-105261.132812,52.630566,0.000000,2123.701660,50.000000,0.000000,1.000000,-106185.085938,53.092541,0.000000,2147.460693,50.000000,0.000000,1.000000,-107373.031250,53.686512,0.000000,0.000000,-4105.218750,934.037598,-5039.256348,147083.062500,142043.812500
ml,worst,273,2026-04-16,2089.412109,10.000000,2080.630859,50.000000,1.000000,1.000000,-104031.546875,52.015774,104031.546875,2099.705322,50.000000,1.000000,1.000000,-104985.265625,52.492630,104985.265625,2122.956299,50.000000,1.000000,1.000000,-106147.812500,53.073906,106147.812500,315164.625000,-319269.843750,1091.619873,-5196.838867,105264.203125,100067.367188
ml,worst,273,2026-04-17,2069.377441,10.000000,2053.993652,50.000000,1.000000,0.000000,-0.000000,0.000000,102699.679688,2072.875000,50.000000,0.000000,-1.000000,103643.750000,51.821873,0.000000,2094.548584,50.000000,0.000000,-1.000000,104727.429688,52.363716,0.000000,102699.679688,-110898.664062,1195.805420,-9394.790039,54768.230469,45373.441406
ml,worst,273,2026-04-18,2045.280273,10.000000,2028.627686,50.000000,1.000000,0.000000,-0.000000,0.000000,101431.382812,2048.302490,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2069.531250,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,101431.382812,-110898.664062,1195.805420,-10663.086914,-3185.694336,-13848.781250
ml,worst,273,2026-04-19,2052.944580,10.000000,2043.674316,50.000000,1.000000,0.000000,-0.000000,0.000000,102183.718750,2064.483643,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2086.737061,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,102183.718750,-110898.664062,1195.805420,-9910.750977,27039.841797,17129.089844
