policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,2.000000,2.000000,-202617.156250,101.308571,202617.156250,2047.068848,50.000000,2.000000,2.000000,-204706.890625,102.353439,204706.890625,2070.749756,50.000000,-1.000000,-1.000000,103537.484375,51.768742,-103537.484375,303786.562500,-303786.562500,255.430756,-255.430756,4854.181641,4598.750977
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,2.000000,0.000000,-0.000000,0.000000,205223.296875,2075.079590,50.000000,2.000000,0.000000,-0.000000,0.000000,207507.953125,2101.060547,50.000000,-1.000000,0.000000,-0.000000,0.000000,-105053.031250,307678.218750,-303786.562500,255.430756,3636.225586,80.828957,3717.054443
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,2.000000,0.000000,-0.000000,0.000000,202286.640625,2047.953491,50.000000,2.000000,0.000000,-0.000000,0.000000,204795.343750,2074.674561,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103733.726562,303348.281250,-303786.562500,255.430756,-693.712036,-64963.031250,-65656.742188
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,-2.000000,-4.000000,404062.437500,202.031219,-202031.218750,2045.426025,50.000000,-2.000000,-4.000000,409085.218750,204.542603,-204542.609375,2070.898682,50.000000,1.000000,2.000000,-207089.875000,103.544937,103544.937500,-303028.875000,302271.250000,765.549500,-1523.174561,-18950.523438,-20473.697266
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,0.000000,2.000000,-201646.140625,100.823067,0.000000,2042.856934,50.000000,0.000000,2.000000,-204285.687500,102.142838,0.000000,2069.121826,50.000000,-3.000000,-4.000000,413824.375000,206.912186,-310368.250000,-310368.250000,310163.781250,1175.427612,-1379.896362,-38905.066406,-40284.960938
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,2.000000,2.000000,-198345.796875,99.172897,198345.796875,2006.723877,50.000000,2.000000,2.000000,-200672.390625,100.336189,200672.390625,2031.449585,50.000000,-1.000000,2.000000,-203144.953125,101.572472,-101572.476562,297445.718750,-291999.375000,1476.509155,3969.834473,-55782.097656,-51812.261719
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,-2.000000,-4.000000,395323.687500,197.661850,-197661.843750,1996.774170,50.000000,-2.000000,-4.000000,399354.843750,199.677414,-199677.421875,2020.267944,50.000000,1.000000,2.000000,-202026.796875,101.013397,101013.398438,-296325.843750,300652.375000,1974.861816,2351.669434,-131884.015625,-129532.343750
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,-1.000000,1.000000,-101793.382812,50.896690,-101793.382812,2057.065186,50.000000,-1.000000,1.000000,-102853.257812,51.426628,-102853.257812,2080.790527,50.000000,-7.000000,-8.000000,832316.187500,416.158081,-728276.687500,-932923.312500,928321.937500,2493.343262,-7094.718262,-13381.950195,-20476.667969
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,-1.000000,0.000000,-0.000000,0.000000,-101359.453125,2048.137939,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102406.898438,2072.372559,50.000000,-7.000000,0.000000,-0.000000,0.000000,-725330.375000,-929096.750000,928321.937500,2493.343262,-3268.155762,-15867.924805,-19136.080078
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,-1.000000,0.000000,-0.000000,0.000000,-100835.367188,2037.388550,50.000000,-1.000000,0.000000,-0.000000,0.000000,-101869.429688,2060.567871,50.000000,-7.000000,0.000000,-0.000000,0.000000,-721198.750000,-923903.562500,928321.937500,2493.343262,1925.031738,1230.560669,3155.592285
