policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-2.000000,-2.000000,202617.156250,101.308571,-202617.156250,2047.068848,50.000000,-2.000000,-2.000000,204706.890625,102.353439,-204706.890625,2070.749756,50.000000,-2.000000,-2.000000,207074.968750,103.537483,-207074.968750,-614399.000000,614399.000000,307.199493,-307.199493,4854.181641,4546.981934
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,-2.000000,0.000000,-0.000000,0.000000,-205223.296875,2075.079590,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207507.953125,2101.060547,50.000000,-2.000000,0.000000,-0.000000,0.000000,-210106.062500,-622837.312500,614399.000000,307.199493,-8745.511719,80.828957,-8664.682617
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,-2.000000,0.000000,-0.000000,0.000000,-202286.640625,2047.953491,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204795.343750,2074.674561,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207467.453125,-614549.437500,614399.000000,307.199493,-457.636993,-64963.031250,-65420.667969
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,0.000000,2.000000,-202031.218750,101.015610,0.000000,2045.426025,50.000000,0.000000,2.000000,-204542.609375,102.271301,0.000000,2070.898682,50.000000,0.000000,2.000000,-207089.875000,103.544937,0.000000,0.000000,735.312500,614.031372,121.281128,-18950.523438,-18829.242188
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,-2.000000,-2.000000,201646.140625,100.823067,-201646.140625,2042.856934,50.000000,-2.000000,-2.000000,204285.687500,102.142838,-204285.687500,2069.121826,50.000000,-2.000000,-2.000000,206912.187500,103.456093,-206912.187500,-612844.000000,613579.375000,920.453308,-185.078308,-38905.066406,-39090.144531
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,0.000000,2.000000,-198345.796875,99.172897,0.000000,2006.723877,50.000000,0.000000,2.000000,-200672.390625,100.336189,0.000000,2031.449585,50.000000,0.000000,2.000000,-203144.953125,101.572472,0.000000,0.000000,11416.187500,1221.534912,10194.652344,-55782.097656,-45587.445312
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,-2.000000,-2.000000,197661.843750,98.830925,-197661.843750,1996.774170,50.000000,-2.000000,-2.000000,199677.421875,99.838707,-199677.421875,2020.267944,50.000000,-2.000000,-2.000000,202026.796875,101.013397,-202026.796875,-599366.062500,610782.250000,1521.217896,9894.969727,-131884.015625,-121989.046875
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,0.000000,2.000000,-203586.765625,101.793381,0.000000,2057.065186,50.000000,0.000000,2.000000,-205706.515625,102.853256,0.000000,2080.790527,50.000000,0.000000,2.000000,-208079.046875,104.039520,0.000000,0.000000,-6590.078125,1829.904053,-8419.982422,-13381.950195,-21801.933594
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2048.137939,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2072.372559,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-6590.078125,1829.904053,-8419.982422,-15867.924805,-24287.906250
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2037.388550,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2060.567871,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-6590.078125,1829.904053,-8419.982422,1230.560669,-7189.421875
ml,worst,446,2026-04-20,2053.510498,10.000000,2041.007935,50.000000,-2.000000,-2.000000,204100.796875,102.050400,-204100.796875,2062.531982,50.000000,-2.000000,-2.000000,206253.203125,103.126595,-206253.203125,2086.899658,50.000000,-2.000000,-2.000000,208689.968750,104.344986,-208689.968750,-619044.000000,612453.875000,2139.426270,-8729.550781,44340.710938,35611.160156
ml,worst,446,2026-04-21,2056.396240,10.000000,2059.851074,50.000000,0.000000,2.000000,-205985.109375,102.992554,0.000000,2083.308350,50.000000,0.000000,2.000000,-208330.828125,104.165413,0.000000,2109.154053,50.000000,0.000000,2.000000,-210915.406250,105.457695,0.000000,0.000000,-12777.453125,2452.041748,-15229.495117,59168.183594,43938.687500
ml,worst,446,2026-04-22,2070.967773,10.000000,2076.047607,50.000000,-2.000000,-2.000000,207604.765625,103.802376,-207604.765625,2097.576172,50.000000,-2.000000,-2.000000,209757.625000,104.878807,-209757.625000,2123.129639,50.000000,-2.000000,-2.000000,212312.968750,106.156487,-212312.968750,-629675.375000,616897.937500,2766.879395,-15544.316406,95683.664062,80139.343750
