policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-4.000000,-4.000000,405234.312500,202.617142,-405234.312500,2047.068848,50.000000,-4.000000,-4.000000,409413.781250,204.706879,-409413.781250,2070.749756,50.000000,-4.000000,-4.000000,414149.937500,207.074966,-414149.937500,-1228798.000000,1228798.000000,614.398987,-614.398987,4854.181641,4239.782715
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,-4.000000,0.000000,-0.000000,0.000000,-410446.593750,2075.079590,50.000000,-4.000000,0.000000,-0.000000,0.000000,-415015.906250,2101.060547,50.000000,-4.000000,0.000000,-0.000000,0.000000,-420212.125000,-1245674.625000,1228798.000000,614.398987,-17491.023438,80.828957,-17410.195312
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,-4.000000,0.000000,-0.000000,0.000000,-404573.281250,2047.953491,50.000000,-4.000000,0.000000,-0.000000,0.000000,-409590.687500,2074.674561,50.000000,-4.000000,0.000000,-0.000000,0.000000,-414934.906250,-1229098.875000,1228798.000000,614.398987,-915.273987,-64963.031250,-65878.304688
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,3.000000,7.000000,-707109.250000,353.554626,303046.812500,2045.426025,50.000000,3.000000,7.000000,-715899.125000,357.949554,306813.906250,2070.898682,50.000000,3.000000,7.000000,-724814.562500,362.407288,310634.812500,920495.562500,-919024.875000,1688.310303,-217.622803,-18950.523438,-19168.146484
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,-1.000000,-4.000000,403292.281250,201.646133,-100823.070312,2042.856934,50.000000,-1.000000,-4.000000,408571.375000,204.285675,-102142.843750,2069.121826,50.000000,-1.000000,-4.000000,413824.375000,206.912186,-103456.093750,-306422.000000,306663.125000,2301.154297,-2060.029297,-38905.066406,-40965.093750
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,-5.000000,-4.000000,396691.593750,198.345795,-495864.500000,2006.723877,50.000000,-5.000000,-4.000000,401344.781250,200.672379,-501680.968750,2031.449585,50.000000,-5.000000,-4.000000,406289.906250,203.144943,-507862.406250,-1505407.875000,1510989.375000,2903.317627,2678.182373,-55782.097656,-53103.914062
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,2.000000,7.000000,-691816.437500,345.908234,197661.843750,1996.774170,50.000000,-9.000000,-4.000000,399354.843750,199.677414,-898548.312500,2020.267944,50.000000,-9.000000,-4.000000,404053.593750,202.026794,-909120.625000,-1610007.125000,1622581.375000,3650.929932,8923.320312,-131884.015625,-122960.695312
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,-2.000000,-4.000000,407173.531250,203.586761,-203586.765625,2057.065186,50.000000,-2.000000,7.000000,-719972.812500,359.986389,-205706.515625,2080.790527,50.000000,-2.000000,7.000000,-728276.687500,364.138306,-208079.046875,-617372.312500,581505.437500,4578.641602,-40445.515625,-13381.950195,-53827.464844
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,-2.000000,0.000000,-0.000000,0.000000,-202718.906250,2048.137939,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204813.796875,2072.372559,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207237.250000,-614769.937500,581505.437500,4578.641602,-37843.140625,-15867.924805,-53711.066406
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,-2.000000,0.000000,-0.000000,0.000000,-201670.734375,2037.388550,50.000000,-2.000000,0.000000,-0.000000,0.000000,-203738.859375,2060.567871,50.000000,-2.000000,0.000000,-0.000000,0.000000,-206056.781250,-611466.375000,581505.437500,4578.641602,-34539.578125,1230.560669,-33309.015625
ml,worst,446,2026-04-20,2053.510498,10.000000,2041.007935,50.000000,-6.000000,-4.000000,408201.593750,204.100800,-612302.375000,2062.531982,50.000000,-6.000000,-4.000000,412506.406250,206.253189,-618759.562500,2086.899658,50.000000,-6.000000,-4.000000,417379.937500,208.689972,-626069.937500,-1857132.000000,1819593.375000,5197.685547,-42736.312500,44340.710938,1604.398438
ml,worst,446,2026-04-21,2056.396240,10.000000,2059.851074,50.000000,1.000000,7.000000,-720947.875000,360.473938,102992.554688,2083.308350,50.000000,-10.000000,-4.000000,416661.656250,208.330826,-1041654.187500,2109.154053,50.000000,-10.000000,-4.000000,421830.812500,210.915390,-1054577.000000,-1993238.625000,1937138.000000,5977.405273,-62078.031250,59168.183594,-2909.847656
ml,worst,446,2026-04-22,2070.967773,10.000000,2076.047607,50.000000,-3.000000,-4.000000,415209.531250,207.604752,-311407.125000,2097.576172,50.000000,-3.000000,7.000000,-734151.687500,367.075836,-314636.437500,2123.129639,50.000000,-3.000000,7.000000,-743095.375000,371.547699,-318469.437500,-944513.000000,875100.437500,6923.633789,-76336.195312,95683.664062,19347.468750
ml,worst,446,2026-04-23,2131.797119,10.000000,2157.684082,50.000000,-7.000000,-4.000000,431536.812500,215.768402,-755189.437500,2178.356934,50.000000,-7.000000,-4.000000,435671.375000,217.835693,-762424.875000,2204.199219,50.000000,-7.000000,-4.000000,440839.843750,220.419922,-771469.750000,-2289084.000000,2183148.500000,7577.658203,-113513.156250,250682.484375,137169.328125
