policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,863,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-1.000000,-1.000000,101308.578125,50.654285,-101308.578125,2047.068848,50.000000,-1.000000,-1.000000,102353.445312,51.176720,-102353.445312,2070.749756,50.000000,-1.000000,-1.000000,103537.484375,51.768742,-103537.484375,-307199.500000,307199.500000,153.599747,-153.599747,4854.181641,4700.582031
ml,worst,863,2026-04-11,2015.397095,10.000000,1996.071289,50.000000,-1.000000,0.000000,-0.000000,0.000000,-99803.562500,2015.631470,50.000000,-1.000000,0.000000,-0.000000,0.000000,-100781.570312,2037.274536,50.000000,-1.000000,0.000000,-0.000000,0.000000,-101863.726562,-302448.843750,307199.500000,153.599747,4597.056641,-103784.757812,-99187.703125
ml,worst,863,2026-04-12,1957.884521,10.000000,1938.681152,50.000000,-1.000000,0.000000,-0.000000,0.000000,-96934.054688,1959.090576,50.000000,-1.000000,0.000000,-0.000000,0.000000,-97954.531250,1981.080933,50.000000,-1.000000,0.000000,-0.000000,0.000000,-99054.046875,-293942.625000,307199.500000,153.599747,13103.275391,-238886.843750,-225783.562500
ml,worst,863,2026-04-13,1961.759155,10.000000,1957.598633,50.000000,-2.000000,-1.000000,97879.929688,48.939964,-195759.859375,1976.684814,50.000000,-2.000000,-1.000000,98834.242188,49.417122,-197668.484375,1998.378784,50.000000,-2.000000,-1.000000,99918.937500,49.959469,-199837.875000,-593266.250000,603832.625000,301.916321,10264.458984,-227731.078125,-217466.625000
ml,worst,863,2026-04-14,2003.704834,10.000000,1993.395996,50.000000,-3.000000,-1.000000,99669.796875,49.834900,-299009.406250,2014.086670,50.000000,-3.000000,-1.000000,100704.335938,50.352169,-302113.000000,2037.136108,50.000000,-3.000000,-1.000000,101856.804688,50.928402,-305570.406250,-906692.750000,906063.625000,453.031799,-1082.156738,-123290.281250,-124372.437500
ml,worst,863,2026-04-15,2021.937744,10.000000,2050.613281,50.000000,-4.000000,-1.000000,102530.664062,51.265331,-410122.656250,2071.005127,50.000000,-4.000000,-1.000000,103550.257812,51.775127,-414201.031250,2094.357666,50.000000,-4.000000,-1.000000,104717.882812,52.358940,-418871.531250,-1243195.250000,1216862.375000,608.431152,-26941.306641,-81986.976562,-108928.281250
ml,worst,863,2026-04-16,2020.855347,10.000000,2033.328979,50.000000,-5.000000,-1.000000,101666.445312,50.833221,-508332.218750,2054.735596,50.000000,-5.000000,-1.000000,102736.781250,51.368389,-513683.875000,2077.743896,50.000000,-5.000000,-1.000000,103887.195312,51.943596,-519436.000000,-1541452.125000,1525152.750000,762.576416,-17061.951172,-84340.851562,-101402.804688
ml,worst,863,2026-04-17,2028.070312,10.000000,2032.776489,50.000000,-6.000000,-1.000000,101638.828125,50.819412,-609832.937500,2054.532227,50.000000,-6.000000,-1.000000,102726.609375,51.363304,-616359.687500,2077.805908,50.000000,-6.000000,-1.000000,103890.296875,51.945148,-623341.812500,-1849534.500000,1833408.625000,916.704224,-17042.580078,-60816.054688,-77858.632812
ml,worst,863,2026-04-18,2033.372681,10.000000,2022.592285,50.000000,-6.000000,0.000000,-0.000000,0.000000,-606777.687500,2044.497681,50.000000,-6.000000,0.000000,-0.000000,0.000000,-613349.312500,2066.559326,50.000000,-6.000000,0.000000,-0.000000,0.000000,-619967.750000,-1840094.750000,1833408.625000,916.704224,-7602.829102,-42673.414062,-50276.242188
ml,worst,863,2026-04-19,2051.559814,10.000000,2053.399902,50.000000,-6.000000,0.000000,-0.000000,0.000000,-616020.000000,2074.280762,50.000000,-6.000000,0.000000,-0.000000,0.000000,-622284.250000,2094.771484,50.000000,-6.000000,0.000000,-0.000000,0.000000,-628431.437500,-1866735.750000,1833408.625000,916.704224,-34243.828125,11589.426758,-22654.402344
ml,worst,863,2026-04-20,2047.828125,10.000000,2056.272461,50.000000,-7.000000,-1.000000,102813.625000,51.406811,-719695.375000,2076.796875,50.000000,-7.000000,-1.000000,103839.843750,51.919922,-726878.875000,2097.423828,50.000000,-7.000000,-1.000000,104871.187500,52.435593,-734098.312500,-2180672.500000,2144933.250000,1072.466553,-36811.714844,7268.536133,-29543.179688
ml,worst,863,2026-04-21,2049.553223,10.000000,2070.381104,50.000000,-8.000000,-1.000000,103519.054688,51.759525,-828152.437500,2092.225098,50.000000,-8.000000,-1.000000,104611.257812,52.305626,-836890.062500,2112.915039,50.000000,-8.000000,-1.000000,105645.750000,52.822872,-845166.000000,-2510208.500000,2458709.250000,1229.354614,-52728.605469,11615.305664,-41113.300781
ml,worst,863,2026-04-22,2039.294800,10.000000,2025.864014,50.000000,-9.000000,-1.000000,101293.203125,50.646599,-911638.750000,2046.454590,50.000000,-9.000000,-1.000000,102322.726562,51.161362,-920904.562500,2066.147217,50.000000,-9.000000,-1.000000,103307.359375,51.653679,-929766.187500,-2762309.500000,2765632.500000,1382.816162,1940.183838,-11543.981445,-9603.797852
ml,worst,863,2026-04-23,2024.009766,10.000000,1998.074585,50.000000,-10.000000,-1.000000,99903.726562,49.951862,-999037.312500,2020.642090,50.000000,-10.000000,-1.000000,101032.101562,50.516048,-1010321.125000,2040.509399,50.000000,-10.000000,-1.000000,102025.468750,51.012733,-1020254.687500,-3029613.250000,3068594.000000,1534.296875,37446.453125,-43466.226562,-6019.773438
ml,worst,863,2026-04-24,1986.482788,10.000000,1975.954346,50.000000,-11.000000,-1.000000,98797.718750,49.398857,-1086774.875000,1997.205322,50.000000,-11.000000,-1.000000,99860.265625,49.930130,-1098462.875000,2017.290405,50.000000,-11.000000,-1.000000,100864.523438,50.432262,-1109509.750000,-3294747.500000,3368116.500000,1684.058105,71684.945312,-129435.757812,-57750.812500
ml,worst,863,2026-04-25,1979.522583,10.000000,1977.436279,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1087590.000000,1999.060059,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1099483.000000,2020.041870,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1111023.000000,-3298096.000000,3368116.500000,1684.058105,68336.445312,-153480.312500,-85143.867188
ml,worst,863,2026-04-26,1993.633057,10.000000,1978.506226,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1088178.375000,2000.690918,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1100380.000000,2021.418823,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1111780.375000,-3300339.000000,3368116.500000,1684.058105,66093.445312,-114173.492188,-48080.046875
ml,worst,863,2026-04-27,1961.210938,10.000000,1993.332031,50.000000,-12.000000,-1.000000,99666.601562,49.833298,-1195999.250000,2013.743042,50.000000,-12.000000,-1.000000,100687.148438,50.343575,-1208245.750000,2033.835327,50.000000,-12.000000,-1.000000,101691.765625,50.845879,-1220301.125000,-3624546.000000,3670161.500000,1835.080933,43780.417969,-193393.828125,-149613.406250
ml,worst,863,2026-04-28,1947.525757,10.000000,1984.002808,50.000000,-13.000000,-1.000000,99200.140625,49.600067,-1289601.875000,2005.334595,50.000000,-13.000000,-1.000000,100266.726562,50.133362,-1303467.500000,2026.635254,50.000000,-13.000000,-1.000000,101331.765625,50.665878,-1317312.875000,-3910382.500000,3970960.500000,1985.480225,58592.519531,-225812.843750,-167220.328125
ml,worst,863,2026-04-29,1979.145996,10.000000,1989.055420,50.000000,-12.000000,1.000000,-99452.773438,49.726387,-1193433.250000,2011.758545,50.000000,-14.000000,-1.000000,100587.929688,50.293964,-1408231.000000,2034.610229,50.000000,-14.000000,-1.000000,101730.507812,50.865253,-1424227.125000,-4025891.500000,4073826.000000,2136.365723,45798.132812,-148970.609375,-103172.476562
ml,worst,863,2026-04-30,1926.136597,10.000000,1989.055420,50.000000,-11.000000,1.000000,-99452.773438,49.726387,-1093980.500000,1955.471802,50.000000,-15.000000,-1.000000,97773.593750,48.886795,-1466603.750000,1978.250000,50.000000,-15.000000,-1.000000,98912.500000,49.456249,-1483687.500000,-4044271.750000,4171059.500000,2284.435303,124503.312500,-283629.625000,-159126.312500
ml,worst,863,2026-05-01,1841.710815,10.000000,1989.055420,50.000000,-10.000000,1.000000,-99452.773438,49.726387,-994527.750000,1866.928223,50.000000,-16.000000,-1.000000,93346.414062,46.673206,-1493542.625000,1890.231812,50.000000,-16.000000,-1.000000,94511.593750,47.255795,-1512185.500000,-4000256.000000,4259464.500000,2428.090576,256780.406250,-502390.500000,-245610.093750
