policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,647,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-1.000000,-1.000000,101308.578125,50.654285,-101308.578125,2047.068848,50.000000,-3.000000,-3.000000,307060.312500,153.530151,-307060.312500,2070.749756,50.000000,-3.000000,-3.000000,310612.437500,155.306229,-310612.437500,-718981.312500,718981.312500,359.490662,-359.490662,4854.181641,4494.690918
ml,worst,647,2026-04-11,2065.812500,10.000000,2046.706543,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102335.328125,2066.497070,50.000000,-3.000000,0.000000,-0.000000,0.000000,-309974.562500,2087.301025,50.000000,-3.000000,0.000000,-0.000000,0.000000,-313095.156250,-725405.000000,718981.312500,359.490662,-6783.178223,21260.687500,14477.509766
ml,worst,647,2026-04-12,2078.417969,10.000000,2079.799072,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103989.953125,2099.327881,50.000000,-3.000000,0.000000,-0.000000,0.000000,-314899.156250,2119.106445,50.000000,-3.000000,0.000000,-0.000000,0.000000,-317865.968750,-736755.125000,718981.312500,359.490662,-18133.302734,53653.718750,35520.414062
ml,worst,647,2026-04-13,2072.717285,10.000000,2052.699951,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102635.000000,2069.864990,50.000000,-3.000000,0.000000,-0.000000,0.000000,-310479.750000,2088.435059,50.000000,-3.000000,0.000000,-0.000000,0.000000,-313265.250000,-726380.000000,718981.312500,359.490662,-7758.178223,35766.945312,28008.767578
ml,worst,647,2026-04-14,2008.956055,10.000000,1986.405762,50.000000,-1.000000,0.000000,-0.000000,0.000000,-99320.289062,2003.242065,50.000000,-3.000000,0.000000,-0.000000,0.000000,-300486.312500,2020.572021,50.000000,-3.000000,0.000000,-0.000000,0.000000,-303085.781250,-702892.375000,718981.312500,359.490662,15729.447266,-121711.859375,-105982.414062
ml,worst,647,2026-04-15,1935.823853,10.000000,1883.702515,50.000000,-1.000000,0.000000,-0.000000,0.000000,-94185.125000,1900.474976,50.000000,-3.000000,0.000000,-0.000000,0.000000,-285071.250000,1917.325806,50.000000,-3.000000,0.000000,-0.000000,0.000000,-287598.875000,-666855.250000,718981.312500,359.490662,51766.570312,-291935.343750,-240168.781250
ml,worst,647,2026-04-16,1911.464478,10.000000,1899.659424,50.000000,-1.000000,0.000000,-0.000000,0.000000,-94982.968750,1916.143188,50.000000,-3.000000,0.000000,-0.000000,0.000000,-287421.500000,1933.708618,50.000000,-3.000000,0.000000,-0.000000,0.000000,-290056.312500,-672460.750000,718981.312500,359.490662,46161.070312,-351935.843750,-305774.781250
ml,worst,647,2026-04-17,1955.649902,10.000000,1950.535400,50.000000,-1.000000,0.000000,-0.000000,0.000000,-97526.773438,1967.606323,50.000000,-3.000000,0.000000,-0.000000,0.000000,-295140.937500,1985.490723,50.000000,-3.000000,0.000000,-0.000000,0.000000,-297823.593750,-690491.312500,718981.312500,359.490662,28130.509766,-242649.812500,-214519.296875
ml,worst,647,2026-04-18,1957.756714,10.000000,1950.681763,50.000000,-1.000000,0.000000,-0.000000,0.000000,-97534.085938,1969.401001,50.000000,-3.000000,0.000000,-0.000000,0.000000,-295410.156250,1988.694092,50.000000,-3.000000,0.000000,-0.000000,0.000000,-298304.093750,-691248.375000,718981.312500,359.490662,27373.447266,-230490.671875,-203117.218750
ml,worst,647,2026-04-19,1971.617065,10.000000,1960.724609,50.000000,-1.000000,0.000000,-0.000000,0.000000,-98036.234375,1979.494751,50.000000,-3.000000,0.000000,-0.000000,0.000000,-296924.218750,1998.929321,50.000000,-3.000000,0.000000,-0.000000,0.000000,-299839.406250,-694799.875000,718981.312500,359.490662,23821.947266,-191400.796875,-167578.843750
ml,worst,647,2026-04-20,1985.887207,10.000000,1993.025024,50.000000,-1.000000,0.000000,-0.000000,0.000000,-99651.250000,2011.062622,50.000000,-3.000000,0.000000,-0.000000,0.000000,-301659.406250,2030.757080,50.000000,-3.000000,0.000000,-0.000000,0.000000,-304613.562500,-705924.250000,718981.312500,359.490662,12697.572266,-147888.078125,-135190.500000
ml,worst,647,2026-04-21,1998.228149,10.000000,2024.452759,50.000000,-1.000000,0.000000,-0.000000,0.000000,-101222.640625,2042.829224,50.000000,-3.000000,0.000000,-0.000000,0.000000,-306424.375000,2062.569824,50.000000,-3.000000,0.000000,-0.000000,0.000000,-309385.468750,-717032.500000,718981.312500,359.490662,1589.321777,-118924.765625,-117335.445312
ml,worst,647,2026-04-22,1965.585938,10.000000,1958.234863,50.000000,-1.000000,0.000000,-0.000000,0.000000,-97911.742188,1975.805420,50.000000,-3.000000,0.000000,-0.000000,0.000000,-296370.812500,1995.361328,50.000000,-3.000000,0.000000,-0.000000,0.000000,-299304.187500,-693586.750000,718981.312500,359.490662,25035.072266,-200095.593750,-175060.515625
ml,worst,647,2026-04-23,1961.252075,10.000000,1950.276978,50.000000,-1.000000,0.000000,-0.000000,0.000000,-97513.851562,1967.333496,50.000000,-3.000000,0.000000,-0.000000,0.000000,-295100.031250,1988.105591,50.000000,-3.000000,0.000000,-0.000000,0.000000,-298215.843750,-690829.750000,718981.312500,359.490662,27792.072266,-208910.687500,-181118.609375
ml,worst,647,2026-04-24,1952.300293,10.000000,1932.122559,50.000000,-1.000000,0.000000,-0.000000,0.000000,-96606.125000,1950.039062,50.000000,-3.000000,0.000000,-0.000000,0.000000,-292505.875000,1971.830078,50.000000,-3.000000,0.000000,-0.000000,0.000000,-295774.500000,-684886.500000,718981.312500,359.490662,33735.320312,-225514.031250,-191778.718750
ml,worst,647,2026-04-25,1957.047363,10.000000,1958.223755,50.000000,-1.000000,0.000000,-0.000000,0.000000,-97911.187500,1977.395142,50.000000,-3.000000,0.000000,-0.000000,0.000000,-296609.281250,1999.908325,50.000000,-3.000000,0.000000,-0.000000,0.000000,-299986.250000,-694506.750000,718981.312500,359.490662,24115.072266,-210285.375000,-186170.296875
ml,worst,647,2026-04-26,1947.968872,10.000000,1933.598145,50.000000,-1.000000,0.000000,-0.000000,0.000000,-96679.906250,1952.613525,50.000000,-3.000000,0.000000,-0.000000,0.000000,-292892.031250,1974.945312,50.000000,-3.000000,0.000000,-0.000000,0.000000,-296241.812500,-685813.750000,718981.312500,359.490662,32808.070312,-223968.765625,-191160.687500
ml,worst,647,2026-04-27,1914.627075,10.000000,1916.556030,50.000000,-1.000000,0.000000,-0.000000,0.000000,-95827.804688,1936.448242,50.000000,-3.000000,0.000000,-0.000000,0.000000,-290467.250000,1959.885864,50.000000,-3.000000,0.000000,-0.000000,0.000000,-293982.875000,-680277.937500,718981.312500,359.490662,38343.882812,-300364.375000,-262020.500000
