policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,273,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-15.000000,-15.000000,1519628.625000,759.814270,-1519628.625000,2047.068848,50.000000,-15.000000,-15.000000,1535301.625000,767.650818,-1535301.625000,2070.749756,50.000000,-15.000000,-15.000000,1553062.250000,776.531128,-1553062.250000,-4607992.500000,4607992.500000,2303.996094,-2303.996094,4854.181641,2550.185547
ml,worst,273,2026-04-11,2050.380371,10.000000,2045.408936,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1534056.750000,2063.383789,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1547537.875000,2085.257812,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1563943.375000,-4645538.000000,4607992.500000,2303.996094,-39849.496094,-13270.904297,-53120.398438
ml,worst,273,2026-04-12,2048.920166,10.000000,2039.564819,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1529673.625000,2057.841797,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1543381.375000,2079.638672,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1559729.000000,-4632784.000000,4607992.500000,2303.996094,-27095.496094,-17655.279297,-44750.773438
ml,worst,273,2026-04-13,2049.219238,10.000000,2051.239990,50.000000,-8.000000,7.000000,-717934.000000,358.966980,-820496.000000,2069.717285,50.000000,-8.000000,7.000000,-724401.062500,362.200531,-827886.937500,2092.276123,50.000000,-8.000000,7.000000,-732296.625000,366.148315,-836910.437500,-2485293.500000,2433361.000000,3391.312012,-55323.812500,-23371.910156,-78695.718750
ml,worst,273,2026-04-14,2072.036377,10.000000,2048.277100,50.000000,-1.000000,7.000000,-716897.000000,358.448486,-102413.851562,2065.813721,50.000000,-1.000000,7.000000,-723034.812500,361.517395,-103290.687500,2087.338379,50.000000,-1.000000,7.000000,-730568.437500,365.284210,-104366.921875,-310071.437500,262860.562500,4476.562500,-51687.437500,48384.195312,-3303.242188
ml,worst,273,2026-04-15,2107.296387,10.000000,2105.222656,50.000000,6.000000,7.000000,-736827.937500,368.413971,631566.812500,2123.701660,50.000000,6.000000,7.000000,-743295.625000,371.647797,637110.500000,2147.460693,50.000000,6.000000,7.000000,-751611.250000,375.805573,644238.187500,1912915.500000,-1968874.250000,5592.429688,-61551.179688,147083.062500,85531.882812
ml,worst,273,2026-04-16,2089.412109,10.000000,2080.630859,50.000000,-9.000000,-15.000000,1560473.125000,780.236633,-936283.875000,2099.705322,50.000000,-9.000000,-15.000000,1574779.000000,787.389465,-944867.375000,2122.956299,50.000000,-9.000000,-15.000000,1592217.250000,796.108582,-955330.375000,-2836481.500000,2758595.250000,7956.164062,-85842.414062,105264.203125,19421.789062
ml,worst,273,2026-04-17,2069.377441,10.000000,2053.993652,50.000000,-2.000000,7.000000,-718897.750000,359.448853,-205399.359375,2072.875000,50.000000,-2.000000,7.000000,-725506.250000,362.753113,-207287.500000,2094.548584,50.000000,-2.000000,7.000000,-733092.000000,366.546021,-209454.859375,-622141.750000,581099.125000,9044.912109,-50087.539062,54768.230469,4680.691406
ml,worst,273,2026-04-18,2045.280273,10.000000,2028.627686,50.000000,-2.000000,0.000000,-0.000000,0.000000,-202862.765625,2048.302490,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204830.250000,2069.531250,50.000000,-2.000000,0.000000,-0.000000,0.000000,-206953.125000,-614646.125000,581099.125000,9044.912109,-42591.914062,-3185.694336,-45777.609375
ml,worst,273,2026-04-19,2052.944580,10.000000,2043.674316,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204367.437500,2064.483643,50.000000,-2.000000,0.000000,-0.000000,0.000000,-206448.359375,2086.737061,50.000000,-2.000000,0.000000,-0.000000,0.000000,-208673.703125,-619489.500000,581099.125000,9044.912109,-47435.289062,27039.841797,-20395.447266
ml,worst,273,2026-04-20,2025.418457,10.000000,2040.459473,50.000000,5.000000,7.000000,-714160.812500,357.080414,510114.843750,2061.112793,50.000000,5.000000,7.000000,-721389.437500,360.694702,515278.218750,2084.374512,50.000000,5.000000,7.000000,-729531.062500,364.765503,521093.656250,1546486.750000,-1583982.125000,10127.453125,-47622.828125,-35696.269531,-83319.093750
ml,worst,273,2026-04-21,2019.640625,10.000000,2032.728271,50.000000,-10.000000,-15.000000,1524546.250000,762.273071,-1016364.187500,2054.822754,50.000000,-10.000000,-15.000000,1541117.125000,770.558533,-1027411.312500,2078.829590,50.000000,-10.000000,-15.000000,1559122.125000,779.561035,-1039414.875000,-3083190.500000,3040803.250000,12439.845703,-54827.093750,-43519.046875,-98346.140625
ml,worst,273,2026-04-22,2021.044189,10.000000,2036.148926,50.000000,-3.000000,7.000000,-712652.125000,356.326050,-305422.343750,2058.374756,50.000000,-3.000000,7.000000,-720431.125000,360.215576,-308756.187500,2082.488037,50.000000,-3.000000,7.000000,-728870.812500,364.435394,-312373.187500,-926551.687500,878849.250000,13520.822266,-61223.257812,-37256.218750,-98479.476562
ml,worst,273,2026-04-23,2012.367310,10.000000,2012.557617,50.000000,4.000000,7.000000,-704395.187500,352.197571,402511.531250,2033.612671,50.000000,4.000000,7.000000,-711764.437500,355.882202,406722.531250,2057.240479,50.000000,4.000000,7.000000,-720034.187500,360.017090,411448.093750,1220682.125000,-1257344.500000,14588.919922,-51251.296875,-55855.644531,-107106.937500
ml,worst,273,2026-04-24,1964.866211,10.000000,1974.884766,50.000000,-11.000000,-15.000000,1481163.625000,740.581726,-1086186.625000,1996.999268,50.000000,-11.000000,-15.000000,1497749.375000,748.874695,-1098349.625000,2020.947632,50.000000,-11.000000,-15.000000,1515710.750000,757.855347,-1111521.250000,-3296057.500000,3237279.000000,16836.230469,-75614.734375,-176112.921875,-251727.656250
ml,worst,273,2026-04-25,1981.240356,10.000000,1988.930786,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1093911.875000,2010.290039,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1105659.625000,2033.944702,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1118669.625000,-3318241.000000,3237279.000000,16836.230469,-97798.234375,-129777.539062,-227575.781250
ml,worst,273,2026-04-26,1977.417847,10.000000,1991.440674,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1095292.375000,2013.004395,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1107152.500000,2038.130737,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1120971.875000,-3323417.000000,3237279.000000,16836.230469,-102974.234375,-135018.265625,-237992.500000
ml,worst,273,2026-04-27,1971.249634,10.000000,1966.935303,50.000000,-4.000000,7.000000,-688427.375000,344.213684,-393387.062500,1987.449463,50.000000,-4.000000,7.000000,-695607.312500,347.803650,-397489.906250,2011.617676,50.000000,-4.000000,7.000000,-704066.187500,352.033081,-402323.531250,-1193200.500000,1149178.250000,17880.281250,-61902.531250,-149372.359375,-211274.890625
ml,worst,273,2026-04-28,1963.936157,10.000000,1951.673340,50.000000,3.000000,7.000000,-683085.625000,341.542786,292751.000000,1970.938477,50.000000,3.000000,7.000000,-689828.437500,344.914215,295640.781250,1993.722412,50.000000,3.000000,7.000000,-697802.812500,348.901428,299058.343750,887450.125000,-921538.562500,18915.638672,-53004.078125,-164563.171875,-217567.250000
ml,worst,273,2026-04-29,1944.721436,10.000000,1936.796875,50.000000,-12.000000,-15.000000,1452597.625000,726.298828,-1162078.125000,1955.199463,50.000000,-12.000000,-15.000000,1466399.625000,733.199768,-1173119.750000,1976.318970,50.000000,-12.000000,-15.000000,1482239.250000,741.119568,-1185791.375000,-3520989.500000,3479698.000000,21116.257812,-62407.757812,-208706.890625,-271114.656250
ml,worst,273,2026-04-30,1945.709351,10.000000,1936.796875,50.000000,-5.000000,7.000000,-677878.875000,338.939453,-484199.218750,2037.473877,50.000000,-5.000000,7.000000,-713115.875000,356.557922,-509368.468750,2060.792725,50.000000,-5.000000,7.000000,-721277.437500,360.638702,-515198.187500,-1508765.875000,1367425.750000,22172.394531,-163512.515625,-212923.437500,-376435.937500
ml,worst,273,2026-05-01,1895.737549,10.000000,1936.796875,50.000000,2.000000,7.000000,-677878.875000,338.939453,193679.687500,1924.802490,50.000000,2.000000,7.000000,-673680.875000,336.840424,192480.250000,1947.022339,50.000000,2.000000,7.000000,-681457.812500,340.728912,194702.234375,580862.187500,-665591.812500,23188.902344,-107918.531250,-336416.312500,-444334.843750
ml,worst,273,2026-05-02,1901.365723,10.000000,1936.796875,50.000000,2.000000,0.000000,-0.000000,0.000000,193679.687500,1940.813477,50.000000,2.000000,0.000000,-0.000000,0.000000,194081.343750,1963.723267,50.000000,2.000000,0.000000,-0.000000,0.000000,196372.328125,584133.375000,-665591.812500,23188.902344,-104647.343750,-328676.406250,-433323.750000
ml,worst,273,2026-05-03,1879.293945,10.000000,1936.796875,50.000000,2.000000,0.000000,-0.000000,0.000000,193679.687500,1896.661011,50.000000,2.000000,0.000000,-0.000000,0.000000,189666.093750,1919.262085,50.000000,2.000000,0.000000,-0.000000,0.000000,191926.203125,575272.000000,-665591.812500,23188.902344,-113508.718750,-384648.375000,-498157.093750
ml,worst,273,2026-05-04,1885.269775,10.000000,1936.796875,50.000000,-13.000000,-15.000000,1452597.625000,726.298828,-1258918.000000,1912.913696,50.000000,-13.000000,-15.000000,1434685.250000,717.342651,-1243394.000000,1935.962402,50.000000,-13.000000,-15.000000,1451971.750000,725.985901,-1258375.625000,-3760687.500000,3673662.750000,25358.531250,-112383.281250,-374064.531250,-486447.812500
ml,worst,273,2026-05-05,1883.228516,10.000000,1936.796875,50.000000,-6.000000,7.000000,-677878.875000,338.939453,-581039.062500,1915.528442,50.000000,-6.000000,7.000000,-670434.937500,335.217468,-574658.562500,1938.361938,50.000000,-6.000000,7.000000,-678426.687500,339.213318,-581508.625000,-1737206.250000,1646922.250000,26371.902344,-116655.906250,-378978.281250,-495634.187500
ml,worst,273,2026-05-06,1859.370483,10.000000,1936.796875,50.000000,1.000000,7.000000,-677878.875000,338.939453,96839.843750,1863.126221,50.000000,1.000000,7.000000,-652094.187500,326.047089,93156.312500,1885.200806,50.000000,1.000000,7.000000,-659820.250000,329.910126,94260.039062,284256.187500,-342871.000000,27366.796875,-85981.609375,-442709.843750,-528691.437500
ml,worst,273,2026-05-07,1838.882690,10.000000,1936.796875,50.000000,-14.000000,-15.000000,1452597.625000,726.298828,-1355757.750000,1838.465698,50.000000,-14.000000,-15.000000,1378849.375000,689.424561,-1286926.000000,1860.437866,50.000000,-14.000000,-15.000000,1395328.375000,697.664185,-1302306.500000,-3944990.250000,3883904.500000,29480.185547,-90565.937500,-494105.843750,-584671.750000
ml,worst,273,2026-05-08,1799.456909,10.000000,1936.796875,50.000000,-7.000000,7.000000,-677878.875000,338.939453,-677878.875000,1806.424805,50.000000,-7.000000,7.000000,-632248.687500,316.124359,-632248.687500,1826.790771,50.000000,-7.000000,7.000000,-639376.750000,319.688385,-639376.750000,-1949504.250000,1934400.000000,30454.937500,-45559.187500,-587460.375000,-633019.562500
ml,worst,273,2026-05-09,1798.051147,10.000000,1936.796875,50.000000,-7.000000,0.000000,-0.000000,0.000000,-677878.875000,1792.581787,50.000000,-7.000000,0.000000,-0.000000,0.000000,-627403.625000,1812.093994,50.000000,-7.000000,0.000000,-0.000000,0.000000,-634232.937500,-1939515.500000,1934400.000000,30454.937500,-35570.437500,-587422.875000,-622993.312500
ml,worst,273,2026-05-10,1522.392212,10.000000,1936.796875,50.000000,-7.000000,0.000000,-0.000000,0.000000,-677878.875000,1508.601440,50.000000,-7.000000,0.000000,-0.000000,0.000000,-528010.500000,1524.608521,50.000000,-7.000000,0.000000,-0.000000,0.000000,-533613.000000,-1739502.375000,1934400.000000,30454.937500,164442.687500,-1275907.125000,-1111464.500000
ml,worst,273,2026-05-11,1530.841431,10.000000,1936.796875,50.000000,0.000000,7.000000,-677878.875000,338.939453,0.000000,1522.516479,50.000000,0.000000,7.000000,-532880.750000,266.440369,0.000000,1538.119873,50.000000,0.000000,7.000000,-538341.937500,269.170959,0.000000,0.000000,185298.500000,31329.488281,153969.015625,-1257517.500000,-1103548.500000
ml,worst,273,2026-05-12,1500.323486,10.000000,1936.796875,50.000000,-15.000000,-15.000000,1452597.625000,726.298828,-1452597.625000,1494.833740,50.000000,-15.000000,-15.000000,1121125.250000,560.562622,-1121125.250000,1507.950317,50.000000,-15.000000,-15.000000,1130962.750000,565.481384,-1130962.750000,-3704685.750000,3889984.000000,33181.832031,152116.421875,-1331051.625000,-1178935.250000
ml,worst,273,2026-05-13,1481.577026,10.000000,1936.796875,50.000000,-8.000000,7.000000,-677878.875000,338.939453,-774718.750000,1496.411377,50.000000,-8.000000,7.000000,-523744.000000,261.871979,-598564.562500,1509.434204,50.000000,-8.000000,7.000000,-528301.937500,264.151001,-603773.687500,-1977057.000000,2160059.250000,34046.792969,148955.453125,-1379914.000000,-1230958.500000
ml,worst,273,2026-05-14,1477.880371,10.000000,1936.796875,50.000000,-1.000000,7.000000,-677878.875000,338.939453,-96839.843750,1510.505127,50.000000,-1.000000,7.000000,-528676.812500,264.338379,-75525.257812,1523.497681,50.000000,-1.000000,7.000000,-533224.187500,266.612091,-76174.882812,-248539.968750,420279.437500,34916.683594,136822.781250,-1388811.125000,-1251988.375000
ml,worst,273,2026-05-15,1480.380737,10.000000,1936.796875,50.000000,-1.000000,0.000000,-0.000000,0.000000,-96839.843750,1531.767822,50.000000,-1.000000,0.000000,-0.000000,0.000000,-76588.390625,1544.763062,50.000000,6.000000,7.000000,-540667.062500,270.333527,463428.906250,290000.687500,-120387.625000,35187.015625,134426.046875,-1382949.625000,-1248523.625000
ml,worst,273,2026-05-16,1500.562500,10.000000,1936.796875,50.000000,-1.000000,0.000000,-0.000000,0.000000,-96839.843750,1539.202759,50.000000,-1.000000,0.000000,-0.000000,0.000000,-76960.140625,1553.792114,50.000000,6.000000,0.000000,-0.000000,0.000000,466137.656250,292337.687500,-120387.625000,35187.015625,136763.046875,-1334873.625000,-1198110.625000
ml,worst,273,2026-05-17,1455.401611,10.000000,1936.796875,50.000000,-1.000000,0.000000,-0.000000,0.000000,-96839.843750,1467.155640,50.000000,-1.000000,0.000000,-0.000000,0.000000,-73357.781250,1479.822266,50.000000,6.000000,0.000000,-0.000000,0.000000,443946.687500,273749.062500,-120387.625000,35187.015625,118174.421875,-1448289.875000,-1330115.500000
ml,worst,273,2026-05-18,1468.592773,10.000000,1936.796875,50.000000,-1.000000,0.000000,-0.000000,0.000000,-96839.843750,1493.725342,50.000000,-1.000000,0.000000,-0.000000,0.000000,-74686.265625,1506.464966,50.000000,-9.000000,-15.000000,1129848.750000,564.924377,-677909.250000,-849435.375000,1009461.125000,35751.941406,124273.812500,-1413919.625000,-1289645.750000
ml,worst,273,2026-05-19,1485.454834,10.000000,1936.796875,50.000000,-1.000000,0.000000,-0.000000,0.000000,-96839.843750,1522.414673,50.000000,6.000000,7.000000,-532845.125000,266.422577,456724.406250,1536.239502,50.000000,-2.000000,7.000000,-537683.812500,268.841919,-153623.953125,206260.609375,-61067.812500,36287.207031,108905.593750,-1372243.375000,-1263337.750000
