policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,647,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-3.000000,-3.000000,303925.718750,151.962860,-303925.718750,2047.068848,50.000000,-3.000000,-3.000000,307060.312500,153.530151,-307060.312500,2070.749756,50.000000,-3.000000,-3.000000,310612.437500,155.306229,-310612.437500,-921598.437500,921598.437500,460.799255,-460.799255,4854.181641,4393.382324
ml,worst,647,2026-04-11,2065.812500,10.000000,2046.706543,50.000000,-3.000000,0.000000,-0.000000,0.000000,-307005.968750,2066.497070,50.000000,-3.000000,0.000000,-0.000000,0.000000,-309974.562500,2087.301025,50.000000,-3.000000,0.000000,-0.000000,0.000000,-313095.156250,-930075.625000,921598.437500,460.799255,-8937.986328,21260.687500,12322.701172
ml,worst,647,2026-04-12,2078.417969,10.000000,2079.799072,50.000000,-3.000000,0.000000,-0.000000,0.000000,-311969.875000,2099.327881,50.000000,-3.000000,0.000000,-0.000000,0.000000,-314899.156250,2119.106445,50.000000,-3.000000,0.000000,-0.000000,0.000000,-317865.968750,-944735.000000,921598.437500,460.799255,-23597.361328,53653.718750,30056.357422
ml,worst,647,2026-04-13,2072.717285,10.000000,2052.699951,50.000000,-1.000000,2.000000,-205270.000000,102.634995,-102635.000000,2069.864990,50.000000,-6.000000,-3.000000,310479.750000,155.239868,-620959.500000,2088.435059,50.000000,-6.000000,-3.000000,313265.250000,156.632614,-626530.500000,-1350125.000000,1340073.500000,875.306702,-10926.806641,35766.945312,24840.138672
ml,worst,647,2026-04-14,2008.956055,10.000000,1986.405762,50.000000,-4.000000,-3.000000,297960.875000,148.980423,-397281.156250,2003.242065,50.000000,-4.000000,2.000000,-200324.203125,100.162094,-400648.406250,2020.572021,50.000000,-4.000000,2.000000,-202057.203125,101.028595,-404114.406250,-1202044.000000,1235653.000000,1225.477783,32383.521484,-121711.859375,-89328.335938
ml,worst,647,2026-04-15,1935.823853,10.000000,1883.702515,50.000000,-2.000000,2.000000,-188370.250000,94.185120,-188370.250000,1900.474976,50.000000,-2.000000,2.000000,-190047.500000,95.023750,-190047.500000,1917.325806,50.000000,-7.000000,-3.000000,287598.875000,143.799438,-671064.000000,-1049481.750000,1144834.000000,1558.486084,93793.765625,-291935.343750,-198141.578125
ml,worst,647,2026-04-16,1911.464478,10.000000,1899.659424,50.000000,-5.000000,-3.000000,284948.937500,142.474442,-474914.843750,1916.143188,50.000000,-5.000000,-3.000000,287421.500000,143.710724,-479035.781250,1933.708618,50.000000,-5.000000,2.000000,-193370.859375,96.685432,-483427.156250,-1437377.750000,1523833.625000,1941.356689,84514.515625,-351935.843750,-267421.312500
ml,worst,647,2026-04-17,1955.649902,10.000000,1950.535400,50.000000,-3.000000,2.000000,-195053.546875,97.526772,-292580.312500,1967.606323,50.000000,-3.000000,2.000000,-196760.625000,98.380310,-295140.937500,1985.490723,50.000000,-3.000000,2.000000,-198549.078125,99.274536,-297823.593750,-885544.875000,933470.437500,2236.538330,45689.023438,-242649.812500,-196960.781250
ml,worst,647,2026-04-18,1957.756714,10.000000,1950.681763,50.000000,-3.000000,0.000000,-0.000000,0.000000,-292602.281250,1969.401001,50.000000,-3.000000,0.000000,-0.000000,0.000000,-295410.156250,1988.694092,50.000000,-3.000000,0.000000,-0.000000,0.000000,-298304.093750,-886316.500000,933470.437500,2236.538330,44917.398438,-230490.671875,-185573.281250
ml,worst,647,2026-04-19,1971.617065,10.000000,1960.724609,50.000000,-3.000000,0.000000,-0.000000,0.000000,-294108.687500,1979.494751,50.000000,-3.000000,0.000000,-0.000000,0.000000,-296924.218750,1998.929321,50.000000,-3.000000,0.000000,-0.000000,0.000000,-299839.406250,-890872.250000,933470.437500,2236.538330,40361.648438,-191400.796875,-151039.156250
ml,worst,647,2026-04-20,1985.887207,10.000000,1993.025024,50.000000,-1.000000,2.000000,-199302.500000,99.651245,-99651.250000,2011.062622,50.000000,-6.000000,-3.000000,301659.406250,150.829697,-603318.812500,2030.757080,50.000000,-6.000000,-3.000000,304613.562500,152.306778,-609227.125000,-1312197.250000,1340440.875000,2639.326172,25604.298828,-147888.078125,-122283.781250
ml,worst,647,2026-04-21,1998.228149,10.000000,2024.452759,50.000000,-4.000000,-3.000000,303667.906250,151.833954,-404890.562500,2042.829224,50.000000,-4.000000,2.000000,-204282.921875,102.141457,-408565.843750,2062.569824,50.000000,-4.000000,2.000000,-206256.984375,103.128494,-412513.968750,-1225970.375000,1233568.875000,2996.429932,4602.070312,-118924.765625,-114322.695312
ml,worst,647,2026-04-22,1965.585938,10.000000,1958.234863,50.000000,-2.000000,2.000000,-195823.484375,97.911743,-195823.484375,1975.805420,50.000000,-2.000000,2.000000,-197580.546875,98.790276,-197580.546875,1995.361328,50.000000,-7.000000,-3.000000,299304.187500,149.652084,-698376.437500,-1091780.500000,1139469.000000,3342.783936,44345.714844,-200095.593750,-155749.875000
ml,worst,647,2026-04-23,1961.252075,10.000000,1950.276978,50.000000,-5.000000,-3.000000,292541.562500,146.270767,-487569.250000,1967.333496,50.000000,-5.000000,-3.000000,295100.031250,147.550003,-491833.406250,1988.105591,50.000000,-5.000000,2.000000,-198810.562500,99.405281,-497026.406250,-1476429.000000,1528300.000000,3736.010010,48134.988281,-208910.687500,-160775.703125
ml,worst,647,2026-04-24,1952.300293,10.000000,1932.122559,50.000000,-3.000000,2.000000,-193212.250000,96.606125,-289818.375000,1950.039062,50.000000,-3.000000,2.000000,-195003.906250,97.501945,-292505.875000,1971.830078,50.000000,-3.000000,2.000000,-197183.000000,98.591499,-295774.500000,-878098.750000,942900.875000,4028.709717,60773.414062,-225514.031250,-164740.625000
ml,worst,647,2026-04-25,1957.047363,10.000000,1958.223755,50.000000,-3.000000,0.000000,-0.000000,0.000000,-293733.562500,1977.395142,50.000000,-3.000000,0.000000,-0.000000,0.000000,-296609.281250,1999.908325,50.000000,-3.000000,0.000000,-0.000000,0.000000,-299986.250000,-890329.125000,942900.875000,4028.709717,48543.039062,-210285.375000,-161742.343750
ml,worst,647,2026-04-26,1947.968872,10.000000,1933.598145,50.000000,-3.000000,0.000000,-0.000000,0.000000,-290039.718750,1952.613525,50.000000,-3.000000,0.000000,-0.000000,0.000000,-292892.031250,1974.945312,50.000000,-3.000000,0.000000,-0.000000,0.000000,-296241.812500,-879173.562500,942900.875000,4028.709717,59698.601562,-223968.765625,-164270.156250
ml,worst,647,2026-04-27,1914.627075,10.000000,1916.556030,50.000000,-1.000000,2.000000,-191655.609375,95.827805,-95827.804688,1936.448242,50.000000,-6.000000,-3.000000,290467.250000,145.233612,-580934.500000,1959.885864,50.000000,-6.000000,-3.000000,293982.875000,146.991455,-587965.750000,-1264728.000000,1335695.500000,4416.762695,66550.734375,-300364.375000,-233813.640625
ml,worst,647,2026-04-28,1913.546509,10.000000,1907.230469,50.000000,-4.000000,-3.000000,286084.562500,143.042282,-381446.093750,1926.867432,50.000000,-4.000000,2.000000,-192686.750000,96.343376,-385373.500000,1948.960938,50.000000,-4.000000,2.000000,-194896.093750,97.448044,-389792.187500,-1156611.750000,1234197.125000,4753.596191,72831.781250,-301604.375000,-228772.593750
ml,worst,647,2026-04-29,1913.260742,10.000000,1899.749512,50.000000,-2.000000,2.000000,-189974.953125,94.987473,-189974.953125,1918.705566,50.000000,-2.000000,2.000000,-191870.562500,95.935280,-191870.562500,1940.738159,50.000000,-7.000000,-3.000000,291110.718750,145.555359,-679258.375000,-1061103.875000,1143462.250000,5090.074219,77268.296875,-294787.437500,-217519.140625
ml,worst,647,2026-04-30,1877.210693,10.000000,1899.749512,50.000000,0.000000,2.000000,-189974.953125,94.987473,0.000000,1865.196289,50.000000,-5.000000,-3.000000,279779.437500,139.889709,-466299.062500,1885.690063,50.000000,-5.000000,2.000000,-188569.000000,94.284500,-471422.500000,-937721.562500,1044697.812500,5419.235840,101557.015625,-390262.250000,-288705.250000
ml,worst,647,2026-05-01,1860.604980,10.000000,1899.749512,50.000000,-3.000000,-3.000000,284962.437500,142.481201,-284962.437500,1859.483887,50.000000,-3.000000,2.000000,-185948.390625,92.974190,-278922.593750,1879.269775,50.000000,-3.000000,2.000000,-187926.984375,93.963493,-281890.468750,-845775.500000,955784.875000,5748.654785,104260.718750,-433921.156250,-329660.437500
ml,worst,647,2026-05-02,1894.131958,10.000000,1899.749512,50.000000,-3.000000,0.000000,-0.000000,0.000000,-284962.437500,1913.539062,50.000000,-3.000000,0.000000,-0.000000,0.000000,-287030.875000,1933.051880,50.000000,-3.000000,0.000000,-0.000000,0.000000,-289957.781250,-861951.125000,955784.875000,5748.654785,88085.093750,-354438.968750,-266353.875000
ml,worst,647,2026-05-03,1861.980591,10.000000,1899.749512,50.000000,-3.000000,0.000000,-0.000000,0.000000,-284962.437500,1869.849365,50.000000,-3.000000,0.000000,-0.000000,0.000000,-280477.406250,1887.806885,50.000000,-3.000000,0.000000,-0.000000,0.000000,-283171.031250,-848610.875000,955784.875000,5748.654785,101425.343750,-436745.656250,-335320.312500
ml,worst,647,2026-05-04,1843.592896,10.000000,1899.749512,50.000000,-1.000000,2.000000,-189974.953125,94.987473,-94987.476562,1853.639404,50.000000,-6.000000,-3.000000,278045.906250,139.022949,-556091.812500,1871.951660,50.000000,-6.000000,-3.000000,280792.750000,140.396378,-561585.500000,-1212664.750000,1324648.500000,6123.061523,105860.687500,-482155.312500,-376294.625000
ml,worst,647,2026-05-05,1804.661621,10.000000,1899.749512,50.000000,1.000000,2.000000,-189974.953125,94.987473,94987.476562,1811.242554,50.000000,-4.000000,2.000000,-181124.250000,90.562126,-362248.500000,1829.686646,50.000000,-4.000000,2.000000,-182968.671875,91.484337,-365937.343750,-633198.375000,770580.750000,6400.095703,130982.281250,-580615.687500,-449633.406250
ml,worst,647,2026-05-06,1816.784790,10.000000,1899.749512,50.000000,-2.000000,-3.000000,284962.437500,142.481201,-189974.953125,1814.562134,50.000000,-2.000000,2.000000,-181456.218750,90.728111,-181456.218750,1831.844482,50.000000,-2.000000,2.000000,-183184.453125,91.592224,-183184.453125,-554615.625000,690902.437500,6724.896973,129561.914062,-553639.562500,-424077.656250
ml,worst,647,2026-05-07,1808.861572,10.000000,1899.749512,50.000000,0.000000,2.000000,-189974.953125,94.987473,0.000000,1814.608643,50.000000,-5.000000,-3.000000,272191.312500,136.095642,-453652.156250,1832.137451,50.000000,-5.000000,-3.000000,274820.593750,137.410309,-458034.375000,-911686.500000,1047939.437500,7093.390625,129159.546875,-573824.000000,-444664.437500
ml,worst,647,2026-05-08,1818.670166,10.000000,1899.749512,50.000000,-3.000000,-3.000000,284962.437500,142.481201,-284962.437500,1827.833496,50.000000,-3.000000,2.000000,-182783.343750,91.391670,-274175.031250,1844.610474,50.000000,-3.000000,2.000000,-184461.046875,92.230522,-276691.562500,-835829.062500,965657.437500,7419.493652,122408.882812,-548079.562500,-425670.687500
ml,worst,647,2026-05-09,1789.833130,10.000000,1899.749512,50.000000,-3.000000,0.000000,-0.000000,0.000000,-284962.437500,1769.760498,50.000000,-3.000000,0.000000,-0.000000,0.000000,-265464.062500,1786.160400,50.000000,-3.000000,0.000000,-0.000000,0.000000,-267924.062500,-818350.562500,965657.437500,7419.493652,139887.375000,-619895.312500,-480007.937500
