policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-2.000000,-2.000000,202617.156250,101.308571,-202617.156250,2047.068848,50.000000,-2.000000,-2.000000,204706.890625,102.353439,-204706.890625,2070.749756,50.000000,-2.000000,-2.000000,207074.968750,103.537483,-207074.968750,-614399.000000,614399.000000,307.199493,-307.199493,4854.181641,4546.981934
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,-2.000000,0.000000,-0.000000,0.000000,-205223.296875,2075.079590,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207507.953125,2101.060547,50.000000,-2.000000,0.000000,-0.000000,0.000000,-210106.062500,-622837.312500,614399.000000,307.199493,-8745.511719,80.828957,-8664.682617
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,-2.000000,0.000000,-0.000000,0.000000,-202286.640625,2047.953491,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204795.343750,2074.674561,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207467.453125,-614549.437500,614399.000000,307.199493,-457.636993,-64963.031250,-65420.667969
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,-4.000000,-2.000000,202031.218750,101.015610,-404062.437500,2045.426025,50.000000,-4.000000,-2.000000,204542.609375,102.271301,-409085.218750,2070.898682,50.000000,-4.000000,-2.000000,207089.875000,103.544937,-414179.750000,-1227327.375000,1228062.750000,614.031372,121.343628,-18950.523438,-18829.179688
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,-6.000000,-2.000000,201646.140625,100.823067,-604938.437500,2042.856934,50.000000,-6.000000,-2.000000,204285.687500,102.142838,-612857.062500,2069.121826,50.000000,-6.000000,-2.000000,206912.187500,103.456093,-620736.500000,-1838532.000000,1840906.750000,920.453308,1454.296631,-38905.066406,-37450.769531
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,-2.000000,4.000000,-396691.593750,198.345795,-198345.796875,2006.723877,50.000000,-2.000000,4.000000,-401344.781250,200.672379,-200672.390625,2031.449585,50.000000,-2.000000,4.000000,-406289.906250,203.144943,-203144.953125,-602163.125000,636580.437500,1522.616455,32894.695312,-55782.097656,-22887.402344
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,-4.000000,-2.000000,197661.843750,98.830925,-395323.687500,1996.774170,50.000000,-4.000000,-2.000000,199677.421875,99.838707,-399354.843750,2020.267944,50.000000,-4.000000,-2.000000,202026.796875,101.013397,-404053.593750,-1198732.125000,1235946.500000,1822.299561,35392.074219,-131884.015625,-96491.937500
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,-6.000000,-2.000000,203586.765625,101.793381,-610760.312500,2057.065186,50.000000,-6.000000,-2.000000,205706.515625,102.853256,-617119.500000,2080.790527,50.000000,-6.000000,-2.000000,208079.046875,104.039520,-624237.187500,-1852117.000000,1853318.875000,2130.985596,-929.110596,-13381.950195,-14311.060547
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,-6.000000,0.000000,-0.000000,0.000000,-608156.750000,2048.137939,50.000000,-6.000000,0.000000,-0.000000,0.000000,-614441.375000,2072.372559,50.000000,-6.000000,0.000000,-0.000000,0.000000,-621711.750000,-1844309.875000,1853318.875000,2130.985596,6878.014648,-15867.924805,-8989.910156
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,-6.000000,0.000000,-0.000000,0.000000,-605012.187500,2037.388550,50.000000,-6.000000,0.000000,-0.000000,0.000000,-611216.562500,2060.567871,50.000000,-6.000000,0.000000,-0.000000,0.000000,-618170.375000,-1834399.125000,1853318.875000,2130.985596,16788.763672,1230.560669,18019.324219
ml,worst,446,2026-04-20,2053.510498,10.000000,2041.007935,50.000000,-5.000000,1.000000,-102050.398438,51.025200,-510252.000000,2062.531982,50.000000,-8.000000,-2.000000,206253.203125,103.126595,-825012.812500,2086.899658,50.000000,-8.000000,-2.000000,208689.968750,104.344986,-834759.875000,-2170024.500000,2166211.750000,2389.482422,-6202.232422,44340.710938,38138.476562
ml,worst,446,2026-04-21,2056.396240,10.000000,2059.851074,50.000000,-4.000000,1.000000,-102992.554688,51.496277,-411970.218750,2083.308350,50.000000,-7.000000,1.000000,-104165.414062,52.082706,-729157.937500,2109.154053,50.000000,-7.000000,1.000000,-105457.703125,52.728848,-738203.875000,-1879332.000000,1853596.000000,2545.790039,-28281.789062,59168.183594,30886.394531
ml,worst,446,2026-04-22,2070.967773,10.000000,2076.047607,50.000000,-3.000000,1.000000,-103802.382812,51.901188,-311407.125000,2097.576172,50.000000,-6.000000,1.000000,-104878.812500,52.439404,-629272.875000,2123.129639,50.000000,-6.000000,1.000000,-106156.484375,53.078243,-636938.875000,-1577618.875000,1538758.250000,2703.208984,-41563.835938,95683.664062,54119.828125
