policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-2.000000,-2.000000,202617.156250,101.308571,-202617.156250,2047.068848,50.000000,-2.000000,-2.000000,204706.890625,102.353439,-204706.890625,2070.749756,50.000000,-2.000000,-2.000000,207074.968750,103.537483,-207074.968750,-614399.000000,614399.000000,307.199493,-307.199493,4854.181641,4546.981934
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,-2.000000,0.000000,-0.000000,0.000000,-205223.296875,2075.079590,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207507.953125,2101.060547,50.000000,-2.000000,0.000000,-0.000000,0.000000,-210106.062500,-622837.312500,614399.000000,307.199493,-8745.511719,80.828957,-8664.682617
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,-2.000000,0.000000,-0.000000,0.000000,-202286.640625,2047.953491,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204795.343750,2074.674561,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207467.453125,-614549.437500,614399.000000,307.199493,-457.636993,-64963.031250,-65420.667969
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,-1.000000,1.000000,-101015.609375,50.507805,-101015.609375,2045.426025,50.000000,-1.000000,1.000000,-102271.304688,51.135651,-102271.304688,2070.898682,50.000000,-1.000000,1.000000,-103544.937500,51.772469,-103544.937500,-306831.843750,307567.156250,460.615417,274.697083,-18950.523438,-18675.826172
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,0.000000,1.000000,-100823.070312,50.411533,0.000000,2042.856934,50.000000,0.000000,1.000000,-102142.843750,51.071419,0.000000,2069.121826,50.000000,0.000000,1.000000,-103456.093750,51.728046,0.000000,0.000000,1145.156250,613.826416,531.329834,-38905.066406,-38373.738281
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,-2.000000,-2.000000,198345.796875,99.172897,-198345.796875,2006.723877,50.000000,-2.000000,-2.000000,200672.390625,100.336189,-200672.390625,2031.449585,50.000000,-2.000000,-2.000000,203144.953125,101.572472,-203144.953125,-602163.125000,603308.312500,914.907959,230.279541,-55782.097656,-55551.816406
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,-1.000000,1.000000,-98830.921875,49.415462,-98830.921875,1996.774170,50.000000,-1.000000,1.000000,-99838.710938,49.919353,-99838.710938,2020.267944,50.000000,-1.000000,1.000000,-101013.398438,50.506699,-101013.398438,-299683.031250,303625.281250,1064.749512,2877.500488,-131884.015625,-129006.515625
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,-3.000000,-2.000000,203586.765625,101.793381,-305380.156250,2057.065186,50.000000,-3.000000,-2.000000,205706.515625,102.853256,-308559.750000,2080.790527,50.000000,-3.000000,-2.000000,208079.046875,104.039520,-312118.593750,-926058.500000,920997.625000,1373.435547,-6434.310547,-13381.950195,-19816.261719
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,-3.000000,0.000000,-0.000000,0.000000,-304078.375000,2048.137939,50.000000,-3.000000,0.000000,-0.000000,0.000000,-307220.687500,2072.372559,50.000000,-3.000000,0.000000,-0.000000,0.000000,-310855.875000,-922154.937500,920997.625000,1373.435547,-2530.748047,-15867.924805,-18398.671875
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,-3.000000,0.000000,-0.000000,0.000000,-302506.093750,2037.388550,50.000000,-3.000000,0.000000,-0.000000,0.000000,-305608.281250,2060.567871,50.000000,-3.000000,0.000000,-0.000000,0.000000,-309085.187500,-917199.562500,920997.625000,1373.435547,2424.626953,1230.560669,3655.187500
ml,worst,446,2026-04-20,2053.510498,10.000000,2041.007935,50.000000,-2.000000,1.000000,-102050.398438,51.025200,-204100.796875,2062.531982,50.000000,-2.000000,1.000000,-103126.601562,51.563297,-206253.203125,2086.899658,50.000000,-2.000000,1.000000,-104344.984375,52.172493,-208689.968750,-619044.000000,611475.625000,1528.196533,-9096.571289,44340.710938,35244.140625
ml,worst,446,2026-04-21,2056.396240,10.000000,2059.851074,50.000000,-1.000000,1.000000,-102992.554688,51.496277,-102992.554688,2083.308350,50.000000,-1.000000,1.000000,-104165.414062,52.082706,-104165.414062,2109.154053,50.000000,-1.000000,1.000000,-105457.703125,52.728848,-105457.703125,-312615.687500,298859.937500,1684.504395,-15440.253906,59168.183594,43727.929688
ml,worst,446,2026-04-22,2070.967773,10.000000,2076.047607,50.000000,0.000000,1.000000,-103802.382812,51.901188,0.000000,2097.576172,50.000000,-3.000000,-2.000000,209757.625000,104.878807,-314636.437500,2123.129639,50.000000,-3.000000,-2.000000,212312.968750,106.156487,-318469.437500,-633105.875000,617128.125000,1947.440918,-17925.191406,95683.664062,77758.468750
