policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,2.000000,2.000000,-202617.156250,101.308571,202617.156250,2047.068848,50.000000,2.000000,2.000000,-204706.890625,102.353439,204706.890625,2070.749756,50.000000,-15.000000,-15.000000,1553062.250000,776.531128,-1553062.250000,-1145738.250000,1145738.250000,980.193115,-980.193115,4854.181641,3873.988525
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,2.000000,0.000000,-0.000000,0.000000,205223.296875,2075.079590,50.000000,2.000000,0.000000,-0.000000,0.000000,207507.953125,2101.060547,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1575795.375000,-1163064.125000,1145738.250000,980.193115,-18306.068359,80.828957,-18225.240234
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,2.000000,0.000000,-0.000000,0.000000,202286.640625,2047.953491,50.000000,2.000000,0.000000,-0.000000,0.000000,204795.343750,2074.674561,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1556006.000000,-1148924.000000,1145738.250000,980.193115,-4165.943359,-64963.031250,-69128.976562
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,-13.000000,-15.000000,1515234.125000,757.617065,-1313202.875000,2045.426025,50.000000,-13.000000,-15.000000,1534069.500000,767.034790,-1329527.000000,2070.898682,50.000000,30.000000,45.000000,-4659522.000000,2329.760986,3106348.000000,463618.000000,-464480.250000,4834.605957,-5696.855957,-18950.523438,-24647.378906
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,32.000000,45.000000,-4537038.500000,2268.519043,3226338.250000,2042.856934,50.000000,32.000000,45.000000,-4596428.000000,2298.213867,3268571.000000,2069.121826,50.000000,15.000000,-15.000000,1551841.375000,775.920715,1551841.375000,8046750.500000,-8046105.500000,10177.259766,-9532.259766,-38905.066406,-48437.328125
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,17.000000,-15.000000,1487593.500000,743.796753,1685939.250000,2006.723877,50.000000,17.000000,-15.000000,1505042.875000,752.521423,1705715.250000,2031.449585,50.000000,0.000000,-15.000000,1523587.250000,761.793518,0.000000,3391654.500000,-3529881.500000,12435.371094,-150662.375000,-55782.097656,-206444.468750
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,2.000000,-15.000000,1482463.750000,741.231934,197661.843750,1996.774170,50.000000,2.000000,-15.000000,1497580.625000,748.790283,199677.421875,2020.267944,50.000000,-15.000000,-15.000000,1515201.000000,757.600464,-1515201.000000,-1117861.750000,965363.750000,14682.994141,-167181.000000,-131884.015625,-299065.000000
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,-13.000000,-15.000000,1526900.750000,763.450378,-1323314.000000,2057.065186,50.000000,-18.000000,-20.000000,2057065.250000,1028.532593,-1851358.625000,2080.790527,50.000000,30.000000,45.000000,-4681778.500000,2340.889160,3121185.750000,-53486.750000,-132448.500000,18815.867188,-204751.125000,-13381.950195,-218133.078125
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,-13.000000,0.000000,-0.000000,0.000000,-1317673.000000,2048.137939,50.000000,-18.000000,0.000000,-0.000000,0.000000,-1843324.250000,2072.372559,50.000000,30.000000,0.000000,-0.000000,0.000000,3108558.750000,-52438.500000,-132448.500000,18815.867188,-203702.875000,-15867.924805,-219570.796875
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,-13.000000,0.000000,-0.000000,0.000000,-1310859.750000,2037.388550,50.000000,-18.000000,0.000000,-0.000000,0.000000,-1833649.625000,2060.567871,50.000000,30.000000,0.000000,-0.000000,0.000000,3090851.750000,-53657.750000,-132448.500000,18815.867188,-204922.125000,1230.560669,-203691.562500
ml,worst,446,2026-04-20,2053.510498,10.000000,2041.007935,50.000000,32.000000,45.000000,-4592268.000000,2296.134033,3265612.750000,2062.531982,50.000000,27.000000,45.000000,-4640697.000000,2320.348389,2784418.250000,2086.899658,50.000000,10.000000,-20.000000,2086899.625000,1043.449829,1043449.812500,7093481.000000,-7278514.000000,24475.796875,-209508.796875,44340.710938,-165168.093750
ml,worst,446,2026-04-21,2056.396240,10.000000,2059.851074,50.000000,17.000000,-15.000000,1544888.250000,772.444153,1750873.500000,2083.308350,50.000000,12.000000,-15.000000,1562481.250000,781.240601,1249985.000000,2109.154053,50.000000,-10.000000,-20.000000,2109154.000000,1054.576904,-1054577.000000,1946281.500000,-2061990.500000,27084.058594,-142793.062500,59168.183594,-83624.875000
ml,worst,446,2026-04-22,2070.967773,10.000000,2076.047607,50.000000,2.000000,-15.000000,1557035.750000,778.517822,207604.765625,2097.576172,50.000000,-3.000000,-15.000000,1573182.125000,786.591064,-314636.437500,2123.129639,50.000000,35.000000,45.000000,-4777042.000000,2388.520996,3715477.000000,3608445.250000,-3708814.750000,31037.687500,-131407.187500,95683.664062,-35723.523438
ml,worst,446,2026-04-23,2131.797119,10.000000,2157.684082,50.000000,-13.000000,-15.000000,1618263.125000,809.131531,-1402494.625000,2178.356934,50.000000,6.000000,9.000000,-980260.625000,490.130310,653507.062500,2204.199219,50.000000,20.000000,-15.000000,1653149.375000,826.574707,2204199.250000,1455211.750000,-1417662.750000,33163.527344,4385.472656,250682.484375,255067.953125
ml,worst,446,2026-04-24,2113.499268,10.000000,2136.633301,50.000000,32.000000,45.000000,-4807425.000000,2403.712402,3418613.250000,2156.173828,50.000000,-9.000000,-15.000000,1617130.375000,808.565125,-970278.250000,2181.755371,50.000000,5.000000,-15.000000,1636316.500000,818.158203,545438.875000,2993774.000000,-2971641.000000,37193.960938,-15060.960938,210095.484375,195034.531250
ml,worst,446,2026-04-25,2117.656494,10.000000,2121.035156,50.000000,32.000000,0.000000,-0.000000,0.000000,3393656.250000,2139.095947,50.000000,-9.000000,0.000000,-0.000000,0.000000,-962593.187500,2163.214355,50.000000,5.000000,0.000000,-0.000000,0.000000,540803.625000,2971866.500000,-2971641.000000,37193.960938,-36968.460938,233408.968750,196440.500000
ml,worst,446,2026-04-26,2009.753174,10.000000,2034.993774,50.000000,32.000000,0.000000,-0.000000,0.000000,3255990.000000,2053.197021,50.000000,-9.000000,0.000000,-0.000000,0.000000,-923938.687500,2076.562744,50.000000,5.000000,0.000000,-0.000000,0.000000,519140.687500,2851192.000000,-2971641.000000,37193.960938,-157642.968750,-29213.535156,-186856.500000
ml,worst,446,2026-04-27,1972.469116,10.000000,1956.485840,50.000000,17.000000,-15.000000,1467364.375000,733.682129,1663012.875000,1975.163452,50.000000,-24.000000,-15.000000,1481372.500000,740.686279,-2370196.000000,1997.283203,50.000000,-10.000000,-15.000000,1497962.375000,748.981140,-998641.625000,-1705824.750000,1475058.250000,39417.312500,-270183.812500,-120417.390625,-390601.187500
ml,worst,446,2026-04-28,1941.583130,10.000000,1964.942993,50.000000,2.000000,-15.000000,1473707.250000,736.853577,196494.296875,1981.485596,50.000000,21.000000,45.000000,-4458342.500000,2229.171387,2080560.000000,2001.761963,50.000000,35.000000,45.000000,-4503964.500000,2251.982178,3503083.500000,5780138.000000,-6013541.500000,44635.320312,-278038.812500,-191505.046875,-469543.875000
ml,worst,446,2026-04-29,1968.000000,10.000000,1985.684814,50.000000,3.000000,1.000000,-99284.242188,49.642120,297852.750000,2001.993286,50.000000,6.000000,-15.000000,1501494.875000,750.747498,600598.000000,2022.045654,50.000000,20.000000,-15.000000,1516534.250000,758.267090,2022045.750000,2920496.500000,-3094796.500000,46193.976562,-220493.968750,-119921.812500,-340415.781250
ml,worst,446,2026-04-30,1992.075562,10.000000,1985.684814,50.000000,1.000000,-2.000000,198568.484375,99.284241,99284.242188,2008.764893,50.000000,-9.000000,-15.000000,1506573.625000,753.286804,-903944.250000,2027.917358,50.000000,5.000000,-15.000000,1520938.000000,760.468994,506979.343750,-297680.656250,131283.500000,47807.015625,-214204.171875,-66764.968750,-280969.125000
ml,worst,446,2026-05-01,1995.633179,10.000000,1985.684814,50.000000,2.000000,1.000000,-99284.242188,49.642120,198568.484375,1953.274170,50.000000,-24.000000,-15.000000,1464955.625000,732.477844,-2343929.000000,1971.853760,50.000000,-10.000000,-15.000000,1478890.375000,739.445129,-985926.875000,-3131287.500000,2975845.000000,49328.582031,-204771.078125,-54866.527344,-259637.609375
ml,worst,446,2026-05-02,2009.428467,10.000000,1985.684814,50.000000,2.000000,0.000000,-0.000000,0.000000,198568.484375,2006.673706,50.000000,-24.000000,0.000000,-0.000000,0.000000,-2408008.500000,2025.937378,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1012968.625000,-3222408.500000,2975845.000000,49328.582031,-295892.093750,-19765.894531,-315658.000000
ml,worst,446,2026-05-03,2020.137573,10.000000,1985.684814,50.000000,2.000000,0.000000,-0.000000,0.000000,198568.484375,2029.137817,50.000000,-24.000000,0.000000,-0.000000,0.000000,-2434965.500000,2049.179443,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1024589.750000,-3260986.750000,2975845.000000,49328.582031,-334470.343750,4542.131836,-329928.218750
ml,worst,446,2026-05-04,1986.105957,10.000000,1985.684814,50.000000,0.000000,-2.000000,198568.484375,99.284241,0.000000,1992.766968,50.000000,21.000000,45.000000,-4483726.000000,2241.862793,2092405.250000,2013.582031,50.000000,35.000000,45.000000,-4530559.500000,2265.279785,3523768.750000,5616174.000000,-5839872.000000,53935.007812,-277633.000000,-78301.125000,-355934.125000
ml,worst,446,2026-05-05,2012.579346,10.000000,1985.684814,50.000000,2.000000,2.000000,-198568.484375,99.284241,198568.484375,2035.259399,50.000000,6.000000,-15.000000,1526444.500000,763.222290,610577.812500,2056.475586,50.000000,20.000000,-15.000000,1542356.625000,771.178345,2056475.625000,2865622.000000,-2969639.000000,55568.691406,-159585.687500,-17765.376953,-177351.062500
ml,worst,446,2026-05-06,1989.903320,10.000000,1985.684814,50.000000,0.000000,-2.000000,198568.484375,99.284241,0.000000,1999.730835,50.000000,-9.000000,-15.000000,1499798.125000,749.898987,-899878.875000,2020.162720,50.000000,5.000000,-15.000000,1515122.125000,757.560913,505040.687500,-394838.187500,243849.562500,57175.437500,-208164.062500,-73715.023438,-281879.093750
ml,worst,446,2026-05-07,2003.015991,10.000000,1985.684814,50.000000,2.000000,2.000000,-198568.484375,99.284241,198568.484375,2027.557739,50.000000,36.000000,45.000000,-4562005.000000,2281.002441,3649604.000000,2048.867920,50.000000,-10.000000,-15.000000,1536651.000000,768.325500,-1024434.000000,2823738.500000,-2980073.000000,60324.046875,-216658.546875,-43989.347656,-260647.890625
ml,worst,446,2026-05-08,1985.376831,10.000000,1985.684814,50.000000,0.000000,-2.000000,198568.484375,99.284241,0.000000,1996.449951,50.000000,21.000000,-15.000000,1497337.500000,748.668701,2096272.500000,2018.557129,50.000000,35.000000,45.000000,-4541753.500000,2270.876709,3532475.000000,5628747.500000,-5825920.500000,63442.875000,-260615.875000,-90991.585938,-351607.468750
ml,worst,446,2026-05-09,2007.080322,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2021.287842,50.000000,21.000000,0.000000,-0.000000,0.000000,2122352.250000,2042.692871,50.000000,35.000000,0.000000,-0.000000,0.000000,3574712.500000,5697065.000000,-5825920.500000,63442.875000,-192298.375000,-39479.648438,-231778.031250
ml,worst,446,2026-05-10,1962.462769,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1966.718384,50.000000,21.000000,0.000000,-0.000000,0.000000,2065054.250000,1986.057739,50.000000,35.000000,0.000000,-0.000000,0.000000,3475601.250000,5540655.500000,-5825920.500000,63442.875000,-348707.875000,-150494.578125,-499202.437500
ml,worst,446,2026-05-11,1958.118042,10.000000,1985.684814,50.000000,2.000000,2.000000,-198568.484375,99.284241,198568.484375,1967.485352,50.000000,6.000000,-15.000000,1475614.000000,737.806946,590245.625000,1986.381714,50.000000,20.000000,-15.000000,1489786.375000,744.893127,1986381.625000,2775195.750000,-3059088.500000,65024.863281,-348917.625000,-162716.406250,-511634.031250
ml,worst,446,2026-05-12,1945.735229,10.000000,1985.684814,50.000000,0.000000,-2.000000,198568.484375,99.284241,0.000000,1946.839966,50.000000,-9.000000,-15.000000,1460130.000000,730.064941,-876078.000000,1966.336182,50.000000,5.000000,-15.000000,1474752.125000,737.376099,491584.031250,-384493.968750,74362.062500,66591.585938,-376723.500000,-194430.218750,-571153.750000
ml,worst,446,2026-05-13,1929.673096,10.000000,1985.684814,50.000000,2.000000,2.000000,-198568.484375,99.284241,198568.484375,1917.900269,50.000000,0.000000,9.000000,-863055.062500,431.527557,0.000000,1943.610962,50.000000,-10.000000,-15.000000,1457708.250000,728.854126,-971805.500000,-773237.000000,470446.750000,67851.250000,-370641.500000,-239381.921875,-610023.437500
ml,worst,446,2026-05-14,1912.927856,10.000000,1985.684814,50.000000,0.000000,-2.000000,198568.484375,99.284241,0.000000,1908.566040,50.000000,2.000000,2.000000,-190856.609375,95.428307,190856.609375,1940.907837,50.000000,35.000000,45.000000,-4367042.500000,2183.521240,3396588.750000,3587445.250000,-3888883.750000,70229.484375,-371668.000000,-283483.187500,-655151.187500
ml,worst,446,2026-05-15,1856.210449,10.000000,1985.684814,50.000000,2.000000,2.000000,-198568.484375,99.284241,198568.484375,1842.663208,50.000000,-13.000000,-15.000000,1381997.375000,690.998718,-1197731.000000,1875.107300,50.000000,20.000000,-15.000000,1406330.500000,703.165222,1875107.250000,875944.750000,-1299124.375000,71722.937500,-494902.562500,-427009.781250,-921912.375000
ml,worst,446,2026-05-16,1870.690430,10.000000,1985.684814,50.000000,2.000000,0.000000,-0.000000,0.000000,198568.484375,1887.101807,50.000000,-13.000000,0.000000,-0.000000,0.000000,-1226616.250000,1919.476929,50.000000,20.000000,0.000000,-0.000000,0.000000,1919477.000000,891429.250000,-1299124.375000,71722.937500,-479418.062500,-389960.781250,-869378.875000
ml,worst,446,2026-05-17,1838.255859,10.000000,1985.684814,50.000000,2.000000,0.000000,-0.000000,0.000000,198568.484375,1850.926147,50.000000,-13.000000,0.000000,-0.000000,0.000000,-1203102.000000,1886.100098,50.000000,20.000000,0.000000,-0.000000,0.000000,1886100.000000,881566.500000,-1299124.375000,71722.937500,-489280.812500,-475651.875000,-964932.687500
ml,worst,446,2026-05-18,1772.887451,10.000000,1985.684814,50.000000,0.000000,-2.000000,198568.484375,99.284241,0.000000,1784.851929,50.000000,32.000000,45.000000,-4015916.750000,2007.958374,2855763.000000,1817.657837,50.000000,5.000000,-15.000000,1363243.375000,681.621643,454414.437500,3310177.500000,-3753229.250000,74511.796875,-517563.562500,-643764.125000,-1161327.750000
ml,worst,446,2026-05-19,1773.945312,10.000000,1985.684814,50.000000,2.000000,2.000000,-198568.484375,99.284241,198568.484375,1787.697266,50.000000,17.000000,-15.000000,1340773.000000,670.386414,1519542.625000,1814.130859,50.000000,-10.000000,-15.000000,1360598.125000,680.299133,-907065.437500,811045.687500,-1250426.625000,75961.773438,-515342.718750,-644401.812500,-1159744.500000
ml,worst,446,2026-05-20,1772.786011,10.000000,1985.684814,50.000000,0.000000,-2.000000,198568.484375,99.284241,0.000000,1779.221558,50.000000,2.000000,-15.000000,1334416.250000,667.208069,177922.156250,1806.368042,50.000000,35.000000,45.000000,-4064328.000000,2032.163940,3161144.250000,3339066.500000,-3781770.000000,78760.421875,-521463.937500,-652536.437500,-1174000.375000
ml,worst,446,2026-05-21,1753.736328,10.000000,1985.684814,50.000000,2.000000,2.000000,-198568.484375,99.284241,198568.484375,1790.989868,50.000000,-13.000000,-15.000000,1343242.375000,671.621216,-1164143.500000,1821.735229,50.000000,20.000000,-15.000000,1366301.500000,683.150635,1821735.125000,856160.125000,-1270794.625000,80214.484375,-494849.000000,-702209.625000,-1197058.625000
ml,worst,446,2026-05-22,1745.752441,10.000000,1985.684814,50.000000,0.000000,-2.000000,198568.484375,99.284241,0.000000,1780.181641,50.000000,32.000000,45.000000,-4005408.500000,2002.704102,2848290.500000,1810.379883,50.000000,5.000000,-15.000000,1357785.000000,678.892395,452594.968750,3300885.500000,-3719849.500000,82995.359375,-501959.375000,-719431.062500,-1221390.500000
ml,worst,446,2026-05-23,1744.842041,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1779.547729,50.000000,32.000000,0.000000,-0.000000,0.000000,2847276.250000,1808.119873,50.000000,5.000000,0.000000,-0.000000,0.000000,452029.968750,3299306.250000,-3719849.500000,82995.359375,-503538.625000,-721461.062500,-1224999.750000
ml,worst,446,2026-05-24,1717.491943,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1752.315308,50.000000,32.000000,0.000000,-0.000000,0.000000,2803704.500000,1782.272095,50.000000,5.000000,0.000000,-0.000000,0.000000,445568.031250,3249272.500000,-3719849.500000,82995.359375,-553572.375000,-794762.562500,-1348335.000000
ml,worst,446,2026-05-25,1683.895996,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1698.541504,50.000000,32.000000,0.000000,-0.000000,0.000000,2717666.500000,1730.882935,50.000000,5.000000,0.000000,-0.000000,0.000000,432720.750000,3150387.250000,-3719849.500000,82995.359375,-652457.625000,-880901.062500,-1533358.750000
ml,worst,446,2026-05-26,1674.048706,10.000000,1985.684814,50.000000,2.000000,2.000000,-198568.484375,99.284241,198568.484375,1687.593994,50.000000,17.000000,-15.000000,1265695.500000,632.847778,1434454.875000,1715.364258,50.000000,-10.000000,-15.000000,1286523.250000,643.261597,-857682.125000,775341.250000,-1366199.375000,84370.750000,-675228.875000,-906349.750000,-1581578.625000
ml,worst,446,2026-05-27,1669.073364,10.000000,1985.684814,50.000000,0.000000,-2.000000,198568.484375,99.284241,0.000000,1670.024414,50.000000,2.000000,-15.000000,1252518.375000,626.259094,167002.437500,1692.124268,50.000000,35.000000,45.000000,-3807279.750000,1903.639648,2961217.500000,3128220.000000,-3722392.000000,86999.937500,-681171.937500,-916702.812500,-1597874.750000
ml,worst,446,2026-05-28,1666.176636,10.000000,1985.684814,50.000000,2.000000,2.000000,-198568.484375,99.284241,198568.484375,1679.142090,50.000000,-18.000000,-20.000000,1679142.250000,839.570984,-1511227.875000,1699.909058,50.000000,20.000000,-15.000000,1274931.875000,637.465820,1699909.000000,387249.625000,-966886.500000,88576.257812,-668213.125000,-923164.437500,-1591377.500000
ml,worst,446,2026-05-29,1653.594116,10.000000,1985.684814,50.000000,0.000000,-2.000000,198568.484375,99.284241,0.000000,1670.354126,50.000000,27.000000,45.000000,-3758297.000000,1879.148193,2254978.000000,1692.409668,50.000000,5.000000,-15.000000,1269307.250000,634.653625,423102.437500,2678080.500000,-3257307.750000,91189.343750,-670416.625000,-952778.375000,-1623195.000000
ml,worst,446,2026-05-30,1595.695312,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1578.783813,50.000000,27.000000,0.000000,-0.000000,0.000000,2131358.250000,1598.632324,50.000000,5.000000,0.000000,-0.000000,0.000000,399658.093750,2531016.250000,-3257307.750000,91189.343750,-817480.875000,-1101298.125000,-1918779.000000
ml,worst,446,2026-05-31,1607.847046,10.000000,1985.684814,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1595.029175,50.000000,27.000000,0.000000,-0.000000,0.000000,2153289.500000,1616.216797,50.000000,5.000000,0.000000,-0.000000,0.000000,404054.187500,2557343.750000,-3257307.750000,91189.343750,-791153.375000,-1072969.625000,-1864123.000000
ml,worst,446,2026-06-01,1591.098511,10.000000,1985.684814,50.000000,2.000000,2.000000,-198568.484375,99.284241,198568.484375,1588.484863,50.000000,12.000000,-15.000000,1191363.625000,595.681824,953090.937500,1607.989258,50.000000,-10.000000,-15.000000,1205992.000000,602.995972,-803994.625000,347664.750000,-1058520.750000,92487.312500,-803343.312500,-1116779.125000,-1920122.500000
ml,worst,446,2026-06-02,1589.180176,10.000000,1985.684814,50.000000,0.000000,-2.000000,198568.484375,99.284241,0.000000,1596.113647,50.000000,-3.000000,-15.000000,1197085.250000,598.542603,-239417.046875,1615.966553,50.000000,-1.000000,9.000000,-727184.937500,363.592468,-80798.328125,-320215.375000,-390051.937500,93548.726562,-803816.062500,-1122235.750000,-1926051.750000
ml,worst,446,2026-06-03,1582.582275,10.000000,1985.684814,50.000000,2.000000,2.000000,-198568.484375,99.284241,198568.484375,1591.920044,50.000000,6.000000,9.000000,-716364.000000,358.182007,477576.031250,1610.456299,50.000000,8.000000,9.000000,-724705.312500,362.352661,644182.500000,1320327.000000,-2029689.750000,94368.546875,-803731.312500,-1137600.375000,-1941331.750000
