policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,273,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-2.000000,-2.000000,202617.156250,101.308571,-202617.156250,2047.068848,50.000000,-2.000000,-2.000000,204706.890625,102.353439,-204706.890625,2070.749756,50.000000,-2.000000,-2.000000,207074.968750,103.537483,-207074.968750,-614399.000000,614399.000000,307.199493,-307.199493,4854.181641,4546.981934
ml,worst,273,2026-04-11,2050.380371,10.000000,2045.408936,50.000000,-2.000000,0.000000,-0.000000,0.000000,-204540.890625,2063.383789,50.000000,-2.000000,0.000000,-0.000000,0.000000,-206338.375000,2085.257812,50.000000,-2.000000,0.000000,-0.000000,0.000000,-208525.781250,-619405.000000,614399.000000,307.199493,-5313.199707,-13270.904297,-18584.103516
ml,worst,273,2026-04-12,2048.920166,10.000000,2039.564819,50.000000,-2.000000,0.000000,-0.000000,0.000000,-203956.484375,2057.841797,50.000000,-2.000000,0.000000,-0.000000,0.000000,-205784.187500,2079.638672,50.000000,-2.000000,0.000000,-0.000000,0.000000,-207963.875000,-617704.562500,614399.000000,307.199493,-3612.761963,-17655.279297,-21268.041016
ml,worst,273,2026-04-13,2049.219238,10.000000,2051.239990,50.000000,-3.000000,-1.000000,102562.000000,51.280998,-307686.000000,2069.717285,50.000000,-3.000000,-1.000000,103485.867188,51.742931,-310457.593750,2092.276123,50.000000,-4.000000,-2.000000,209227.609375,104.613800,-418455.218750,-1036598.875000,1029674.437500,514.837219,-7439.274902,-23371.910156,-30811.185547
ml,worst,273,2026-04-14,2072.036377,10.000000,2048.277100,50.000000,-4.000000,-1.000000,102413.851562,51.206924,-409655.406250,2065.813721,50.000000,-4.000000,-1.000000,103290.687500,51.645344,-413162.750000,2087.338379,50.000000,-3.000000,1.000000,-104366.921875,52.183460,-313100.750000,-1135918.875000,1131012.125000,669.872925,-5576.623047,48384.195312,42807.570312
ml,worst,273,2026-04-15,2107.296387,10.000000,2105.222656,50.000000,-3.000000,1.000000,-105261.132812,52.630566,-315783.406250,2123.701660,50.000000,-5.000000,-1.000000,106185.085938,53.092541,-530925.375000,2147.460693,50.000000,-5.000000,-2.000000,214746.062500,107.373024,-536865.187500,-1383574.000000,1346682.125000,882.969116,-37774.843750,147083.062500,109308.218750
ml,worst,273,2026-04-16,2089.412109,10.000000,2080.630859,50.000000,-4.000000,-1.000000,104031.546875,52.015774,-416126.187500,2099.705322,50.000000,-4.000000,1.000000,-104985.265625,52.492630,-419941.062500,2122.956299,50.000000,-4.000000,1.000000,-106147.812500,53.073906,-424591.250000,-1260658.500000,1239580.625000,1040.551392,-22118.425781,105264.203125,83145.781250
ml,worst,273,2026-04-17,2069.377441,10.000000,2053.993652,50.000000,-3.000000,1.000000,-102699.679688,51.349838,-308099.062500,2072.875000,50.000000,-3.000000,1.000000,-103643.750000,51.821873,-310931.250000,2094.548584,50.000000,-5.000000,-1.000000,104727.429688,52.363716,-523637.156250,-1142667.500000,1137964.500000,1196.086792,-5899.086914,54768.230469,48869.144531
ml,worst,273,2026-04-18,2045.280273,10.000000,2028.627686,50.000000,-3.000000,0.000000,-0.000000,0.000000,-304294.125000,2048.302490,50.000000,-3.000000,0.000000,-0.000000,0.000000,-307245.375000,2069.531250,50.000000,-5.000000,0.000000,-0.000000,0.000000,-517382.812500,-1128922.250000,1137964.500000,1196.086792,7846.163086,-3185.694336,4660.468750
ml,worst,273,2026-04-19,2052.944580,10.000000,2043.674316,50.000000,-3.000000,0.000000,-0.000000,0.000000,-306551.156250,2064.483643,50.000000,-3.000000,0.000000,-0.000000,0.000000,-309672.562500,2086.737061,50.000000,-5.000000,0.000000,-0.000000,0.000000,-521684.281250,-1137908.000000,1137964.500000,1196.086792,-1139.586792,27039.841797,25900.255859
