policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,446,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-6.000000,-6.000000,607851.437500,303.925720,-607851.437500,2047.068848,50.000000,-6.000000,-6.000000,614120.625000,307.060303,-614120.625000,2070.749756,50.000000,-6.000000,-6.000000,621224.875000,310.612457,-621224.875000,-1843196.875000,1843196.875000,921.598511,-921.598511,4854.181641,3932.583008
ml,worst,446,2026-04-11,2054.153809,10.000000,2052.232910,50.000000,-6.000000,0.000000,-0.000000,0.000000,-615669.875000,2075.079590,50.000000,-6.000000,0.000000,-0.000000,0.000000,-622523.875000,2101.060547,50.000000,-6.000000,0.000000,-0.000000,0.000000,-630318.187500,-1868512.000000,1843196.875000,921.598511,-26236.722656,80.828957,-26155.894531
ml,worst,446,2026-04-12,2028.083740,10.000000,2022.866333,50.000000,-6.000000,0.000000,-0.000000,0.000000,-606859.937500,2047.953491,50.000000,-6.000000,0.000000,-0.000000,0.000000,-614386.062500,2074.674561,50.000000,-6.000000,0.000000,-0.000000,0.000000,-622402.375000,-1843648.375000,1843196.875000,921.598511,-1373.098511,-64963.031250,-66336.132812
ml,worst,446,2026-04-13,2044.614136,10.000000,2020.312134,50.000000,-5.000000,1.000000,-101015.609375,50.507805,-505078.031250,2045.426025,50.000000,-5.000000,1.000000,-102271.304688,51.135651,-511356.500000,2070.898682,50.000000,-5.000000,1.000000,-103544.937500,51.772469,-517724.656250,-1534159.125000,1536365.000000,1075.014404,1130.860596,-18950.523438,-17819.662109
ml,worst,446,2026-04-14,2032.623535,10.000000,2016.461426,50.000000,-4.000000,1.000000,-100823.070312,50.411533,-403292.281250,2042.856934,50.000000,-4.000000,1.000000,-102142.843750,51.071419,-408571.375000,2069.121826,50.000000,-4.000000,1.000000,-103456.093750,51.728046,-413824.375000,-1225688.000000,1229943.125000,1228.225342,3026.899658,-38905.066406,-35878.167969
ml,worst,446,2026-04-15,2024.030029,10.000000,1983.458008,50.000000,-3.000000,1.000000,-99172.898438,49.586449,-297518.687500,2006.723877,50.000000,-3.000000,1.000000,-100336.195312,50.168095,-301008.593750,2031.449585,50.000000,-3.000000,1.000000,-101572.476562,50.786236,-304717.437500,-903244.687500,928861.500000,1378.766113,24238.046875,-55782.097656,-31544.050781
ml,worst,446,2026-04-16,1992.313965,10.000000,1976.618408,50.000000,-2.000000,1.000000,-98830.921875,49.415462,-197661.843750,1996.774170,50.000000,-2.000000,1.000000,-99838.710938,49.919353,-199677.421875,2020.267944,50.000000,-2.000000,1.000000,-101013.398438,50.506699,-202026.796875,-599366.062500,629178.500000,1528.607666,28283.830078,-131884.015625,-103600.187500
ml,worst,446,2026-04-17,2035.682739,10.000000,2035.867676,50.000000,-3.000000,-1.000000,101793.382812,50.896690,-305380.156250,2057.065186,50.000000,-3.000000,-1.000000,102853.257812,51.426628,-308559.750000,2080.790527,50.000000,-3.000000,-1.000000,104039.523438,52.019760,-312118.593750,-926058.500000,937864.625000,1682.950806,10123.173828,-13381.950195,-3258.776367
ml,worst,446,2026-04-18,2032.929688,10.000000,2027.189087,50.000000,-3.000000,0.000000,-0.000000,0.000000,-304078.375000,2048.137939,50.000000,-3.000000,0.000000,-0.000000,0.000000,-307220.687500,2072.372559,50.000000,-3.000000,0.000000,-0.000000,0.000000,-310855.875000,-922154.937500,937864.625000,1682.950806,14026.736328,-15867.924805,-1841.188477
ml,worst,446,2026-04-19,2039.008057,10.000000,2016.707397,50.000000,-3.000000,0.000000,-0.000000,0.000000,-302506.093750,2037.388550,50.000000,-3.000000,0.000000,-0.000000,0.000000,-305608.281250,2060.567871,50.000000,-3.000000,0.000000,-0.000000,0.000000,-309085.187500,-917199.562500,937864.625000,1682.950806,18982.111328,1230.560669,20212.671875
