policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,863,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,1.000000,1.000000,-101308.578125,50.654285,101308.578125,2047.068848,50.000000,1.000000,1.000000,-102353.445312,51.176720,102353.445312,2070.749756,50.000000,1.000000,1.000000,-103537.484375,51.768742,103537.484375,307199.500000,-307199.500000,153.599747,-153.599747,29559.361328,29405.761719
ml,worst,863,2026-04-11,2058.646729,10.000000,2055.972412,50.000000,1.000000,0.000000,-0.000000,0.000000,102798.617188,2077.447021,50.000000,1.000000,0.000000,-0.000000,0.000000,103872.351562,2101.117920,50.000000,1.000000,0.000000,-0.000000,0.000000,105055.898438,311726.875000,-307199.500000,153.599747,4373.775391,46391.863281,50765.640625
ml,worst,863,2026-04-12,2031.215698,10.000000,2027.140747,50.000000,1.000000,0.000000,-0.000000,0.000000,101357.039062,2047.100708,50.000000,1.000000,0.000000,-0.000000,0.000000,102355.039062,2069.129639,50.000000,1.000000,0.000000,-0.000000,0.000000,103456.484375,307168.562500,-307199.500000,153.599747,-184.537247,-15958.697266,-16143.234375
ml,worst,863,2026-04-13,2026.295532,10.000000,1987.505005,50.000000,-2.000000,-3.000000,298125.750000,149.062866,-198750.500000,2006.772095,50.000000,-2.000000,-3.000000,301015.812500,150.507904,-200677.203125,2028.122314,50.000000,-2.000000,-3.000000,304218.375000,152.109161,-202812.234375,-602239.937500,596160.437500,605.279663,-6684.779785,-32323.470703,-39008.250000
ml,worst,863,2026-04-14,2012.497803,10.000000,1969.400269,50.000000,-1.000000,1.000000,-98470.015625,49.235004,-98470.015625,1990.747192,50.000000,-1.000000,1.000000,-99537.359375,49.768681,-99537.359375,2012.699463,50.000000,-1.000000,1.000000,-100634.976562,50.317486,-100634.976562,-298642.343750,297518.062500,754.600830,-1878.882080,-60817.320312,-62696.203125
ml,worst,863,2026-04-15,2008.121826,10.000000,1995.371704,50.000000,0.000000,1.000000,-99768.585938,49.884293,0.000000,2016.599365,50.000000,0.000000,1.000000,-100829.968750,50.414982,0.000000,2039.428955,50.000000,0.000000,1.000000,-101971.445312,50.985722,0.000000,0.000000,-5051.921875,905.885864,-5957.807617,-78725.765625,-84683.570312
ml,worst,863,2026-04-16,2017.688477,10.000000,1996.043091,50.000000,1.000000,1.000000,-99802.156250,49.901077,99802.156250,2017.841797,50.000000,1.000000,1.000000,-100892.093750,50.446045,100892.093750,2040.152466,50.000000,1.000000,1.000000,-102007.625000,51.003811,102007.625000,302701.875000,-307753.812500,1057.236816,-6109.174316,-55530.507812,-61639.683594
ml,worst,863,2026-04-17,1976.137695,10.000000,1956.831543,50.000000,-2.000000,-3.000000,293524.718750,146.762360,-195683.156250,1980.533325,50.000000,-2.000000,-3.000000,297080.000000,148.539978,-198053.328125,2004.123291,50.000000,-2.000000,-3.000000,300618.500000,150.309235,-200412.328125,-594148.812500,583469.375000,1502.848389,-12182.286133,-155657.578125,-167839.859375
ml,worst,863,2026-04-18,1993.906860,10.000000,1982.333618,50.000000,-2.000000,0.000000,-0.000000,0.000000,-198233.359375,2007.893311,50.000000,-2.000000,0.000000,-0.000000,0.000000,-200789.328125,2032.343384,50.000000,-2.000000,0.000000,-0.000000,0.000000,-203234.343750,-602257.000000,583469.375000,1502.848389,-20290.472656,-107180.843750,-127471.312500
ml,worst,863,2026-04-19,2002.256836,10.000000,1986.831299,50.000000,-2.000000,0.000000,-0.000000,0.000000,-198683.125000,2012.886841,50.000000,-2.000000,0.000000,-0.000000,0.000000,-201288.687500,2037.769897,50.000000,-2.000000,0.000000,-0.000000,0.000000,-203776.984375,-603748.812500,583469.375000,1502.848389,-21782.285156,-82163.976562,-103946.265625
ml,worst,863,2026-04-20,1999.045776,10.000000,1991.849609,50.000000,-1.000000,1.000000,-99592.484375,49.796242,-99592.484375,2017.610596,50.000000,-1.000000,1.000000,-100880.531250,50.440266,-100880.531250,2041.649536,50.000000,-1.000000,1.000000,-102082.476562,51.041237,-102082.476562,-302555.500000,280913.937500,1654.126099,-23295.689453,-85006.992188,-108302.679688
ml,worst,863,2026-04-21,1986.129639,10.000000,1996.211304,50.000000,0.000000,1.000000,-99810.562500,49.905281,0.000000,2021.422241,50.000000,0.000000,1.000000,-101071.109375,50.535557,0.000000,2043.817871,50.000000,0.000000,1.000000,-102190.890625,51.095444,0.000000,0.000000,-22158.632812,1805.662354,-23964.294922,-111380.703125,-135345.000000
ml,worst,863,2026-04-22,2004.614624,10.000000,2006.605591,50.000000,1.000000,1.000000,-100330.281250,50.165138,100330.281250,2031.944458,50.000000,1.000000,1.000000,-101597.226562,50.798611,101597.226562,2054.131592,50.000000,1.000000,1.000000,-102706.578125,51.353287,102706.578125,304634.062500,-326792.718750,1957.979492,-24116.636719,-71130.601562,-95247.234375
