policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,647,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-3.000000,-3.000000,303925.718750,151.962860,-303925.718750,2047.068848,50.000000,-3.000000,-3.000000,307060.312500,153.530151,-307060.312500,2070.749756,50.000000,-3.000000,-3.000000,310612.437500,155.306229,-310612.437500,-921598.437500,921598.437500,460.799255,-460.799255,29559.361328,29098.562500
ml,worst,647,2026-04-11,2065.812500,10.000000,2046.706543,50.000000,-3.000000,0.000000,-0.000000,0.000000,-307005.968750,2066.497070,50.000000,-3.000000,0.000000,-0.000000,0.000000,-309974.562500,2087.301025,50.000000,-3.000000,0.000000,-0.000000,0.000000,-313095.156250,-930075.625000,921598.437500,460.799255,-8937.986328,45971.617188,37033.632812
ml,worst,647,2026-04-12,2078.417969,10.000000,2079.799072,50.000000,-3.000000,0.000000,-0.000000,0.000000,-311969.875000,2099.327881,50.000000,-3.000000,0.000000,-0.000000,0.000000,-314899.156250,2119.106445,50.000000,-3.000000,0.000000,-0.000000,0.000000,-317865.968750,-944735.000000,921598.437500,460.799255,-23597.361328,78367.031250,54769.671875
ml,worst,647,2026-04-13,2072.717285,10.000000,2052.699951,50.000000,-6.000000,-3.000000,307904.968750,153.952484,-615809.937500,2069.864990,50.000000,-6.000000,-3.000000,310479.750000,155.239868,-620959.500000,2088.435059,50.000000,-6.000000,-3.000000,313265.250000,156.632614,-626530.500000,-1863300.000000,1853248.500000,926.624207,-10978.124023,60482.074219,49503.949219
ml,worst,647,2026-04-14,2008.956055,10.000000,1986.405762,50.000000,-3.000000,3.000000,-297960.875000,148.980423,-297960.875000,2003.242065,50.000000,-3.000000,3.000000,-300486.312500,150.243134,-300486.312500,2020.572021,50.000000,-3.000000,3.000000,-303085.781250,151.542892,-303085.781250,-901533.000000,951715.500000,1377.390625,48805.109375,-96993.031250,-48187.921875
ml,worst,647,2026-04-15,1935.823853,10.000000,1883.702515,50.000000,-6.000000,-3.000000,282555.375000,141.277679,-565110.750000,1900.474976,50.000000,-6.000000,-3.000000,285071.250000,142.535629,-570142.500000,1917.325806,50.000000,-6.000000,-3.000000,287598.875000,143.799438,-575197.750000,-1710451.000000,1806941.000000,1805.003418,94685.000000,-267214.500000,-172529.500000
ml,worst,647,2026-04-16,1911.464478,10.000000,1899.659424,50.000000,-3.000000,3.000000,-284948.937500,142.474442,-284948.937500,1916.143188,50.000000,-3.000000,3.000000,-287421.500000,143.710724,-287421.500000,1933.708618,50.000000,-3.000000,3.000000,-290056.312500,145.028152,-290056.312500,-862426.750000,944514.250000,2236.216797,79851.281250,-327212.531250,-247361.250000
ml,worst,647,2026-04-17,1955.649902,10.000000,1950.535400,50.000000,-6.000000,-3.000000,292580.312500,146.290161,-585160.625000,1967.606323,50.000000,-6.000000,-3.000000,295140.937500,147.570465,-590281.875000,1985.490723,50.000000,-6.000000,-3.000000,297823.593750,148.911804,-595647.187500,-1771089.750000,1830059.000000,2678.989258,56290.261719,-217925.359375,-161635.093750
ml,worst,647,2026-04-18,1957.756714,10.000000,1950.681763,50.000000,-6.000000,0.000000,-0.000000,0.000000,-585204.562500,1969.401001,50.000000,-6.000000,0.000000,-0.000000,0.000000,-590820.312500,1988.694092,50.000000,-6.000000,0.000000,-0.000000,0.000000,-596608.187500,-1772633.000000,1830059.000000,2678.989258,54747.011719,-205765.609375,-151018.593750
ml,worst,647,2026-04-19,1971.617065,10.000000,1960.724609,50.000000,-6.000000,0.000000,-0.000000,0.000000,-588217.375000,1979.494751,50.000000,-6.000000,0.000000,-0.000000,0.000000,-593848.437500,1998.929321,50.000000,-6.000000,0.000000,-0.000000,0.000000,-599678.812500,-1781744.500000,1830059.000000,2678.989258,45635.511719,-166672.671875,-121037.156250
