policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,273,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-9.000000,-9.000000,911777.125000,455.888580,-911777.125000,2047.068848,50.000000,-9.000000,-9.000000,921180.937500,460.590485,-921180.937500,2070.749756,50.000000,-9.000000,-9.000000,931837.375000,465.918671,-931837.375000,-2764795.500000,2764795.500000,1382.397705,-1382.397705,29559.361328,28176.962891
ml,worst,273,2026-04-11,2050.380371,10.000000,2045.408936,50.000000,-9.000000,0.000000,-0.000000,0.000000,-920434.000000,2063.383789,50.000000,-9.000000,0.000000,-0.000000,0.000000,-928522.625000,2085.257812,50.000000,-9.000000,0.000000,-0.000000,0.000000,-938366.000000,-2787322.500000,2764795.500000,1382.397705,-23909.398438,11434.860352,-12474.538086
ml,worst,273,2026-04-12,2048.920166,10.000000,2039.564819,50.000000,-9.000000,0.000000,-0.000000,0.000000,-917804.187500,2057.841797,50.000000,-9.000000,0.000000,-0.000000,0.000000,-926028.812500,2079.638672,50.000000,-9.000000,0.000000,-0.000000,0.000000,-935837.375000,-2779670.500000,2764795.500000,1382.397705,-16257.397461,7052.099121,-9205.298828
ml,worst,273,2026-04-13,2049.219238,10.000000,2051.239990,50.000000,-8.000000,1.000000,-102562.000000,51.280998,-820496.000000,2069.717285,50.000000,-8.000000,1.000000,-103485.867188,51.742931,-827886.937500,2092.276123,50.000000,-8.000000,1.000000,-104613.804688,52.306900,-836910.437500,-2485293.500000,2454133.750000,1537.728638,-32697.478516,1340.605713,-31356.873047
ml,worst,273,2026-04-14,2072.036377,10.000000,2048.277100,50.000000,-7.000000,1.000000,-102413.851562,51.206924,-716897.000000,2065.813721,50.000000,-7.000000,1.000000,-103290.687500,51.645344,-723034.812500,2087.338379,50.000000,-7.000000,1.000000,-104366.921875,52.183460,-730568.437500,-2170500.250000,2144062.250000,1692.764282,-28130.763672,73098.203125,44967.437500
ml,worst,273,2026-04-15,2107.296387,10.000000,2105.222656,50.000000,-6.000000,1.000000,-105261.132812,52.630566,-631566.812500,2123.701660,50.000000,-6.000000,1.000000,-106185.085938,53.092541,-637110.500000,2147.460693,50.000000,-6.000000,1.000000,-107373.031250,53.686512,-644238.187500,-1912915.500000,1825243.125000,1852.173828,-89524.546875,171801.078125,82276.531250
ml,worst,273,2026-04-16,2089.412109,10.000000,2080.630859,50.000000,-5.000000,1.000000,-104031.546875,52.015774,-520157.718750,2099.705322,50.000000,-5.000000,1.000000,-104985.265625,52.492630,-524926.312500,2122.956299,50.000000,-5.000000,1.000000,-106147.812500,53.073906,-530739.062500,-1575823.000000,1510078.500000,2009.756104,-67754.257812,129983.531250,62229.273438
ml,worst,273,2026-04-17,2069.377441,10.000000,2053.993652,50.000000,-4.000000,1.000000,-102699.679688,51.349838,-410798.718750,2072.875000,50.000000,-4.000000,1.000000,-103643.750000,51.821873,-414575.000000,2094.548584,50.000000,-4.000000,1.000000,-104727.429688,52.363716,-418909.718750,-1244283.500000,1199007.500000,2165.291748,-47441.292969,79490.039062,32048.746094
ml,worst,273,2026-04-18,2045.280273,10.000000,2028.627686,50.000000,-4.000000,0.000000,-0.000000,0.000000,-405725.531250,2048.302490,50.000000,-4.000000,0.000000,-0.000000,0.000000,-409660.500000,2069.531250,50.000000,-4.000000,0.000000,-0.000000,0.000000,-413906.250000,-1229292.250000,1199007.500000,2165.291748,-32450.041016,21536.935547,-10913.105469
ml,worst,273,2026-04-19,2052.944580,10.000000,2043.674316,50.000000,-4.000000,0.000000,-0.000000,0.000000,-408734.875000,2064.483643,50.000000,-4.000000,0.000000,-0.000000,0.000000,-412896.718750,2086.737061,50.000000,-4.000000,0.000000,-0.000000,0.000000,-417347.406250,-1238979.000000,1199007.500000,2165.291748,-42136.792969,51765.292969,9628.500000
ml,worst,273,2026-04-20,2025.418457,10.000000,2040.459473,50.000000,-3.000000,1.000000,-102022.976562,51.011486,-306068.906250,2061.112793,50.000000,-3.000000,1.000000,-103055.640625,51.527817,-309166.906250,2084.374512,50.000000,-3.000000,1.000000,-104218.726562,52.109360,-312656.187500,-927892.000000,889710.250000,2319.940430,-40501.691406,-10968.653320,-51470.343750
ml,worst,273,2026-04-21,2019.640625,10.000000,2032.728271,50.000000,-2.000000,1.000000,-101636.414062,50.818207,-203272.828125,2054.822754,50.000000,-2.000000,1.000000,-102741.140625,51.370567,-205482.281250,2078.829590,50.000000,-12.000000,-9.000000,935473.312500,467.736633,-1247297.750000,-1656052.875000,1620806.000000,2889.865723,-38136.742188,-18788.335938,-56925.078125
ml,worst,273,2026-04-22,2021.044189,10.000000,2036.148926,50.000000,-11.000000,-9.000000,916267.000000,458.133484,-1119881.875000,2058.374756,50.000000,-11.000000,-9.000000,926268.625000,463.134277,-1132106.125000,2082.488037,50.000000,-11.000000,1.000000,-104124.398438,52.062199,-1145368.500000,-3397356.500000,3359217.000000,3863.195801,-42002.695312,-12518.993164,-54521.687500
ml,worst,273,2026-04-23,2012.367310,10.000000,2012.557617,50.000000,-5.000000,6.000000,-603767.312500,301.883636,-503139.406250,2033.612671,50.000000,-10.000000,1.000000,-101680.632812,50.840313,-1016806.375000,2057.240479,50.000000,-10.000000,1.000000,-102862.023438,51.431011,-1028620.187500,-2548566.000000,2550907.250000,4267.350586,-1926.100586,-31115.609375,-33041.710938
ml,worst,273,2026-04-24,1964.866211,10.000000,1974.884766,50.000000,-4.000000,1.000000,-98744.234375,49.372116,-394976.937500,1996.999268,50.000000,-9.000000,1.000000,-99849.960938,49.924980,-898649.687500,2020.947632,50.000000,-9.000000,1.000000,-101047.382812,50.523689,-909426.437500,-2203053.000000,2251265.500000,4417.171387,43795.328125,-151372.390625,-107577.062500
ml,worst,273,2026-04-25,1981.240356,10.000000,1988.930786,50.000000,-4.000000,0.000000,-0.000000,0.000000,-397786.156250,2010.290039,50.000000,-9.000000,0.000000,-0.000000,0.000000,-904630.500000,2033.944702,50.000000,-9.000000,0.000000,-0.000000,0.000000,-915275.125000,-2217691.750000,2251265.500000,4417.171387,29156.578125,-105034.070312,-75877.492188
