policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,273,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-7.000000,-7.000000,709160.000000,354.579987,-709160.000000,2047.068848,50.000000,-7.000000,-7.000000,716474.125000,358.237030,-716474.125000,2070.749756,50.000000,-7.000000,-7.000000,724762.375000,362.381195,-724762.375000,-2150396.500000,2150396.500000,1075.198242,-1075.198242,29559.361328,28484.164062
ml,worst,273,2026-04-11,2050.380371,10.000000,2045.408936,50.000000,-7.000000,0.000000,-0.000000,0.000000,-715893.125000,2063.383789,50.000000,-7.000000,0.000000,-0.000000,0.000000,-722184.312500,2085.257812,50.000000,-7.000000,0.000000,-0.000000,0.000000,-729840.250000,-2167917.750000,2150396.500000,1075.198242,-18596.449219,11434.860352,-7161.588867
ml,worst,273,2026-04-12,2048.920166,10.000000,2039.564819,50.000000,-7.000000,0.000000,-0.000000,0.000000,-713847.687500,2057.841797,50.000000,-7.000000,0.000000,-0.000000,0.000000,-720244.625000,2079.638672,50.000000,-7.000000,0.000000,-0.000000,0.000000,-727873.562500,-2161965.750000,2150396.500000,1075.198242,-12644.448242,7052.099121,-5592.349121
ml,worst,273,2026-04-13,2049.219238,10.000000,2051.239990,50.000000,-9.000000,-2.000000,205124.000000,102.561996,-923058.000000,2069.717285,50.000000,-9.000000,-2.000000,206971.734375,103.485863,-931372.750000,2092.276123,50.000000,-9.000000,-2.000000,209227.609375,104.613800,-941524.250000,-2795955.000000,2771720.000000,1385.859863,-25620.859375,1340.605713,-24280.253906
ml,worst,273,2026-04-14,2072.036377,10.000000,2048.277100,50.000000,-8.000000,1.000000,-102413.851562,51.206924,-819310.812500,2065.813721,50.000000,-11.000000,-2.000000,206581.375000,103.290688,-1136197.500000,2087.338379,50.000000,-11.000000,-2.000000,208733.843750,104.366920,-1148036.125000,-3103544.500000,3084621.250000,1644.724365,-20567.974609,73098.203125,52530.226562
ml,worst,273,2026-04-15,2107.296387,10.000000,2105.222656,50.000000,-11.000000,-3.000000,315783.406250,157.891693,-1157872.500000,2123.701660,50.000000,-14.000000,-3.000000,318555.250000,159.277618,-1486591.250000,2147.460693,50.000000,-14.000000,-3.000000,322119.093750,161.059540,-1503222.500000,-4147686.250000,4041079.000000,2122.953125,-108730.203125,171801.078125,63070.875000
ml,worst,273,2026-04-16,2089.412109,10.000000,2080.630859,50.000000,-10.000000,1.000000,-104031.546875,52.015774,-1040315.437500,2099.705322,50.000000,-8.000000,6.000000,-629911.625000,314.955780,-839882.125000,2122.956299,50.000000,-13.000000,1.000000,-106147.812500,53.073906,-1379921.625000,-3260119.000000,3200988.000000,2542.998535,-61674.000000,129983.531250,68309.531250
ml,worst,273,2026-04-17,2069.377441,10.000000,2053.993652,50.000000,-9.000000,1.000000,-102699.679688,51.349838,-924297.187500,2072.875000,50.000000,-10.000000,-2.000000,207287.500000,103.643745,-1036437.500000,2094.548584,50.000000,-12.000000,1.000000,-104727.429688,52.363716,-1256729.125000,-3217464.000000,3200848.500000,2750.355957,-19365.855469,79490.039062,60124.183594
ml,worst,273,2026-04-18,2045.280273,10.000000,2028.627686,50.000000,-9.000000,0.000000,-0.000000,0.000000,-912882.437500,2048.302490,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1024151.250000,2069.531250,50.000000,-12.000000,0.000000,-0.000000,0.000000,-1241718.750000,-3178752.500000,3200848.500000,2750.355957,19345.644531,21536.935547,40882.578125
ml,worst,273,2026-04-19,2052.944580,10.000000,2043.674316,50.000000,-9.000000,0.000000,-0.000000,0.000000,-919653.437500,2064.483643,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1032241.812500,2086.737061,50.000000,-12.000000,0.000000,-0.000000,0.000000,-1252042.250000,-3203937.500000,3200848.500000,2750.355957,-5839.355957,51765.292969,45925.937500
ml,worst,273,2026-04-20,2025.418457,10.000000,2040.459473,50.000000,-8.000000,1.000000,-102022.976562,51.011486,-816183.812500,2061.112793,50.000000,-9.000000,1.000000,-103055.640625,51.527817,-927500.750000,2084.374512,50.000000,-11.000000,1.000000,-104218.726562,52.109360,-1146406.000000,-2890090.500000,2891551.000000,2905.004639,-1444.504639,-10968.653320,-12413.158203
ml,worst,273,2026-04-21,2019.640625,10.000000,2032.728271,50.000000,-7.000000,1.000000,-101636.414062,50.818207,-711454.875000,2054.822754,50.000000,-8.000000,1.000000,-102741.140625,51.370567,-821929.125000,2078.829590,50.000000,-10.000000,1.000000,-103941.476562,51.970737,-1039414.875000,-2572799.000000,2583232.000000,3059.164307,7373.835938,-18788.335938,-11414.500000
ml,worst,273,2026-04-22,2021.044189,10.000000,2036.148926,50.000000,-6.000000,1.000000,-101807.445312,50.903721,-610844.687500,2058.374756,50.000000,-7.000000,1.000000,-102918.734375,51.459366,-720431.125000,2082.488037,50.000000,-9.000000,1.000000,-104124.398438,52.062199,-937119.625000,-2268395.500000,2274381.500000,3213.589355,2772.410645,-12518.993164,-9746.582031
ml,worst,273,2026-04-23,2012.367310,10.000000,2012.557617,50.000000,-5.000000,1.000000,-100627.882812,50.313938,-503139.406250,2033.612671,50.000000,-6.000000,1.000000,-101680.632812,50.840313,-610083.812500,2057.240479,50.000000,-8.000000,1.000000,-102862.023438,51.431011,-822896.187500,-1936119.500000,1969210.750000,3366.174561,29725.076172,-31115.609375,-1390.533203
ml,worst,273,2026-04-24,1964.866211,10.000000,1974.884766,50.000000,-7.000000,-2.000000,197488.468750,98.744232,-691209.687500,1996.999268,50.000000,-8.000000,-2.000000,199699.921875,99.849960,-798799.687500,2020.947632,50.000000,-7.000000,1.000000,-101047.382812,50.523689,-707331.687500,-2197341.000000,2265352.000000,3615.292480,64395.707031,-151372.390625,-86976.687500
ml,worst,273,2026-04-25,1981.240356,10.000000,1988.930786,50.000000,-7.000000,0.000000,-0.000000,0.000000,-696125.750000,2010.290039,50.000000,-8.000000,0.000000,-0.000000,0.000000,-804116.000000,2033.944702,50.000000,-7.000000,0.000000,-0.000000,0.000000,-711880.687500,-2212122.500000,2265352.000000,3615.292480,49614.207031,-105034.070312,-55419.863281
ml,worst,273,2026-04-26,1977.417847,10.000000,1991.440674,50.000000,-7.000000,0.000000,-0.000000,0.000000,-697004.250000,2013.004395,50.000000,-8.000000,0.000000,-0.000000,0.000000,-805201.750000,2038.130737,50.000000,-7.000000,0.000000,-0.000000,0.000000,-713345.750000,-2215551.750000,2265352.000000,3615.292480,46184.957031,-110271.921875,-64086.964844
ml,worst,273,2026-04-27,1971.249634,10.000000,1966.935303,50.000000,-6.000000,1.000000,-98346.765625,49.173382,-590080.562500,1987.449463,50.000000,-7.000000,1.000000,-99372.476562,49.686237,-695607.312500,2011.617676,50.000000,-6.000000,1.000000,-100580.882812,50.290440,-603485.312500,-1889173.250000,1967051.750000,3764.442871,74114.054688,-124621.476562,-50507.421875
ml,worst,273,2026-04-28,1963.936157,10.000000,1951.673340,50.000000,-5.000000,1.000000,-97583.664062,48.791828,-487918.375000,1970.938477,50.000000,-6.000000,1.000000,-98546.921875,49.273460,-591281.562500,1993.722412,50.000000,-8.000000,-2.000000,199372.234375,99.686119,-797488.937500,-1876689.000000,1970293.375000,3962.194092,89642.179688,-139811.281250,-50169.101562
ml,worst,273,2026-04-29,1944.721436,10.000000,1936.796875,50.000000,-4.000000,1.000000,-96839.843750,48.419922,-387359.375000,1955.199463,50.000000,-8.000000,-2.000000,195519.953125,97.759972,-782079.812500,1976.318970,50.000000,-7.000000,1.000000,-98815.945312,49.407970,-691711.625000,-1861150.875000,1970157.500000,4157.782227,104848.843750,-183951.125000,-79102.281250
ml,worst,273,2026-04-30,1945.709351,10.000000,1936.796875,50.000000,-6.000000,-2.000000,193679.687500,96.839844,-581039.062500,2037.473877,50.000000,-7.000000,1.000000,-101873.695312,50.936844,-713115.875000,2060.792725,50.000000,-9.000000,-2.000000,206079.265625,103.039627,-927356.750000,-2221511.750000,2268043.000000,4408.598145,42122.652344,-188165.171875,-146042.515625
ml,worst,273,2026-05-01,1895.737549,10.000000,1936.796875,50.000000,-5.000000,1.000000,-96839.843750,48.419922,-484199.218750,1924.802490,50.000000,-6.000000,1.000000,-96240.125000,48.120060,-577440.750000,1947.022339,50.000000,-8.000000,1.000000,-97351.117188,48.675560,-778808.937500,-1840449.000000,1977611.750000,4553.813965,132608.937500,-311655.687500,-179046.750000
