policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,6681,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-8.000000,-8.000000,810468.625000,405.234283,-810468.625000,2047.068848,50.000000,-8.000000,-8.000000,818827.562500,409.413757,-818827.562500,2070.749756,50.000000,-8.000000,-8.000000,828299.875000,414.149933,-828299.875000,-2457596.000000,2457596.000000,1228.797974,-1228.797974,29559.361328,28330.562500
ml,worst,6681,2026-04-11,2012.608276,10.000000,1997.637573,50.000000,-8.000000,0.000000,-0.000000,0.000000,-799055.000000,2017.612915,50.000000,-8.000000,0.000000,-0.000000,0.000000,-807045.187500,2039.209961,50.000000,-8.000000,0.000000,-0.000000,0.000000,-815684.000000,-2421784.250000,2457596.000000,1228.797974,34582.953125,-76987.632812,-42404.679688
ml,worst,6681,2026-04-12,2027.832397,10.000000,2035.735596,50.000000,-8.000000,0.000000,-0.000000,0.000000,-814294.250000,2054.470215,50.000000,-8.000000,0.000000,-0.000000,0.000000,-821788.062500,2076.213867,50.000000,-8.000000,0.000000,-0.000000,0.000000,-830485.562500,-2466567.750000,2457596.000000,1228.797974,-10200.547852,-47579.300781,-57779.847656
ml,worst,6681,2026-04-13,2042.548340,10.000000,2039.433838,50.000000,-16.000000,-8.000000,815773.562500,407.886780,-1631547.125000,2057.644531,50.000000,-16.000000,-8.000000,823057.812500,411.528900,-1646115.625000,2078.198730,50.000000,-16.000000,-8.000000,831279.500000,415.639740,-1662559.000000,-4940222.000000,4927707.000000,2463.853516,-14978.853516,-11596.602539,-26575.457031
ml,worst,6681,2026-04-14,2050.072510,10.000000,2053.267334,50.000000,-8.000000,8.000000,-821306.937500,410.653473,-821306.937500,2073.473145,50.000000,-8.000000,8.000000,-829389.250000,414.694611,-829389.250000,2096.290039,50.000000,-24.000000,-8.000000,838516.000000,419.257996,-2515548.000000,-4166244.250000,4115527.000000,3708.459229,-54425.710938,13465.550781,-40960.160156
ml,worst,6681,2026-04-15,2026.369019,10.000000,2004.873413,50.000000,-10.000000,-2.000000,200487.343750,100.243675,-1002436.750000,2024.629395,50.000000,-15.000000,-7.000000,708620.312500,354.310150,-1518472.125000,2046.104126,50.000000,-9.000000,15.000000,-1534578.125000,767.289001,-920746.875000,-3441656.000000,3490056.250000,4930.302246,43469.949219,-34430.179688,9039.769531
ml,worst,6681,2026-04-16,2018.395752,10.000000,2010.290771,50.000000,-12.000000,-2.000000,201029.078125,100.514534,-1206174.375000,2031.182861,50.000000,-7.000000,8.000000,-812473.125000,406.236542,-710914.000000,2052.746582,50.000000,-11.000000,-2.000000,205274.656250,102.637321,-1129010.625000,-3046099.000000,3083887.000000,5539.690430,32248.308594,-51052.867188,-18804.558594
ml,worst,6681,2026-04-17,2072.376465,10.000000,2066.660156,50.000000,-4.000000,8.000000,-826664.062500,413.332001,-413332.031250,2088.699951,50.000000,-15.000000,-8.000000,835480.000000,417.739990,-1566525.000000,2109.249512,50.000000,-19.000000,-8.000000,843699.812500,421.849884,-2003787.125000,-3983644.000000,3936402.500000,6792.612305,-54034.113281,86224.632812,32190.519531
ml,worst,6681,2026-04-18,2107.423828,10.000000,2113.718262,50.000000,-4.000000,0.000000,-0.000000,0.000000,-422743.656250,2136.181396,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1602136.000000,2157.966797,50.000000,-19.000000,0.000000,-0.000000,0.000000,-2050068.375000,-4074948.000000,3936402.500000,6792.612305,-145338.109375,180719.312500,35381.203125
ml,worst,6681,2026-04-19,2100.847168,10.000000,2103.822021,50.000000,-4.000000,0.000000,-0.000000,0.000000,-420764.406250,2124.983643,50.000000,-15.000000,0.000000,-0.000000,0.000000,-1593737.750000,2145.724365,50.000000,-19.000000,0.000000,-0.000000,0.000000,-2038438.125000,-4052940.250000,3936402.500000,6792.612305,-123330.359375,172993.390625,49663.031250
