policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,8122,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,1.000000,1.000000,-101308.578125,50.654285,101308.578125,2047.068848,50.000000,1.000000,1.000000,-102353.445312,51.176720,102353.445312,2070.749756,50.000000,1.000000,1.000000,-103537.484375,51.768742,103537.484375,307199.500000,-307199.500000,153.599747,-153.599747,29559.361328,29405.761719
ml,worst,8122,2026-04-11,2020.087402,10.000000,1994.041138,50.000000,1.000000,0.000000,-0.000000,0.000000,99702.054688,2014.748047,50.000000,1.000000,0.000000,-0.000000,0.000000,100737.406250,2037.363525,50.000000,1.000000,0.000000,-0.000000,0.000000,101868.179688,302307.656250,-307199.500000,153.599747,-5045.443359,-54713.535156,-59758.976562
ml,worst,8122,2026-04-12,2035.394409,10.000000,2031.165283,50.000000,1.000000,0.000000,-0.000000,0.000000,101558.265625,2051.020508,50.000000,1.000000,0.000000,-0.000000,0.000000,102551.023438,2073.513184,50.000000,1.000000,0.000000,-0.000000,0.000000,103675.656250,307784.937500,-307199.500000,153.599747,431.837769,-12353.306641,-11921.468750
ml,worst,8122,2026-04-13,2051.504150,10.000000,2051.119629,50.000000,1.000000,0.000000,-0.000000,0.000000,102555.984375,2070.920654,50.000000,1.000000,0.000000,-0.000000,0.000000,103546.031250,2093.601562,50.000000,1.000000,0.000000,-0.000000,0.000000,104680.078125,310782.093750,-307199.500000,153.599747,3428.993896,24306.285156,27735.279297
ml,worst,8122,2026-04-14,2012.933594,10.000000,2009.096924,50.000000,1.000000,0.000000,-0.000000,0.000000,100454.843750,2027.519775,50.000000,1.000000,0.000000,-0.000000,0.000000,101375.992188,2049.027832,50.000000,-4.000000,-5.000000,512256.937500,256.128479,-409805.562500,-207974.718750,205057.406250,409.728210,-3327.040771,-64069.191406,-67396.234375
ml,worst,8122,2026-04-15,1947.054199,10.000000,1930.267212,50.000000,1.000000,0.000000,-0.000000,0.000000,96513.359375,1946.357178,50.000000,1.000000,0.000000,-0.000000,0.000000,97317.859375,1965.929077,50.000000,-3.000000,1.000000,-98296.453125,49.148224,-294889.343750,-101058.125000,106760.968750,458.876465,5243.967285,-226580.000000,-221336.031250
ml,worst,8122,2026-04-16,1973.511597,10.000000,1984.592896,50.000000,1.000000,0.000000,-0.000000,0.000000,99229.648438,2000.297852,50.000000,1.000000,0.000000,-0.000000,0.000000,100014.890625,2020.378906,50.000000,-2.000000,1.000000,-101018.945312,50.509472,-202037.890625,-2793.359375,5742.031250,509.385925,2439.285889,-157596.984375,-155157.703125
ml,worst,8122,2026-04-17,1996.005493,10.000000,2001.077881,50.000000,1.000000,0.000000,-0.000000,0.000000,100053.890625,2016.320190,50.000000,1.000000,0.000000,-0.000000,0.000000,100816.007812,2035.937622,50.000000,-1.000000,1.000000,-101796.882812,50.898438,-101796.882812,99073.023438,-96054.859375,560.284363,2457.879639,-99273.406250,-96815.523438
ml,worst,8122,2026-04-18,1968.072144,10.000000,1972.191650,50.000000,1.000000,0.000000,-0.000000,0.000000,98609.585938,1987.080688,50.000000,1.000000,0.000000,-0.000000,0.000000,99354.031250,2006.219116,50.000000,-1.000000,0.000000,-0.000000,0.000000,-100310.953125,97652.671875,-96054.859375,560.284363,1037.528076,-160150.765625,-159113.234375
ml,worst,8122,2026-04-19,1945.818848,10.000000,1942.082520,50.000000,1.000000,0.000000,-0.000000,0.000000,97104.125000,1956.697021,50.000000,1.000000,0.000000,-0.000000,0.000000,97834.851562,1974.828857,50.000000,-1.000000,0.000000,-0.000000,0.000000,-98741.445312,96197.523438,-96054.859375,560.284363,-417.620300,-212929.765625,-213347.390625
