policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,8122,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,1.000000,1.000000,-101308.578125,50.654285,101308.578125,2047.068848,50.000000,1.000000,1.000000,-102353.445312,51.176720,102353.445312,2070.749756,50.000000,1.000000,1.000000,-103537.484375,51.768742,103537.484375,307199.500000,-307199.500000,153.599747,-153.599747,29559.361328,29405.761719
ml,worst,8122,2026-04-11,2020.087402,10.000000,1994.041138,50.000000,1.000000,0.000000,-0.000000,0.000000,99702.054688,2014.748047,50.000000,1.000000,0.000000,-0.000000,0.000000,100737.406250,2037.363525,50.000000,1.000000,0.000000,-0.000000,0.000000,101868.179688,302307.656250,-307199.500000,153.599747,-5045.443359,-54713.535156,-59758.976562
ml,worst,8122,2026-04-12,2035.394409,10.000000,2031.165283,50.000000,1.000000,0.000000,-0.000000,0.000000,101558.265625,2051.020508,50.000000,1.000000,0.000000,-0.000000,0.000000,102551.023438,2073.513184,50.000000,1.000000,0.000000,-0.000000,0.000000,103675.656250,307784.937500,-307199.500000,153.599747,431.837769,-12353.306641,-11921.468750
ml,worst,8122,2026-04-13,2051.504150,10.000000,2051.119629,50.000000,2.000000,1.000000,-102555.984375,51.277992,205111.968750,2070.920654,50.000000,2.000000,1.000000,-103546.031250,51.773014,207092.062500,2093.601562,50.000000,2.000000,1.000000,-104680.078125,52.340034,209360.156250,621564.187500,-617981.625000,308.990784,3273.571777,24306.285156,27579.857422
ml,worst,8122,2026-04-14,2012.933594,10.000000,2009.096924,50.000000,-2.000000,-4.000000,401819.375000,200.909683,-200909.687500,2027.519775,50.000000,-2.000000,-4.000000,405503.968750,202.751984,-202751.984375,2049.027832,50.000000,3.000000,1.000000,-102451.390625,51.225693,307354.187500,-96307.500000,86890.375000,763.878174,-10181.002930,-64069.191406,-74250.195312
ml,worst,8122,2026-04-15,1947.054199,10.000000,1930.267212,50.000000,1.000000,3.000000,-289540.093750,144.770035,96513.359375,1946.357178,50.000000,-1.000000,1.000000,-97317.859375,48.658932,-97317.859375,1965.929077,50.000000,-2.000000,-5.000000,491482.281250,245.741119,-196592.906250,-197397.406250,191514.687500,1203.048218,-7085.767090,-226580.000000,-233665.765625
ml,worst,8122,2026-04-16,1973.511597,10.000000,1984.592896,50.000000,-3.000000,-4.000000,396918.593750,198.459290,-297688.937500,2000.297852,50.000000,0.000000,1.000000,-100014.890625,50.007442,0.000000,2020.378906,50.000000,-1.000000,1.000000,-101018.945312,50.509472,-101018.945312,-398707.875000,387399.437500,1502.024536,-12810.461914,-157596.984375,-170407.453125
ml,worst,8122,2026-04-17,1996.005493,10.000000,2001.077881,50.000000,0.000000,3.000000,-300161.656250,150.080826,0.000000,2016.320190,50.000000,1.000000,1.000000,-100816.007812,50.408001,100816.007812,2035.937622,50.000000,0.000000,1.000000,-101796.882812,50.898438,0.000000,100816.007812,-115375.109375,1753.411743,-16312.513672,-99273.406250,-115585.921875
ml,worst,8122,2026-04-18,1968.072144,10.000000,1972.191650,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1987.080688,50.000000,1.000000,0.000000,-0.000000,0.000000,99354.031250,2006.219116,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,99354.031250,-115375.109375,1753.411743,-17774.490234,-160150.765625,-177925.250000
ml,worst,8122,2026-04-19,1945.818848,10.000000,1942.082520,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1956.697021,50.000000,1.000000,0.000000,-0.000000,0.000000,97834.851562,1974.828857,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,97834.851562,-115375.109375,1753.411743,-19293.669922,-212929.765625,-232223.437500
