policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,5834,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2047.068848,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2070.749756,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,29559.361328,29559.361328
ml,worst,5834,2026-04-11,2038.768066,10.000000,2025.283569,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2042.672607,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2064.389160,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9521.707031,-9521.707031
ml,worst,5834,2026-04-12,2058.986572,10.000000,2059.449951,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2076.166748,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2098.563721,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,47379.531250,47379.531250
ml,worst,5834,2026-04-13,2036.332153,10.000000,2082.471191,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2102.401611,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2126.838135,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-9427.395508,-9427.395508
ml,worst,5834,2026-04-14,2003.402832,10.000000,2030.044678,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2050.000000,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2074.625732,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-85088.421875,-85088.421875
ml,worst,5834,2026-04-15,1981.338501,10.000000,1977.657471,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1999.262817,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2023.812378,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-145009.578125,-145009.578125
ml,worst,5834,2026-04-16,1975.175049,10.000000,1983.670898,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2005.518433,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2030.199585,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-155754.656250,-155754.656250
ml,worst,5834,2026-04-17,1943.129028,10.000000,1926.910645,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1948.656616,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1973.001587,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-231895.578125,-231895.578125
ml,worst,5834,2026-04-18,1927.358521,10.000000,1897.119507,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1922.445435,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1947.756226,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-270906.875000,-270906.875000
ml,worst,5834,2026-04-19,1925.636108,10.000000,1913.269165,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1938.764526,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1965.081665,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-268030.468750,-268030.468750
ml,worst,5834,2026-04-20,1857.349121,10.000000,1843.939941,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1868.608276,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1893.344727,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-436697.593750,-436697.593750
