policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,8122,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,1.000000,1.000000,-101308.578125,50.654285,101308.578125,2047.068848,50.000000,1.000000,1.000000,-102353.445312,51.176720,102353.445312,2070.749756,50.000000,-9.000000,-9.000000,931837.375000,465.918671,-931837.375000,-728175.375000,728175.375000,567.749695,-567.749695,29559.361328,28991.611328
ml,worst,8122,2026-04-11,2020.087402,10.000000,1994.041138,50.000000,1.000000,0.000000,-0.000000,0.000000,99702.054688,2014.748047,50.000000,1.000000,0.000000,-0.000000,0.000000,100737.406250,2037.363525,50.000000,-9.000000,0.000000,-0.000000,0.000000,-916813.562500,-716374.125000,728175.375000,567.749695,11233.500000,-54713.535156,-43480.035156
ml,worst,8122,2026-04-12,2035.394409,10.000000,2031.165283,50.000000,1.000000,0.000000,-0.000000,0.000000,101558.265625,2051.020508,50.000000,1.000000,0.000000,-0.000000,0.000000,102551.023438,2073.513184,50.000000,-9.000000,0.000000,-0.000000,0.000000,-933080.937500,-728971.625000,728175.375000,567.749695,-1363.999756,-12353.306641,-13717.306641
ml,worst,8122,2026-04-13,2051.504150,10.000000,2051.119629,50.000000,1.000000,0.000000,-0.000000,0.000000,102555.984375,2070.920654,50.000000,1.000000,0.000000,-0.000000,0.000000,103546.031250,2093.601562,50.000000,-12.000000,-3.000000,314040.250000,157.020111,-1256161.000000,-1050059.000000,1042215.625000,724.769775,-8568.144531,24306.285156,15738.140625
ml,worst,8122,2026-04-14,2012.933594,10.000000,2009.096924,50.000000,1.000000,0.000000,-0.000000,0.000000,100454.843750,2027.519775,50.000000,1.000000,0.000000,-0.000000,0.000000,101375.992188,2049.027832,50.000000,-15.000000,-3.000000,307354.187500,153.677078,-1536770.875000,-1334940.000000,1349569.750000,878.446838,13751.302734,-64069.191406,-50317.890625
ml,worst,8122,2026-04-15,1947.054199,10.000000,1930.267212,50.000000,1.000000,0.000000,-0.000000,0.000000,96513.359375,1946.357178,50.000000,1.000000,0.000000,-0.000000,0.000000,97317.859375,1965.929077,50.000000,-17.000000,-2.000000,196592.906250,98.296448,-1671039.625000,-1477208.375000,1546162.750000,976.743286,67977.632812,-226580.000000,-158602.375000
ml,worst,8122,2026-04-16,1973.511597,10.000000,1984.592896,50.000000,1.000000,0.000000,-0.000000,0.000000,99229.648438,2000.297852,50.000000,1.000000,0.000000,-0.000000,0.000000,100014.890625,2020.378906,50.000000,-12.000000,5.000000,-505094.718750,252.547363,-1212227.375000,-1012982.875000,1041068.000000,1229.290771,26855.833984,-157596.984375,-130741.148438
ml,worst,8122,2026-04-17,1996.005493,10.000000,2001.077881,50.000000,1.000000,0.000000,-0.000000,0.000000,100053.890625,2016.320190,50.000000,1.000000,0.000000,-0.000000,0.000000,100816.007812,2035.937622,50.000000,-14.000000,-2.000000,203593.765625,101.796875,-1425156.375000,-1224286.500000,1244661.750000,1331.087646,19044.162109,-99273.406250,-80229.242188
ml,worst,8122,2026-04-18,1968.072144,10.000000,1972.191650,50.000000,1.000000,0.000000,-0.000000,0.000000,98609.585938,1987.080688,50.000000,1.000000,0.000000,-0.000000,0.000000,99354.031250,2006.219116,50.000000,-14.000000,0.000000,-0.000000,0.000000,-1404353.375000,-1206389.750000,1244661.750000,1331.087646,36940.914062,-160150.765625,-123209.851562
ml,worst,8122,2026-04-19,1945.818848,10.000000,1942.082520,50.000000,1.000000,0.000000,-0.000000,0.000000,97104.125000,1956.697021,50.000000,1.000000,0.000000,-0.000000,0.000000,97834.851562,1974.828857,50.000000,-14.000000,0.000000,-0.000000,0.000000,-1382380.125000,-1187441.125000,1244661.750000,1331.087646,55889.539062,-212929.765625,-157040.218750
