policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,8122,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,1.000000,1.000000,-101308.578125,50.654285,101308.578125,2047.068848,50.000000,-1.000000,-1.000000,102353.445312,51.176720,-102353.445312,2070.749756,50.000000,-1.000000,-1.000000,103537.484375,51.768742,-103537.484375,-104582.351562,104582.351562,153.599747,-153.599747,29559.361328,29405.761719
ml,worst,8122,2026-04-11,2020.087402,10.000000,1994.041138,50.000000,1.000000,0.000000,-0.000000,0.000000,99702.054688,2014.748047,50.000000,-1.000000,0.000000,-0.000000,0.000000,-100737.406250,2037.363525,50.000000,-1.000000,0.000000,-0.000000,0.000000,-101868.179688,-102903.531250,104582.351562,153.599747,1525.220581,-54713.535156,-53188.316406
ml,worst,8122,2026-04-12,2035.394409,10.000000,2031.165283,50.000000,1.000000,0.000000,-0.000000,0.000000,101558.265625,2051.020508,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102551.023438,2073.513184,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103675.656250,-104668.414062,104582.351562,153.599747,-239.662247,-12353.306641,-12592.968750
ml,worst,8122,2026-04-13,2051.504150,10.000000,2051.119629,50.000000,0.000000,-1.000000,102555.984375,51.277992,0.000000,2070.920654,50.000000,0.000000,1.000000,-103546.031250,51.773014,0.000000,2093.601562,50.000000,0.000000,1.000000,-104680.078125,52.340034,0.000000,0.000000,-1087.773438,308.990784,-1396.764160,24306.285156,22909.521484
ml,worst,8122,2026-04-14,2012.933594,10.000000,2009.096924,50.000000,-1.000000,-1.000000,100454.843750,50.227421,-100454.843750,2027.519775,50.000000,-1.000000,-1.000000,101375.992188,50.687996,-101375.992188,2049.027832,50.000000,-1.000000,-1.000000,102451.390625,51.225693,-102451.390625,-304282.250000,303194.437500,461.131897,-1548.944336,-64069.191406,-65618.132812
ml,worst,8122,2026-04-15,1947.054199,10.000000,1930.267212,50.000000,0.000000,1.000000,-96513.359375,48.256680,0.000000,1946.357178,50.000000,0.000000,1.000000,-97317.859375,48.658932,0.000000,1965.929077,50.000000,0.000000,1.000000,-98296.453125,49.148224,0.000000,0.000000,11066.781250,607.195740,10459.585938,-226580.000000,-216120.406250
ml,worst,8122,2026-04-16,1973.511597,10.000000,1984.592896,50.000000,1.000000,1.000000,-99229.648438,49.614822,99229.648438,2000.297852,50.000000,-1.000000,-1.000000,100014.890625,50.007442,-100014.890625,2020.378906,50.000000,-1.000000,-1.000000,101018.945312,50.509472,-101018.945312,-101804.187500,112870.968750,757.327515,10309.454102,-157596.984375,-147287.531250
ml,worst,8122,2026-04-17,1996.005493,10.000000,2001.077881,50.000000,0.000000,-1.000000,100053.890625,50.026943,0.000000,2016.320190,50.000000,0.000000,1.000000,-100816.007812,50.408001,0.000000,2035.937622,50.000000,0.000000,1.000000,-101796.882812,50.898438,0.000000,0.000000,10311.968750,908.660889,9403.307617,-99273.406250,-89870.101562
ml,worst,8122,2026-04-18,1968.072144,10.000000,1972.191650,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1987.080688,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,2006.219116,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,10311.968750,908.660889,9403.307617,-160150.765625,-150747.453125
ml,worst,8122,2026-04-19,1945.818848,10.000000,1942.082520,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1956.697021,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,1974.828857,50.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,10311.968750,908.660889,9403.307617,-212929.765625,-203526.453125
