policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,8122,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-4.000000,-4.000000,405234.312500,202.617142,-405234.312500,2047.068848,50.000000,-4.000000,-4.000000,409413.781250,204.706879,-409413.781250,2070.749756,50.000000,-4.000000,-4.000000,414149.937500,207.074966,-414149.937500,-1228798.000000,1228798.000000,614.398987,-614.398987,29559.361328,28944.962891
ml,worst,8122,2026-04-11,2020.087402,10.000000,1994.041138,50.000000,-4.000000,0.000000,-0.000000,0.000000,-398808.218750,2014.748047,50.000000,-4.000000,0.000000,-0.000000,0.000000,-402949.625000,2037.363525,50.000000,-4.000000,0.000000,-0.000000,0.000000,-407472.718750,-1209230.625000,1228798.000000,614.398987,18952.976562,-54713.535156,-35760.558594
ml,worst,8122,2026-04-12,2035.394409,10.000000,2031.165283,50.000000,-4.000000,0.000000,-0.000000,0.000000,-406233.062500,2051.020508,50.000000,-4.000000,0.000000,-0.000000,0.000000,-410204.093750,2073.513184,50.000000,-4.000000,0.000000,-0.000000,0.000000,-414702.625000,-1231139.750000,1228798.000000,614.398987,-2956.148926,-12353.306641,-15309.455078
ml,worst,8122,2026-04-13,2051.504150,10.000000,2051.119629,50.000000,-2.000000,2.000000,-205111.968750,102.555984,-205111.968750,2070.920654,50.000000,-2.000000,2.000000,-207092.062500,103.546028,-207092.062500,2093.601562,50.000000,-3.000000,1.000000,-104680.078125,52.340034,-314040.250000,-726244.250000,711913.937500,872.841064,-15203.153320,24306.285156,9103.131836
ml,worst,8122,2026-04-14,2012.933594,10.000000,2009.096924,50.000000,-1.000000,1.000000,-100454.843750,50.227421,-100454.843750,2027.519775,50.000000,-1.000000,1.000000,-101375.992188,50.687996,-101375.992188,2049.027832,50.000000,-7.000000,-4.000000,409805.562500,204.902771,-717159.750000,-918990.625000,919888.625000,1178.659180,-280.659180,-64069.191406,-64349.851562
ml,worst,8122,2026-04-15,1947.054199,10.000000,1930.267212,50.000000,0.000000,1.000000,-96513.359375,48.256680,0.000000,1946.357178,50.000000,-5.000000,-4.000000,389271.437500,194.635727,-486589.312500,1965.929077,50.000000,-4.000000,3.000000,-294889.343750,147.444672,-393185.812500,-879775.125000,917757.375000,1568.996338,36413.253906,-226580.000000,-190166.750000
ml,worst,8122,2026-04-16,1973.511597,10.000000,1984.592896,50.000000,-4.000000,-4.000000,396918.593750,198.459290,-396918.593750,2000.297852,50.000000,-3.000000,2.000000,-200029.781250,100.014885,-300044.687500,2020.378906,50.000000,-2.000000,2.000000,-202037.890625,101.018944,-202037.890625,-899001.125000,912608.312500,1968.489380,11638.698242,-157596.984375,-145958.281250
ml,worst,8122,2026-04-17,1996.005493,10.000000,2001.077881,50.000000,-2.000000,2.000000,-200107.781250,100.053886,-200107.781250,2016.320190,50.000000,-2.000000,1.000000,-100816.007812,50.408001,-201632.015625,2035.937622,50.000000,-1.000000,1.000000,-101796.882812,50.898438,-101796.882812,-503536.687500,509887.625000,2169.849609,4181.087891,-99273.406250,-95092.320312
ml,worst,8122,2026-04-18,1968.072144,10.000000,1972.191650,50.000000,-2.000000,0.000000,-0.000000,0.000000,-197219.171875,1987.080688,50.000000,-2.000000,0.000000,-0.000000,0.000000,-198708.062500,2006.219116,50.000000,-1.000000,0.000000,-0.000000,0.000000,-100310.953125,-496238.187500,509887.625000,2169.849609,11479.587891,-160150.765625,-148671.171875
ml,worst,8122,2026-04-19,1945.818848,10.000000,1942.082520,50.000000,-2.000000,0.000000,-0.000000,0.000000,-194208.250000,1956.697021,50.000000,-2.000000,0.000000,-0.000000,0.000000,-195669.703125,1974.828857,50.000000,-1.000000,0.000000,-0.000000,0.000000,-98741.445312,-488619.375000,509887.625000,2169.849609,19098.400391,-212929.765625,-193831.359375
