policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,6316,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-1.000000,-1.000000,101308.578125,50.654285,-101308.578125,2047.068848,50.000000,-1.000000,-1.000000,102353.445312,51.176720,-102353.445312,2070.749756,50.000000,-1.000000,-1.000000,103537.484375,51.768742,-103537.484375,-307199.500000,307199.500000,153.599747,-153.599747,29559.361328,29405.761719
ml,worst,6316,2026-04-11,2032.890869,10.000000,2043.693726,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102184.687500,2064.703125,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103235.156250,2089.336914,50.000000,-1.000000,0.000000,-0.000000,0.000000,-104466.843750,-309886.687500,307199.500000,153.599747,-2840.787354,-26210.550781,-29051.337891
ml,worst,6316,2026-04-12,2006.238281,10.000000,2008.755615,50.000000,-1.000000,0.000000,-0.000000,0.000000,-100437.781250,2029.079834,50.000000,-1.000000,0.000000,-0.000000,0.000000,-101453.992188,2051.365479,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102568.273438,-304460.062500,307199.500000,153.599747,2585.837646,-89538.601562,-86952.765625
ml,worst,6316,2026-04-13,2002.692261,10.000000,1997.780029,50.000000,-2.000000,-1.000000,99889.000000,49.944500,-199778.000000,2018.625732,50.000000,-4.000000,-3.000000,302793.843750,151.396927,-403725.156250,2040.644165,50.000000,-4.000000,-3.000000,306096.625000,153.048309,-408128.843750,-1011632.000000,1015979.000000,507.989471,3839.010498,-96810.859375,-92971.851562
ml,worst,6316,2026-04-14,2012.628418,10.000000,2009.817383,50.000000,-3.000000,-1.000000,100490.867188,50.245434,-301472.593750,2030.933960,50.000000,-5.000000,-1.000000,101546.695312,50.773346,-507733.500000,2052.013184,50.000000,-5.000000,-1.000000,102600.656250,51.300327,-513003.312500,-1322209.500000,1320617.250000,660.308594,-2252.558594,-62916.914062,-65169.472656
ml,worst,6316,2026-04-15,1998.486206,10.000000,1994.290405,50.000000,-4.000000,-1.000000,99714.523438,49.857262,-398858.093750,2014.654053,50.000000,-8.000000,-3.000000,302198.093750,151.099045,-805861.625000,2034.676270,50.000000,-8.000000,-3.000000,305201.437500,152.600708,-813870.500000,-2018590.250000,2027731.250000,1013.865601,8127.134277,-93983.398438,-85856.265625
ml,worst,6316,2026-04-16,1977.789429,10.000000,1994.607056,50.000000,-5.000000,-1.000000,99730.351562,49.865173,-498651.750000,2014.467163,50.000000,-7.000000,1.000000,-100723.359375,50.361679,-705063.500000,2033.789795,50.000000,-11.000000,-3.000000,305068.468750,152.534241,-1118584.375000,-2322299.500000,2331806.500000,1266.626709,8240.373047,-137821.812500,-129581.437500
ml,worst,6316,2026-04-17,1955.586548,10.000000,1979.429077,50.000000,-6.000000,-1.000000,98971.453125,49.485725,-593828.687500,1998.547485,50.000000,-10.000000,-3.000000,299782.125000,149.891068,-999273.750000,2017.366089,50.000000,-10.000000,1.000000,-100868.304688,50.434151,-1008683.000000,-2601785.500000,2629692.000000,1516.437622,26390.062500,-186911.937500,-160521.875000
ml,worst,6316,2026-04-18,1963.855469,10.000000,1980.561646,50.000000,-6.000000,0.000000,-0.000000,0.000000,-594168.500000,1999.301147,50.000000,-10.000000,0.000000,-0.000000,0.000000,-999650.562500,2016.946289,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1008473.125000,-2602292.000000,2629692.000000,1516.437622,25883.562500,-169821.046875,-143937.484375
ml,worst,6316,2026-04-19,1989.149292,10.000000,2001.014282,50.000000,-6.000000,0.000000,-0.000000,0.000000,-600304.312500,2020.904175,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1010452.062500,2040.838135,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1020419.062500,-2631175.500000,2629692.000000,1516.437622,-2999.937500,-108231.023438,-111230.960938
ml,worst,6316,2026-04-20,1982.206909,10.000000,1972.023926,50.000000,-6.000000,0.000000,-0.000000,0.000000,-591607.187500,1992.226318,50.000000,-9.000000,1.000000,-99611.312500,49.805656,-896501.875000,2012.322266,50.000000,-9.000000,1.000000,-100616.109375,50.308056,-905545.000000,-2393654.000000,2429464.500000,1616.551270,34193.949219,-120757.195312,-86563.250000
ml,worst,6316,2026-04-21,1984.066162,10.000000,1984.218750,50.000000,-6.000000,0.000000,-0.000000,0.000000,-595265.625000,2005.118408,50.000000,-8.000000,1.000000,-100255.921875,50.127960,-802047.375000,2026.606567,50.000000,-12.000000,-3.000000,303991.000000,151.995483,-1215964.000000,-2613277.000000,2633199.500000,1818.674805,18103.824219,-115119.234375,-97015.406250
ml,worst,6316,2026-04-22,1954.215332,10.000000,1933.648926,50.000000,-9.000000,-3.000000,290047.343750,145.023666,-870142.000000,1953.377686,50.000000,-7.000000,1.000000,-97668.882812,48.834438,-683682.187500,1974.564819,50.000000,-11.000000,1.000000,-98728.242188,49.364120,-1086010.625000,-2639835.000000,2726850.000000,2061.896973,84953.101562,-186805.343750,-101852.242188
ml,worst,6316,2026-04-23,1945.760254,10.000000,1940.953491,50.000000,-8.000000,1.000000,-97047.671875,48.523838,-776381.375000,1958.275513,50.000000,-10.000000,-3.000000,293741.343750,146.870667,-979137.812500,1977.278931,50.000000,-10.000000,1.000000,-98863.945312,49.431973,-988639.437500,-2744158.750000,2824679.500000,2306.723633,78214.023438,-203836.015625,-125621.992188
ml,worst,6316,2026-04-24,1870.849243,10.000000,1858.344849,50.000000,-7.000000,1.000000,-92917.242188,46.458622,-650420.687500,1875.432251,50.000000,-9.000000,1.000000,-93771.609375,46.885803,-843944.500000,1894.292114,50.000000,-13.000000,-3.000000,284143.812500,142.071915,-1231289.875000,-2725655.000000,2922134.500000,2542.139893,193937.359375,-393911.000000,-199973.640625
ml,worst,6316,2026-04-25,1881.157104,10.000000,1893.013550,50.000000,-7.000000,0.000000,-0.000000,0.000000,-662554.750000,1912.567871,50.000000,-9.000000,0.000000,-0.000000,0.000000,-860655.562500,1932.371338,50.000000,-13.000000,0.000000,-0.000000,0.000000,-1256041.375000,-2779251.500000,2922134.500000,2542.139893,140340.859375,-361768.656250,-221427.796875
ml,worst,6316,2026-04-26,1886.240112,10.000000,1887.603271,50.000000,-7.000000,0.000000,-0.000000,0.000000,-660661.125000,1906.174561,50.000000,-9.000000,0.000000,-0.000000,0.000000,-857778.500000,1925.154419,50.000000,-13.000000,0.000000,-0.000000,0.000000,-1251350.375000,-2769790.000000,2922134.500000,2542.139893,149802.359375,-341537.250000,-191734.890625
ml,worst,6316,2026-04-27,1873.148682,10.000000,1845.184814,50.000000,-6.000000,1.000000,-92259.242188,46.129620,-553555.500000,1862.837036,50.000000,-8.000000,1.000000,-93141.851562,46.570923,-745134.812500,1879.633423,50.000000,-11.000000,2.000000,-187963.343750,93.981674,-1033798.312500,-2332488.500000,2548770.000000,2728.822266,213552.671875,-369330.593750,-155777.921875
ml,worst,6316,2026-04-28,1877.658447,10.000000,1886.478271,50.000000,-8.000000,-2.000000,188647.828125,94.323914,-754591.312500,1903.594604,50.000000,-11.000000,-3.000000,285539.187500,142.769592,-1046977.062500,1919.676147,50.000000,-10.000000,1.000000,-95983.804688,47.991901,-959838.062500,-2761406.500000,2926973.250000,3013.907471,162552.843750,-349421.437500,-186868.593750
ml,worst,6316,2026-04-29,1882.852295,10.000000,1876.170166,50.000000,-7.000000,1.000000,-93808.507812,46.904251,-656659.562500,1893.179077,50.000000,-10.000000,1.000000,-94658.953125,47.329475,-946589.562500,1908.506958,50.000000,-13.000000,-3.000000,286276.062500,143.138016,-1240529.500000,-2843778.500000,3024782.000000,3251.279297,177752.218750,-333938.937500,-156186.718750
ml,worst,6316,2026-04-30,1861.792480,10.000000,1876.170166,50.000000,-6.000000,1.000000,-93808.507812,46.904251,-562851.062500,1844.093018,50.000000,-9.000000,1.000000,-92204.648438,46.102325,-829841.875000,1857.370361,50.000000,-11.000000,2.000000,-185737.031250,92.868507,-1021553.687500,-2414246.750000,2653031.750000,3437.154297,235347.843750,-384774.906250,-149427.062500
ml,worst,6316,2026-05-01,1845.623901,10.000000,1876.170166,50.000000,-5.000000,1.000000,-93808.507812,46.904251,-469042.531250,1851.179321,50.000000,-8.000000,1.000000,-92558.968750,46.279484,-740471.750000,1864.921753,50.000000,-10.000000,1.000000,-93246.085938,46.623043,-932460.812500,-2141975.000000,2373418.250000,3576.961182,227866.281250,-429481.250000,-201614.968750
ml,worst,6316,2026-05-02,1834.298096,10.000000,1876.170166,50.000000,-5.000000,0.000000,-0.000000,0.000000,-469042.531250,1852.785767,50.000000,-8.000000,0.000000,-0.000000,0.000000,-741114.312500,1867.724487,50.000000,-10.000000,0.000000,-0.000000,0.000000,-933862.187500,-2144019.000000,2373418.250000,3576.961182,225822.281250,-468167.843750,-242345.562500
ml,worst,6316,2026-05-03,1846.230347,10.000000,1876.170166,50.000000,-5.000000,0.000000,-0.000000,0.000000,-469042.531250,1879.591919,50.000000,-8.000000,0.000000,-0.000000,0.000000,-751836.750000,1894.421875,50.000000,-10.000000,0.000000,-0.000000,0.000000,-947210.937500,-2168090.250000,2373418.250000,3576.961182,201751.031250,-440029.593750,-238278.562500
ml,worst,6316,2026-05-04,1861.834106,10.000000,1876.170166,50.000000,-4.000000,1.000000,-93808.507812,46.904251,-375234.031250,1883.126709,50.000000,-11.000000,-3.000000,282469.000000,141.234497,-1035719.750000,1897.159546,50.000000,-13.000000,-3.000000,284573.937500,142.286957,-1233153.750000,-2644107.500000,2846652.500000,3907.386719,198637.609375,-401454.000000,-202816.390625
ml,worst,6316,2026-05-05,1856.653076,10.000000,1876.170166,50.000000,-4.000000,0.000000,-0.000000,0.000000,-375234.031250,1864.224365,50.000000,-10.000000,1.000000,-93211.218750,46.605610,-932112.187500,1877.000244,50.000000,-11.000000,2.000000,-187700.031250,93.850014,-1032350.125000,-2339696.500000,2565741.500000,4047.842285,221997.156250,-414981.031250,-192983.875000
