policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,6048,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-1.000000,-1.000000,101308.578125,50.654285,-101308.578125,2047.068848,50.000000,-1.000000,-1.000000,102353.445312,51.176720,-102353.445312,2070.749756,50.000000,-1.000000,-1.000000,103537.484375,51.768742,-103537.484375,-307199.500000,307199.500000,153.599747,-153.599747,29559.361328,29405.761719
ml,worst,6048,2026-04-11,2052.544189,10.000000,2058.866699,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102943.335938,2083.919434,50.000000,-1.000000,0.000000,-0.000000,0.000000,-104195.968750,2111.487061,50.000000,-1.000000,0.000000,-0.000000,0.000000,-105574.351562,-312713.656250,307199.500000,153.599747,-5667.755859,21731.367188,16063.611328
ml,worst,6048,2026-04-12,2033.809082,10.000000,2026.324341,50.000000,-1.000000,0.000000,-0.000000,0.000000,-101316.218750,2051.533447,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102576.671875,2077.183594,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103859.179688,-307752.062500,307199.500000,153.599747,-706.162231,-25718.298828,-26424.460938
ml,worst,6048,2026-04-13,1949.778198,10.000000,1935.269409,50.000000,-2.000000,-1.000000,96763.468750,48.381733,-193526.937500,1959.790039,50.000000,-2.000000,-1.000000,97989.500000,48.994747,-195979.000000,1983.195190,50.000000,-4.000000,-3.000000,297479.281250,148.739624,-396639.031250,-786145.000000,799431.750000,399.715851,12887.034180,-241334.562500,-228447.531250
ml,worst,6048,2026-04-14,1968.291870,10.000000,1976.446777,50.000000,-3.000000,-1.000000,98822.335938,49.411167,-296467.031250,2000.102905,50.000000,-3.000000,-1.000000,100005.148438,50.002575,-300015.437500,2022.203125,50.000000,-7.000000,-3.000000,303330.468750,151.665222,-707771.125000,-1304253.625000,1301589.750000,650.794800,-3314.669922,-198265.000000,-201579.671875
ml,worst,6048,2026-04-15,2003.325562,10.000000,2018.243774,50.000000,-4.000000,-1.000000,100912.187500,50.456093,-403648.750000,2042.871460,50.000000,-4.000000,-1.000000,102143.570312,51.071785,-408574.281250,2066.101562,50.000000,-10.000000,-3.000000,309915.250000,154.957611,-1033050.750000,-1845273.750000,1814560.750000,907.280273,-31620.281250,-107712.781250,-139333.062500
ml,worst,6048,2026-04-16,1972.819946,10.000000,1987.097046,50.000000,-4.000000,0.000000,-0.000000,0.000000,-397419.406250,2011.610596,50.000000,-5.000000,-1.000000,100580.531250,50.290264,-502902.625000,2035.318237,50.000000,-13.000000,-3.000000,305297.718750,152.648865,-1322956.875000,-2223279.000000,2220439.000000,1110.219482,-3950.219482,-182942.234375,-186892.453125
ml,worst,6048,2026-04-17,1886.218384,10.000000,1888.619019,50.000000,-5.000000,-1.000000,94430.953125,47.215473,-472154.750000,1909.914673,50.000000,-7.000000,-2.000000,190991.468750,95.495735,-668470.125000,1932.216675,50.000000,-11.000000,2.000000,-193221.671875,96.610832,-1062719.125000,-2203344.000000,2312639.750000,1349.541504,107946.210938,-395119.843750,-287173.625000
ml,worst,6048,2026-04-18,1875.464355,10.000000,1907.643433,50.000000,-5.000000,0.000000,-0.000000,0.000000,-476910.843750,1929.885132,50.000000,-7.000000,0.000000,-0.000000,0.000000,-675459.812500,1952.789917,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1074034.500000,-2226405.000000,2312639.750000,1349.541504,84885.210938,-424702.031250,-339816.812500
ml,worst,6048,2026-04-19,1866.501709,10.000000,1865.794800,50.000000,-5.000000,0.000000,-0.000000,0.000000,-466448.687500,1886.006104,50.000000,-7.000000,0.000000,-0.000000,0.000000,-660102.125000,1908.103149,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1049456.750000,-2176007.500000,2312639.750000,1349.541504,135282.703125,-442182.593750,-306899.875000
ml,worst,6048,2026-04-20,1855.079590,10.000000,1858.536499,50.000000,-6.000000,-1.000000,92926.828125,46.463409,-557560.937500,1877.231567,50.000000,-9.000000,-2.000000,187723.156250,93.861572,-844754.187500,1898.148926,50.000000,-9.000000,2.000000,-189814.890625,94.907440,-854167.000000,-2256482.000000,2403475.000000,1584.773926,145408.218750,-471105.375000,-325697.156250
ml,worst,6048,2026-04-21,1801.698730,10.000000,1786.470459,50.000000,-7.000000,-1.000000,89323.523438,44.661762,-625264.625000,1805.064453,50.000000,-8.000000,1.000000,-90253.218750,45.126610,-722025.750000,1825.088623,50.000000,-11.000000,-2.000000,182508.859375,91.254433,-1003798.750000,-2351089.000000,2585054.000000,1765.816650,232199.187500,-599765.937500,-367566.750000
ml,worst,6048,2026-04-22,1753.094238,10.000000,1779.421997,50.000000,-6.000000,1.000000,-88971.101562,44.485550,-533826.625000,1796.942017,50.000000,-7.000000,1.000000,-89847.101562,44.923550,-628929.687500,1815.773682,50.000000,-9.000000,2.000000,-181577.375000,90.788689,-817098.125000,-1979854.375000,2224658.500000,1946.014404,242858.109375,-718863.812500,-476005.687500
ml,worst,6048,2026-04-23,1769.207031,10.000000,1770.285278,50.000000,-7.000000,-1.000000,88514.265625,44.257130,-619599.875000,1790.216309,50.000000,-8.000000,-1.000000,89510.812500,44.755405,-716086.500000,1809.619019,50.000000,-11.000000,-2.000000,180961.906250,90.480949,-995290.437500,-2330976.750000,2583645.500000,2125.507812,250543.250000,-674184.687500,-423641.437500
ml,worst,6048,2026-04-24,1765.668335,10.000000,1771.086914,50.000000,-6.000000,1.000000,-88554.343750,44.277172,-531326.062500,1790.056641,50.000000,-7.000000,1.000000,-89502.828125,44.751411,-626519.812500,1808.279663,50.000000,-9.000000,2.000000,-180827.968750,90.413986,-813725.812500,-1971571.750000,2224760.250000,2304.950684,250883.546875,-677854.625000,-426971.062500
ml,worst,6048,2026-04-25,1786.298218,10.000000,1802.860229,50.000000,-6.000000,0.000000,-0.000000,0.000000,-540858.062500,1822.263428,50.000000,-7.000000,0.000000,-0.000000,0.000000,-637792.187500,1842.019043,50.000000,-9.000000,0.000000,-0.000000,0.000000,-828908.625000,-2007558.875000,2224760.250000,2304.950684,214896.421875,-617782.750000,-402886.312500
