policy,case,path_idx,day,spot,spread_bps,PL_APR_2026_futures,PL_APR_2026_contract_size,PL_APR_2026_position,PL_APR_2026_trade,PL_APR_2026_trade_cash,PL_APR_2026_trade_cost,PL_APR_2026_position_mtm,PL_JUL_2026_futures,PL_JUL_2026_contract_size,PL_JUL_2026_position,PL_JUL_2026_trade,PL_JUL_2026_trade_cash,PL_JUL_2026_trade_cost,PL_JUL_2026_position_mtm,PL_OCT_2026_futures,PL_OCT_2026_contract_size,PL_OCT_2026_position,PL_OCT_2026_trade,PL_OCT_2026_trade_cash,PL_OCT_2026_trade_cost,PL_OCT_2026_position_mtm,portfolio_position_mtm,portfolio_cum_trade_cash,portfolio_cum_trade_cost,hedge_portfolio_ex_funding,mtm_ex_post_settle_discount,total_ex_funding_discount
ml,worst,624,2026-04-10,2055.000244,10.000000,2026.171509,50.000000,-1.000000,-1.000000,101308.578125,50.654285,-101308.578125,2047.068848,50.000000,-1.000000,-1.000000,102353.445312,51.176720,-102353.445312,2070.749756,50.000000,-1.000000,-1.000000,103537.484375,51.768742,-103537.484375,-307199.500000,307199.500000,153.599747,-153.599747,29559.361328,29405.761719
ml,worst,624,2026-04-11,2031.313354,10.000000,2011.726807,50.000000,-1.000000,0.000000,-0.000000,0.000000,-100586.343750,2031.221313,50.000000,-1.000000,0.000000,-0.000000,0.000000,-101561.062500,2053.654053,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102682.703125,-304830.125000,307199.500000,153.599747,2215.775146,-27854.109375,-25638.333984
ml,worst,624,2026-04-12,2055.018799,10.000000,2046.111694,50.000000,-1.000000,0.000000,-0.000000,0.000000,-102305.585938,2066.651367,50.000000,-1.000000,0.000000,-0.000000,0.000000,-103332.570312,2089.028809,50.000000,-1.000000,0.000000,-0.000000,0.000000,-104451.437500,-310089.593750,307199.500000,153.599747,-3043.693604,28830.144531,25786.451172
ml,worst,624,2026-04-13,2059.018799,10.000000,2055.940674,50.000000,-2.000000,-1.000000,102797.031250,51.398514,-205594.062500,2076.297852,50.000000,-2.000000,-1.000000,103814.890625,51.907444,-207629.781250,2097.758545,50.000000,-2.000000,-1.000000,104887.929688,52.443962,-209775.859375,-622999.687500,618699.375000,309.349670,-4609.662109,37279.339844,32669.677734
ml,worst,624,2026-04-14,2019.496094,10.000000,2028.086792,50.000000,-3.000000,-1.000000,101404.335938,50.702168,-304213.000000,2047.662842,50.000000,-3.000000,-1.000000,102383.140625,51.191566,-307149.406250,2068.379395,50.000000,-5.000000,-3.000000,310256.906250,155.128448,-517094.812500,-1128457.250000,1132743.750000,566.371826,3720.128174,-45313.402344,-41593.273438
ml,worst,624,2026-04-15,1953.494141,10.000000,1935.001099,50.000000,-4.000000,-1.000000,96750.054688,48.375027,-387000.218750,1953.140991,50.000000,-6.000000,-3.000000,292971.156250,146.485580,-585942.312500,1973.587524,50.000000,-8.000000,-3.000000,296038.125000,148.019058,-789435.000000,-1762377.500000,1818503.000000,909.251465,55216.250000,-207281.203125,-152064.953125
ml,worst,624,2026-04-16,1977.244263,10.000000,1965.848755,50.000000,-5.000000,-1.000000,98292.437500,49.146217,-491462.218750,1983.277954,50.000000,-7.000000,-1.000000,99163.898438,49.581947,-694147.250000,2003.350464,50.000000,-9.000000,-1.000000,100167.523438,50.083763,-901507.687500,-2087117.250000,2116127.000000,1058.063477,27951.687500,-148619.750000,-120668.062500
ml,worst,624,2026-04-17,1982.406372,10.000000,1985.060791,50.000000,-6.000000,-1.000000,99253.039062,49.626518,-595518.250000,2004.306763,50.000000,-7.000000,0.000000,-0.000000,0.000000,-701507.375000,2026.181030,50.000000,-10.000000,-1.000000,101309.054688,50.654526,-1013090.500000,-2310116.000000,2316689.000000,1158.344482,5414.655273,-134633.390625,-129218.734375
ml,worst,624,2026-04-18,1968.653320,10.000000,1982.745850,50.000000,-6.000000,0.000000,-0.000000,0.000000,-594823.750000,2002.090698,50.000000,-7.000000,0.000000,-0.000000,0.000000,-700731.750000,2023.758789,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1011879.375000,-2307435.000000,2316689.000000,1158.344482,8095.655273,-166712.359375,-158616.703125
ml,worst,624,2026-04-19,1984.400146,10.000000,2000.594116,50.000000,-6.000000,0.000000,-0.000000,0.000000,-600178.250000,2019.718872,50.000000,-7.000000,0.000000,-0.000000,0.000000,-706901.625000,2040.773804,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1020386.937500,-2327466.750000,2316689.000000,1158.344482,-11936.094727,-129110.070312,-141046.171875
ml,worst,624,2026-04-20,1955.864502,10.000000,1970.124878,50.000000,-7.000000,-1.000000,98506.242188,49.253120,-689543.687500,1988.956299,50.000000,-8.000000,-1.000000,99447.812500,49.723904,-795582.500000,2010.883423,50.000000,-11.000000,-1.000000,100544.171875,50.272087,-1105985.875000,-2591112.000000,2615187.500000,1307.593628,22767.906250,-200890.843750,-178122.937500
ml,worst,624,2026-04-21,1964.545898,10.000000,1966.404419,50.000000,-8.000000,-1.000000,98320.218750,49.160107,-786561.750000,1986.818115,50.000000,-9.000000,-1.000000,99340.906250,49.670452,-894068.187500,2008.637085,50.000000,-12.000000,-1.000000,100431.851562,50.215923,-1205182.250000,-2885812.250000,2913280.250000,1456.640137,26011.359375,-173119.421875,-147108.062500
ml,worst,624,2026-04-22,2011.400269,10.000000,2025.927734,50.000000,-8.000000,0.000000,-0.000000,0.000000,-810371.125000,2048.036133,50.000000,-9.000000,0.000000,-0.000000,0.000000,-921616.187500,2071.177246,50.000000,-11.000000,1.000000,-103558.859375,51.779430,-1139147.500000,-2871134.750000,2809721.500000,1508.419556,-62921.667969,-49004.226562,-111925.890625
ml,worst,624,2026-04-23,1991.298584,10.000000,1987.328491,50.000000,-8.000000,0.000000,-0.000000,0.000000,-794931.375000,2007.527588,50.000000,-9.000000,0.000000,-0.000000,0.000000,-903387.375000,2027.998291,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1115399.000000,-2813717.750000,2809721.500000,1508.419556,-5504.669434,-90877.734375,-96382.406250
ml,worst,624,2026-04-24,1996.592651,10.000000,1985.094727,50.000000,-8.000000,0.000000,-0.000000,0.000000,-794037.875000,2005.136230,50.000000,-9.000000,0.000000,-0.000000,0.000000,-902311.312500,2024.373657,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1113405.500000,-2809754.750000,2809721.500000,1508.419556,-1541.669556,-75487.507812,-77029.179688
ml,worst,624,2026-04-25,2018.728760,10.000000,2022.065674,50.000000,-8.000000,0.000000,-0.000000,0.000000,-808826.250000,2043.127075,50.000000,-9.000000,0.000000,-0.000000,0.000000,-919407.250000,2063.006836,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1134653.750000,-2862887.250000,2809721.500000,1508.419556,-54674.167969,-8237.306641,-62911.476562
ml,worst,624,2026-04-26,2015.391235,10.000000,2046.156128,50.000000,-8.000000,0.000000,-0.000000,0.000000,-818462.437500,2067.281250,50.000000,-9.000000,0.000000,-0.000000,0.000000,-930276.562500,2087.002686,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1147851.500000,-2896590.500000,2809721.500000,1508.419556,-88377.421875,-12017.528320,-100394.953125
ml,worst,624,2026-04-27,2021.116577,10.000000,2017.289551,50.000000,-8.000000,0.000000,-0.000000,0.000000,-806915.812500,2037.939819,50.000000,-9.000000,0.000000,-0.000000,0.000000,-917072.937500,2056.854248,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1131269.875000,-2855258.500000,2809721.500000,1508.419556,-47045.417969,11921.943359,-35123.476562
ml,worst,624,2026-04-28,2045.908325,10.000000,2041.067627,50.000000,-8.000000,0.000000,-0.000000,0.000000,-816427.062500,2059.644775,50.000000,-9.000000,0.000000,-0.000000,0.000000,-926840.125000,2077.335938,50.000000,-10.000000,1.000000,-103866.796875,51.933399,-1038668.000000,-2781935.250000,2705854.500000,1560.352905,-77641.101562,79161.070312,1519.968750
ml,worst,624,2026-04-29,2021.291870,10.000000,2015.534180,50.000000,-7.000000,1.000000,-100776.710938,50.388355,-705436.937500,2034.496338,50.000000,-9.000000,0.000000,-0.000000,0.000000,-915523.312500,2052.318115,50.000000,-11.000000,-1.000000,102615.906250,51.307953,-1128775.000000,-2749735.250000,2707693.750000,1662.049194,-43703.550781,20318.783203,-23384.767578
ml,worst,624,2026-04-30,1962.220337,10.000000,2015.534180,50.000000,-7.000000,0.000000,-0.000000,0.000000,-705436.937500,1967.197144,50.000000,-10.000000,-1.000000,98359.859375,49.179932,-983598.562500,1984.308838,50.000000,-12.000000,-1.000000,99215.445312,49.607719,-1190585.375000,-2879621.000000,2905269.000000,1760.836914,23887.164062,-133771.625000,-109884.460938
ml,worst,624,2026-05-01,1977.313232,10.000000,2015.534180,50.000000,-7.000000,0.000000,-0.000000,0.000000,-705436.937500,2005.923828,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1002961.937500,2023.090454,50.000000,-11.000000,1.000000,-101154.523438,50.577263,-1112699.750000,-2821098.500000,2804114.500000,1811.414062,-18795.414062,-93933.093750,-112728.507812
ml,worst,624,2026-05-02,1997.370728,10.000000,2015.534180,50.000000,-7.000000,0.000000,-0.000000,0.000000,-705436.937500,2042.668823,50.000000,-10.000000,0.000000,-0.000000,0.000000,-1021334.375000,2059.659424,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1132812.750000,-2859584.000000,2804114.500000,1811.414062,-57280.914062,-46527.636719,-103808.546875
ml,worst,624,2026-05-03,1945.980225,10.000000,2015.534180,50.000000,-7.000000,0.000000,-0.000000,0.000000,-705436.937500,1972.816406,50.000000,-10.000000,0.000000,-0.000000,0.000000,-986408.187500,1990.332764,50.000000,-11.000000,0.000000,-0.000000,0.000000,-1094683.000000,-2786528.000000,2804114.500000,1811.414062,15775.085938,-174897.609375,-159122.531250
ml,worst,624,2026-05-04,1969.453125,10.000000,2015.534180,50.000000,-6.000000,1.000000,-100776.710938,50.388355,-604660.250000,2009.924561,50.000000,-9.000000,1.000000,-100496.226562,50.248112,-904466.000000,2027.034058,50.000000,-10.000000,1.000000,-101351.703125,50.675850,-1013517.000000,-2522643.250000,2501490.000000,1962.726440,-23115.976562,-119061.687500,-142177.656250
