config,seed,mean_delta_vs_no_trade,worst_delta_vs_no_trade,frac_post_settle,max_total_abs_pos,min_per_inst_pos
entropy_3e-3,42,-12644.90625,209670.125,1.0,25.0,-10.0
fp_20,42,-46770.28125,228318.25,1.0,22.0,-13.0
dense_1,42,-39058.0703125,207341.875,1.0,17.0,-7.0
dense_3,42,-30671.6171875,331199.75,1.0,30.0,-12.0
entropy_3e-3,7,-58899.44921875,257420.75,1.0,19.0,-8.0
entropy_3e-3,123,-28119.40625,127993.0,1.0,12.0,-6.0
entropy_3e-3,456,-65788.03125,135441.875,1.0,19.0,-9.0
dense_3,7,-89439.10400390625,493968.125,1.0,27.0,-12.0
dense_3,123,-43143.8984375,122076.625,1.0,19.0,-9.0
dense_3,456,-85366.154296875,288617.0,1.0,19.0,-8.0
fp_20,7,-94357.27490234376,263367.875,1.0,22.0,-11.0
fp_20,123,-77746.08984375,39029.5,1.0,12.0,-6.0
fp_20,456,-68389.24609375,172046.25,1.0,15.0,-8.0
dense_1,7,-96391.81689453124,240814.75,1.0,34.0,-14.0
dense_1,123,-42364.1484375,28029.625,1.0,21.0,-9.0
dense_1,456,-90066.412109375,159372.5,1.0,21.0,-8.0
