mean_pnl,worst_pnl,median_pnl,no_trade_worst,no_trade_mean,mean_delta_vs_no_trade,worst_delta_vs_no_trade,max_per_inst_pos,min_per_inst_pos,max_total_abs_pos,frac_post_settle,row_tag,seed,epochs,overrides,elapsed_min
99474.0625,-1359633.875,38047.33984375,-1569304.0,112118.96875,-12644.90625,209670.125,2.0,-10.0,25.0,1.0,entropy_coef=0.003,42,100,optimizer.Entropy_Coef=0.003,6.971784476833394
39335.16796875,-1591862.5,-26360.796875,-1569304.0,112118.96875,-72783.80078125,-22558.5,7.0,-105.0,210.0,1.0,learning_rate=0.001,42,100,optimizer.Learning_Rate=0.001,7.240162532300019
112118.96875,-1569304.0,48473.955078125,-1569304.0,112118.96875,0.0,0.0,0.0,0.0,0.0,0.0,post_deal_trade_penalty=2,42,100,objective.Post_Deal_Trade_Penalty=2,7.2972479491832924
67647.359375,-1594277.125,7197.783203125,-1569304.0,112118.96875,-44471.609375,-24973.125,5.0,-6.0,15.0,1.0,post_deal_trade_penalty=5,42,100,objective.Post_Deal_Trade_Penalty=5,7.456988106650048
83866.2421875,-1539280.0,27163.3095703125,-1569304.0,112118.96875,-28252.7265625,30024.0,1.0,-2.0,3.0,1.0,value_coef=0.05,42,100,optimizer.Value_Coef=0.05,6.864382141533332
84269.4921875,-1553050.125,25920.2294921875,-1569304.0,112118.96875,-27849.4765625,16253.875,5.0,-3.0,12.0,1.0,value_coef=0.2,42,100,optimizer.Value_Coef=0.2,6.890221093016667
104411.5625,-1574534.5,55456.57421875,-1569304.0,112118.96875,-7707.40625,-5230.5,6.0,-6.0,18.0,1.0,entropy_coef=0.0003,42,100,optimizer.Entropy_Coef=0.0003,6.49323587365
81903.8125,-1540046.0,28529.75,-1569304.0,112118.96875,-30215.15625,29258.0,1.0,-2.0,6.0,1.0,default,42,100,,6.659952452800038
92182.5625,-1564180.5,40955.12109375,-1569304.0,112118.96875,-19936.40625,5123.5,1.0,-9.0,16.0,1.0,floor_penalty=5,42,100,objective.Floor_Penalty=5,6.559823950183394
65348.6875,-1340985.75,-2620.2890625,-1569304.0,112118.96875,-46770.28125,228318.25,1.0,-13.0,22.0,1.0,floor_penalty=20,42,100,objective.Floor_Penalty=20,6.455512096383367
73060.8984375,-1361962.125,3917.0791015625,-1569304.0,112118.96875,-39058.0703125,207341.875,2.0,-7.0,17.0,1.0,dense_tracking_reward_scale=1,42,100,optimizer.Dense_Tracking_Reward_Scale=1,6.523757458583229
81447.3515625,-1238104.25,22356.2470703125,-1569304.0,112118.96875,-30671.6171875,331199.75,4.0,-12.0,30.0,1.0,dense_tracking_reward_scale=3,42,100,optimizer.Dense_Tracking_Reward_Scale=3,6.506703145066664
